Sample Name	Protocol REF	Assay Name	Derived Data File
pot_1	phenotyping	P_9327	d_VIB_study___55_plant.txt
pot_10	phenotyping	P_9336	d_VIB_study___55_plant.txt
pot_100	phenotyping	P_9426	d_VIB_study___55_plant.txt
pot_101	phenotyping	P_9427	d_VIB_study___55_plant.txt
pot_102	phenotyping	P_9428	d_VIB_study___55_plant.txt
pot_103	phenotyping	P_9429	d_VIB_study___55_plant.txt
pot_104	phenotyping	P_9430	d_VIB_study___55_plant.txt
pot_105	phenotyping	P_9431	d_VIB_study___55_plant.txt
pot_106	phenotyping	P_9432	d_VIB_study___55_plant.txt
pot_107	phenotyping	P_9433	d_VIB_study___55_plant.txt
pot_108	phenotyping	P_9434	d_VIB_study___55_plant.txt
pot_109	phenotyping	P_9435	d_VIB_study___55_plant.txt
pot_11	phenotyping	P_9337	d_VIB_study___55_plant.txt
pot_110	phenotyping	P_9436	d_VIB_study___55_plant.txt
pot_111	phenotyping	P_9437	d_VIB_study___55_plant.txt
pot_112	phenotyping	P_9438	d_VIB_study___55_plant.txt
pot_113	phenotyping	P_9439	d_VIB_study___55_plant.txt
pot_114	phenotyping	P_9440	d_VIB_study___55_plant.txt
pot_115	phenotyping	P_9441	d_VIB_study___55_plant.txt
pot_116	phenotyping	P_9442	d_VIB_study___55_plant.txt
pot_117	phenotyping	P_9443	d_VIB_study___55_plant.txt
pot_118	phenotyping	P_9444	d_VIB_study___55_plant.txt
pot_119	phenotyping	P_9445	d_VIB_study___55_plant.txt
pot_12	phenotyping	P_9338	d_VIB_study___55_plant.txt
pot_120	phenotyping	P_9446	d_VIB_study___55_plant.txt
pot_121	phenotyping	P_9447	d_VIB_study___55_plant.txt
pot_122	phenotyping	P_9448	d_VIB_study___55_plant.txt
pot_123	phenotyping	P_9449	d_VIB_study___55_plant.txt
pot_124	phenotyping	P_9450	d_VIB_study___55_plant.txt
pot_125	phenotyping	P_9451	d_VIB_study___55_plant.txt
pot_126	phenotyping	P_9452	d_VIB_study___55_plant.txt
pot_127	phenotyping	P_9453	d_VIB_study___55_plant.txt
pot_128	phenotyping	P_9454	d_VIB_study___55_plant.txt
pot_129	phenotyping	P_9455	d_VIB_study___55_plant.txt
pot_13	phenotyping	P_9339	d_VIB_study___55_plant.txt
pot_130	phenotyping	P_9456	d_VIB_study___55_plant.txt
pot_131	phenotyping	P_9457	d_VIB_study___55_plant.txt
pot_132	phenotyping	P_9458	d_VIB_study___55_plant.txt
pot_133	phenotyping	P_9459	d_VIB_study___55_plant.txt
pot_134	phenotyping	P_9460	d_VIB_study___55_plant.txt
pot_135	phenotyping	P_9461	d_VIB_study___55_plant.txt
pot_136	phenotyping	P_9462	d_VIB_study___55_plant.txt
pot_137	phenotyping	P_9463	d_VIB_study___55_plant.txt
pot_138	phenotyping	P_9464	d_VIB_study___55_plant.txt
pot_139	phenotyping	P_9465	d_VIB_study___55_plant.txt
pot_14	phenotyping	P_9340	d_VIB_study___55_plant.txt
pot_140	phenotyping	P_9466	d_VIB_study___55_plant.txt
pot_141	phenotyping	P_9467	d_VIB_study___55_plant.txt
pot_142	phenotyping	P_9468	d_VIB_study___55_plant.txt
pot_143	phenotyping	P_9469	d_VIB_study___55_plant.txt
pot_144	phenotyping	P_9470	d_VIB_study___55_plant.txt
pot_145	phenotyping	P_9471	d_VIB_study___55_plant.txt
pot_146	phenotyping	P_9472	d_VIB_study___55_plant.txt
pot_147	phenotyping	P_9473	d_VIB_study___55_plant.txt
pot_148	phenotyping	P_9474	d_VIB_study___55_plant.txt
pot_149	phenotyping	P_9475	d_VIB_study___55_plant.txt
pot_15	phenotyping	P_9341	d_VIB_study___55_plant.txt
pot_150	phenotyping	P_9476	d_VIB_study___55_plant.txt
pot_151	phenotyping	P_9477	d_VIB_study___55_plant.txt
pot_152	phenotyping	P_9478	d_VIB_study___55_plant.txt
pot_153	phenotyping	P_9479	d_VIB_study___55_plant.txt
pot_154	phenotyping	P_9480	d_VIB_study___55_plant.txt
pot_155	phenotyping	P_9481	d_VIB_study___55_plant.txt
pot_156	phenotyping	P_9482	d_VIB_study___55_plant.txt
pot_157	phenotyping	P_9483	d_VIB_study___55_plant.txt
pot_158	phenotyping	P_9484	d_VIB_study___55_plant.txt
pot_159	phenotyping	P_9485	d_VIB_study___55_plant.txt
pot_16	phenotyping	P_9342	d_VIB_study___55_plant.txt
pot_160	phenotyping	P_9486	d_VIB_study___55_plant.txt
pot_161	phenotyping	P_9487	d_VIB_study___55_plant.txt
pot_162	phenotyping	P_9488	d_VIB_study___55_plant.txt
pot_163	phenotyping	P_9489	d_VIB_study___55_plant.txt
pot_164	phenotyping	P_9490	d_VIB_study___55_plant.txt
pot_165	phenotyping	P_9491	d_VIB_study___55_plant.txt
pot_166	phenotyping	P_9492	d_VIB_study___55_plant.txt
pot_167	phenotyping	P_9493	d_VIB_study___55_plant.txt
pot_168	phenotyping	P_9494	d_VIB_study___55_plant.txt
pot_169	phenotyping	P_9495	d_VIB_study___55_plant.txt
pot_17	phenotyping	P_9343	d_VIB_study___55_plant.txt
pot_170	phenotyping	P_9496	d_VIB_study___55_plant.txt
pot_171	phenotyping	P_9497	d_VIB_study___55_plant.txt
pot_172	phenotyping	P_9498	d_VIB_study___55_plant.txt
pot_173	phenotyping	P_9499	d_VIB_study___55_plant.txt
pot_174	phenotyping	P_9500	d_VIB_study___55_plant.txt
pot_175	phenotyping	P_9501	d_VIB_study___55_plant.txt
pot_176	phenotyping	P_9502	d_VIB_study___55_plant.txt
pot_177	phenotyping	P_9503	d_VIB_study___55_plant.txt
pot_178	phenotyping	P_9504	d_VIB_study___55_plant.txt
pot_179	phenotyping	P_9505	d_VIB_study___55_plant.txt
pot_18	phenotyping	P_9344	d_VIB_study___55_plant.txt
pot_180	phenotyping	P_9506	d_VIB_study___55_plant.txt
pot_181	phenotyping	P_9507	d_VIB_study___55_plant.txt
pot_182	phenotyping	P_9508	d_VIB_study___55_plant.txt
pot_183	phenotyping	P_9509	d_VIB_study___55_plant.txt
pot_184	phenotyping	P_9510	d_VIB_study___55_plant.txt
pot_185	phenotyping	P_9511	d_VIB_study___55_plant.txt
pot_186	phenotyping	P_9512	d_VIB_study___55_plant.txt
pot_187	phenotyping	P_9513	d_VIB_study___55_plant.txt
pot_188	phenotyping	P_9514	d_VIB_study___55_plant.txt
pot_189	phenotyping	P_9515	d_VIB_study___55_plant.txt
pot_19	phenotyping	P_9345	d_VIB_study___55_plant.txt
pot_190	phenotyping	P_9516	d_VIB_study___55_plant.txt
