Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
RIL_8W_1 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_287	plant	[plant]287
RIL_8W_10 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_177	plant	[plant]177
RIL_8W_11 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_178	plant	[plant]178
RIL_8W_12 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_179	plant	[plant]179
RIL_8W_13 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_337	plant	[plant]337
RIL_8W_14 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_454	plant	[plant]454
RIL_8W_15 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_499	plant	[plant]499
RIL_8W_16 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_515	plant	[plant]515
RIL_8W_18 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_59	plant	[plant]59
RIL_8W_19 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_53	plant	[plant]53
RIL_8W_2 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_263	plant	[plant]263
RIL_8W_20 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_80	plant	[plant]80
RIL_8W_22 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_309	plant	[plant]309
RIL_8W_23 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_312	plant	[plant]312
RIL_8W_24 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_317	plant	[plant]317
RIL_8W_26 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_364	plant	[plant]364
RIL_8W_27 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_367	plant	[plant]367
RIL_8W_28 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_3	plant	[plant]3
RIL_8W_29 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_174	plant	[plant]174
RIL_8W_3 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_243	plant	[plant]243
RIL_8W_30 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_450	plant	[plant]450
RIL_8W_31 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_468	plant	[plant]468
RIL_8W_32 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_471	plant	[plant]471
RIL_8W_33 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_489	plant	[plant]489
RIL_8W_34 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_516	plant	[plant]516
RIL_8W_35 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_25	plant	[plant]25
RIL_8W_36 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_42	plant	[plant]42
RIL_8W_37 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_50	plant	[plant]50
RIL_8W_39 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_79	plant	[plant]79
RIL_8W_4 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_189	plant	[plant]189
RIL_8W_40 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_96	plant	[plant]96
RIL_8W_41 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_108	plant	[plant]108
RIL_8W_42 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_143	plant	[plant]143
RIL_8W_44 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_185	plant	[plant]185
RIL_8W_45 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_211	plant	[plant]211
RIL_8W_46 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_227	plant	[plant]227
RIL_8W_47 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_235	plant	[plant]235
RIL_8W_48 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_245	plant	[plant]245
RIL_8W_49 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_261	plant	[plant]261
RIL_8W_5 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_142	plant	[plant]142
RIL_8W_50 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_277	plant	[plant]277
RIL_8W_51 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_301	plant	[plant]301
