Sample Name	Protocol REF	Parameter Value[season]	Assay Name
AlbericitktRep0	phenotyping	2000	assay-name_(2764023-2000)
ApacheitktRep0	phenotyping	2000	assay-name_(2764047-2000)
CF00188itktRep0	phenotyping	2000	assay-name_(2764037-2000)
CF00189itktRep0	phenotyping	2000	assay-name_(2764036-2000)
CF99056itktRep0	phenotyping	2000	assay-name_(2764060-2000)
CF99059itktRep0	phenotyping	2000	assay-name_(2764038-2000)
CF99071itktRep0	phenotyping	2000	assay-name_(2764039-2000)
CF99074itktRep0	phenotyping	2000	assay-name_(2764044-2000)
CF99075itktRep0	phenotyping	2000	assay-name_(2764043-2000)
ChargeritktRep0	phenotyping	2000	assay-name_(2764053-2000)
DI00001itktRep0	phenotyping	2000	assay-name_(2764040-2000)
DI00002itktRep0	phenotyping	2000	assay-name_(2764041-2000)
DI00003itktRep0	phenotyping	2000	assay-name_(2764042-2000)
DI00004itktRep0	phenotyping	2000	assay-name_(2764024-2000)
DI00005itktRep0	phenotyping	2000	assay-name_(2764025-2000)
DI00006itktRep0	phenotyping	2000	assay-name_(2764045-2000)
DI00007itktRep0	phenotyping	2000	assay-name_(2764046-2000)
DI00008itktRep0	phenotyping	2000	assay-name_(2764034-2000)
DI00009itktRep0	phenotyping	2000	assay-name_(2764035-2000)
EM00001itktRep0	phenotyping	2000	assay-name_(2764026-2000)
EM00002itktRep0	phenotyping	2000	assay-name_(2764028-2000)
EM00003itktRep0	phenotyping	2000	assay-name_(2764027-2000)
EM00004itktRep0	phenotyping	2000	assay-name_(2764030-2000)
EM00005itktRep0	phenotyping	2000	assay-name_(2764029-2000)
EM00006itktRep0	phenotyping	2000	assay-name_(2764032-2000)
EM00007itktRep0	phenotyping	2000	assay-name_(2764031-2000)
IsengrainitktRep0	phenotyping	2000	assay-name_(2764056-2000)
LM00001itktRep0	phenotyping	2000	assay-name_(2764033-2000)
RE00001itktRep0	phenotyping	2000	assay-name_(2764052-2000)
RE00002itktRep0	phenotyping	2000	assay-name_(2764050-2000)
RE00003itktRep0	phenotyping	2000	assay-name_(2764051-2000)
RE00004itktRep0	phenotyping	2000	assay-name_(2764048-2000)
RE00005itktRep0	phenotyping	2000	assay-name_(2764049-2000)
RE99104itktRep0	phenotyping	2000	assay-name_(2764057-2000)
RE99106itktRep0	phenotyping	2000	assay-name_(2764058-2000)
SoissonsitktRep0	phenotyping	2000	assay-name_(2764059-2000)
TremieitktRep0	phenotyping	2000	assay-name_(2764054-2000)
ValorisitktRep0	phenotyping	2000	assay-name_(2764055-2000)
