Sample Name	Protocol REF	Assay Name	Derived Data File
1	phenotyping	2806417-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
1	phenotyping	2806431-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
2	phenotyping	2806455-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
2	phenotyping	2806454-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
2	phenotyping	2806411-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
2	phenotyping	2806442-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
2	phenotyping	2806477-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Apacheitkt	phenotyping	2806441-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Apacheitkt	phenotyping	2806478-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03092itkt	phenotyping	2806456-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03092itkt	phenotyping	2806440-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806433-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806464-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806424-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806475-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806432-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806427-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806484-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806457-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806472-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806469-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF03326itkt	phenotyping	2806436-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF04215itkt	phenotyping	2806473-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF04215itkt	phenotyping	2806438-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF04215itkt	phenotyping	2806471-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
CF04215itkt	phenotyping	2806487-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Caphornitkt	phenotyping	2806422-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Caphornitkt	phenotyping	2806481-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Chargeritkt	phenotyping	2806466-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Chargeritkt	phenotyping	2806415-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Chargeritkt	phenotyping	2806444-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
DI05002itkt	phenotyping	2806423-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
DI05002itkt	phenotyping	2806488-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
DI05002itkt	phenotyping	2806434-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
DI05003itkt	phenotyping	2806418-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
DI05006itkt	phenotyping	2806443-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
DI05008itkt	phenotyping	2806412-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
DI05008itkt	phenotyping	2806420-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
DI05010itkt	phenotyping	2806425-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
DI05010itkt	phenotyping	2806463-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
EM04081itkt	phenotyping	2806467-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
EM04081itkt	phenotyping	2806439-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
EM04115itkt	phenotyping	2806414-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
EM04115itkt	phenotyping	2806482-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Farandoleitkt	phenotyping	2806465-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Farandoleitkt	phenotyping	2806462-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Farandoleitkt	phenotyping	2806437-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
LM04010itkt	phenotyping	2806430-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
LM04010itkt	phenotyping	2806445-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
LM04010itkt	phenotyping	2806483-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
LM04017itkt	phenotyping	2806486-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
LM04017itkt	phenotyping	2806447-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
LM04017itkt	phenotyping	2806452-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
LM04017itkt	phenotyping	2806476-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
LM04022itkt	phenotyping	2806479-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
