Sample Name	Protocol REF	Assay Name	Derived Data File
Apacheitkt	phenotyping	2806500-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
CF03092itkt	phenotyping	2806527-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
CF03326itkt	phenotyping	2806512-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
CF04004itkt	phenotyping	2806493-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
CF04215itkt	phenotyping	2806515-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
CF04264itkt	phenotyping	2806497-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
Caphornitkt	phenotyping	2806505-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
Chargeritkt	phenotyping	2806508-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
DI05001itkt	phenotyping	2806525-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
DI05002itkt	phenotyping	2806524-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
DI05003itkt	phenotyping	2806523-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
DI05004itkt	phenotyping	2806522-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
DI05005itkt	phenotyping	2806521-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
DI05006itkt	phenotyping	2806520-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
DI05007itkt	phenotyping	2806519-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
DI05008itkt	phenotyping	2806518-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
DI05009itkt	phenotyping	2806517-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
DI05010itkt	phenotyping	2806498-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
EM04081itkt	phenotyping	2806502-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
EM04115itkt	phenotyping	2806503-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
EM04145itkt	phenotyping	2806499-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
EM04149itkt	phenotyping	2806501-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
EM04181itkt	phenotyping	2806511-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
EM04187itkt	phenotyping	2806510-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
Farandoleitkt	phenotyping	2806506-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
LM04003itkt	phenotyping	2806514-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
LM04010itkt	phenotyping	2806495-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
LM04017itkt	phenotyping	2806496-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
LM04022itkt	phenotyping	2806526-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
Orvantisitkt	phenotyping	2806513-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
RE03012itkt	phenotyping	2806494-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
RE03019itkt	phenotyping	2806516-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
RE03034itkt	phenotyping	2806509-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
RE03099itkt	phenotyping	2806528-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
RE04004itkt	phenotyping	2806489-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
RE04005itkt	phenotyping	2806490-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
RE04008itkt	phenotyping	2806491-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
RE04009itkt	phenotyping	2806492-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
RE04012itkt	phenotyping	2806507-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
RE04017itkt	phenotyping	2806504-2005	d_BTH_Dijon_2005_SetB1_VIRTUAL_TRIAL.txt
