Sample Name	Protocol REF	Assay Name	Derived Data File
1	phenotyping	2765423-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
2	phenotyping	2765534-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkfi	phenotyping	2765473-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkfi	phenotyping	2765523-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkfi	phenotyping	2765434-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkfi	phenotyping	2765437-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkfi	phenotyping	2765505-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkfi	phenotyping	2765463-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkt	phenotyping	2765461-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkt	phenotyping	2765525-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkt	phenotyping	2765512-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkt	phenotyping	2765436-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkt	phenotyping	2765486-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkt	phenotyping	2765488-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkt	phenotyping	2765440-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
Balthazaritkt	phenotyping	2765519-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
CF00190itkfi	phenotyping	2765457-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
CF00190itkfi	phenotyping	2765499-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
CF00190itkfi	phenotyping	2765464-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
CF00190itkt	phenotyping	2765448-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
CF00190itkt	phenotyping	2765435-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
CF00190itkt	phenotyping	2765492-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
CF00191itkfi	phenotyping	2765540-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
CF00191itkt	phenotyping	2765521-2000	d_BTH_Le_Moulon_2000_SetB2_REPLICATION.txt
