Sample Name	Protocol REF	Parameter Value[season]	Assay Name
Balthazaritkfi	phenotyping	2000	assay-name_(2765547-2000)
Balthazaritkt	phenotyping	2000	assay-name_(2765548-2000)
CF00190itkfi	phenotyping	2000	assay-name_(2765555-2000)
CF00190itkt	phenotyping	2000	assay-name_(2765556-2000)
CF00191itkfi	phenotyping	2000	assay-name_(2765613-2000)
CF00191itkt	phenotyping	2000	assay-name_(2765614-2000)
CF99087itkfi	phenotyping	2000	assay-name_(2765617-2000)
CF99087itkt	phenotyping	2000	assay-name_(2765618-2000)
CF99105itkfi	phenotyping	2000	assay-name_(2765603-2000)
CF99105itkt	phenotyping	2000	assay-name_(2765604-2000)
CF99106itkfi	phenotyping	2000	assay-name_(2765609-2000)
CF99106itkt	phenotyping	2000	assay-name_(2765610-2000)
CF99127itkfi	phenotyping	2000	assay-name_(2765595-2000)
CF99127itkt	phenotyping	2000	assay-name_(2765596-2000)
CF99175itkfi	phenotyping	2000	assay-name_(2765545-2000)
CF99175itkt	phenotyping	2000	assay-name_(2765546-2000)
Chargeritkfi	phenotyping	2000	assay-name_(2765573-2000)
Chargeritkt	phenotyping	2000	assay-name_(2765574-2000)
DI00010itkfi	phenotyping	2000	assay-name_(2765601-2000)
DI00010itkt	phenotyping	2000	assay-name_(2765602-2000)
DI00011itkfi	phenotyping	2000	assay-name_(2765599-2000)
DI00011itkt	phenotyping	2000	assay-name_(2765600-2000)
DI00012itkfi	phenotyping	2000	assay-name_(2765597-2000)
DI00012itkt	phenotyping	2000	assay-name_(2765598-2000)
DI00013itkfi	phenotyping	2000	assay-name_(2765575-2000)
DI00013itkt	phenotyping	2000	assay-name_(2765576-2000)
DI00014itkfi	phenotyping	2000	assay-name_(2765553-2000)
DI00014itkt	phenotyping	2000	assay-name_(2765554-2000)
DI00015itkfi	phenotyping	2000	assay-name_(2765607-2000)
DI00015itkt	phenotyping	2000	assay-name_(2765608-2000)
DI00016itkfi	phenotyping	2000	assay-name_(2765605-2000)
DI00016itkt	phenotyping	2000	assay-name_(2765606-2000)
DI00017itkfi	phenotyping	2000	assay-name_(2765543-2000)
DI00017itkt	phenotyping	2000	assay-name_(2765544-2000)
DI00018itkfi	phenotyping	2000	assay-name_(2765591-2000)
DI00018itkt	phenotyping	2000	assay-name_(2765592-2000)
EM00008itkfi	phenotyping	2000	assay-name_(2765551-2000)
EM00008itkt	phenotyping	2000	assay-name_(2765552-2000)
EM00009itkfi	phenotyping	2000	assay-name_(2765549-2000)
EM00009itkt	phenotyping	2000	assay-name_(2765550-2000)
EM00010itkfi	phenotyping	2000	assay-name_(2765585-2000)
EM00010itkt	phenotyping	2000	assay-name_(2765586-2000)
EM00011itkfi	phenotyping	2000	assay-name_(2765587-2000)
EM00011itkt	phenotyping	2000	assay-name_(2765588-2000)
EM00012itkfi	phenotyping	2000	assay-name_(2765581-2000)
EM00012itkt	phenotyping	2000	assay-name_(2765582-2000)
EM00013itkfi	phenotyping	2000	assay-name_(2765583-2000)
EM00013itkt	phenotyping	2000	assay-name_(2765584-2000)
EM00014itkfi	phenotyping	2000	assay-name_(2765579-2000)
EM00014itkt	phenotyping	2000	assay-name_(2765580-2000)
Isengrainitkfi	phenotyping	2000	assay-name_(2765593-2000)
Isengrainitkt	phenotyping	2000	assay-name_(2765594-2000)
LM00002itkfi	phenotyping	2000	assay-name_(2765557-2000)
LM00002itkt	phenotyping	2000	assay-name_(2765558-2000)
Ornicaritkfi	phenotyping	2000	assay-name_(2765563-2000)
Ornicaritkt	phenotyping	2000	assay-name_(2765564-2000)
RE00006itkfi	phenotyping	2000	assay-name_(2765569-2000)
RE00006itkt	phenotyping	2000	assay-name_(2765570-2000)
RE00007itkfi	phenotyping	2000	assay-name_(2765571-2000)
RE00007itkt	phenotyping	2000	assay-name_(2765572-2000)
RE00008itkfi	phenotyping	2000	assay-name_(2765565-2000)
RE00008itkt	phenotyping	2000	assay-name_(2765566-2000)
RE00009itkfi	phenotyping	2000	assay-name_(2765567-2000)
RE00009itkt	phenotyping	2000	assay-name_(2765568-2000)
RE99107itkfi	phenotyping	2000	assay-name_(2765615-2000)
RE99107itkt	phenotyping	2000	assay-name_(2765616-2000)
RE99111itkfi	phenotyping	2000	assay-name_(2765561-2000)
RE99111itkt	phenotyping	2000	assay-name_(2765562-2000)
RE99123itkfi	phenotyping	2000	assay-name_(2765589-2000)
RE99123itkt	phenotyping	2000	assay-name_(2765590-2000)
RE99133itkfi	phenotyping	2000	assay-name_(2765559-2000)
RE99133itkt	phenotyping	2000	assay-name_(2765560-2000)
Soissonsitkfi	phenotyping	2000	assay-name_(2765611-2000)
Soissonsitkt	phenotyping	2000	assay-name_(2765612-2000)
Tremieitkfi	phenotyping	2000	assay-name_(2765577-2000)
Tremieitkt	phenotyping	2000	assay-name_(2765578-2000)
