Sample Name	Protocol REF	Parameter Value[season]	Assay Name
1	phenotyping	2007	assay-name_(2826325-2007)
1	phenotyping	2007	assay-name_(2826352-2007)
2	phenotyping	2007	assay-name_(2826263-2007)
2	phenotyping	2007	assay-name_(2826259-2007)
AO07001itknt	phenotyping	2007	assay-name_(2826313-2007)
AO07001itknt	phenotyping	2007	assay-name_(2826249-2007)
AO07001itknt	phenotyping	2007	assay-name_(2826240-2007)
AO07403itknt	phenotyping	2007	assay-name_(2826239-2007)
AO07403itknt	phenotyping	2007	assay-name_(2826241-2007)
AO07403itknt	phenotyping	2007	assay-name_(2826277-2007)
AO07403itknt	phenotyping	2007	assay-name_(2826375-2007)
AO07403itkt	phenotyping	2007	assay-name_(2826348-2007)
AO07403itkt	phenotyping	2007	assay-name_(2826340-2007)
AO07403itkt	phenotyping	2007	assay-name_(2826388-2007)
AO07403itkt	phenotyping	2007	assay-name_(2826381-2007)
AO07403itkt	phenotyping	2007	assay-name_(2826281-2007)
AO07438itknt	phenotyping	2007	assay-name_(2826224-2007)
AO07803itknt	phenotyping	2007	assay-name_(2826254-2007)
AO07803itknt	phenotyping	2007	assay-name_(2826262-2007)
AO07803itknt	phenotyping	2007	assay-name_(2826227-2007)
Apacheitknt	phenotyping	2007	assay-name_(2826252-2007)
Apacheitknt	phenotyping	2007	assay-name_(2826395-2007)
Apacheitknt	phenotyping	2007	assay-name_(2826384-2007)
Apacheitknt	phenotyping	2007	assay-name_(2826232-2007)
Apacheitkt	phenotyping	2007	assay-name_(2826286-2007)
Apacheitkt	phenotyping	2007	assay-name_(2826377-2007)
Apacheitkt	phenotyping	2007	assay-name_(2826374-2007)
Apacheitkt	phenotyping	2007	assay-name_(2826344-2007)
CF06210itknt	phenotyping	2007	assay-name_(2826339-2007)
CF06210itkt	phenotyping	2007	assay-name_(2826322-2007)
CF06210itkt	phenotyping	2007	assay-name_(2826360-2007)
CF06227itknt	phenotyping	2007	assay-name_(2826271-2007)
CF06227itknt	phenotyping	2007	assay-name_(2826299-2007)
CF06227itkt	phenotyping	2007	assay-name_(2826345-2007)
CF06227itkt	phenotyping	2007	assay-name_(2826373-2007)
CF06227itkt	phenotyping	2007	assay-name_(2826399-2007)
CF06230itknt	phenotyping	2007	assay-name_(2826269-2007)
CF06230itknt	phenotyping	2007	assay-name_(2826319-2007)
CF06230itknt	phenotyping	2007	assay-name_(2826349-2007)
CF06230itknt	phenotyping	2007	assay-name_(2826385-2007)
CF06230itknt	phenotyping	2007	assay-name_(2826303-2007)
CF06230itkt	phenotyping	2007	assay-name_(2826362-2007)
CF06230itkt	phenotyping	2007	assay-name_(2826382-2007)
CF06230itkt	phenotyping	2007	assay-name_(2826295-2007)
CF06230itkt	phenotyping	2007	assay-name_(2826387-2007)
CF06235itknt	phenotyping	2007	assay-name_(2826368-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826273-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826391-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826310-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826350-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826335-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826308-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826261-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826247-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826235-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826234-2007)
CF06235itkt	phenotyping	2007	assay-name_(2826394-2007)
CF06250itknt	phenotyping	2007	assay-name_(2826371-2007)
CF06250itknt	phenotyping	2007	assay-name_(2826285-2007)
CF06250itkt	phenotyping	2007	assay-name_(2826253-2007)
CF06250itkt	phenotyping	2007	assay-name_(2826302-2007)
CF06250itkt	phenotyping	2007	assay-name_(2826353-2007)
CF06250itkt	phenotyping	2007	assay-name_(2826386-2007)
CF06269itkt	phenotyping	2007	assay-name_(2826279-2007)
CF06269itkt	phenotyping	2007	assay-name_(2826364-2007)
CF06269itkt	phenotyping	2007	assay-name_(2826260-2007)
CF06269itkt	phenotyping	2007	assay-name_(2826318-2007)
CF06273itknt	phenotyping	2007	assay-name_(2826346-2007)
CF06273itknt	phenotyping	2007	assay-name_(2826316-2007)
CF06273itkt	phenotyping	2007	assay-name_(2826245-2007)
CF06277itknt	phenotyping	2007	assay-name_(2826255-2007)
CF06277itknt	phenotyping	2007	assay-name_(2826278-2007)
CF06277itknt	phenotyping	2007	assay-name_(2826231-2007)
CF06277itknt	phenotyping	2007	assay-name_(2826270-2007)
CF06277itknt	phenotyping	2007	assay-name_(2826369-2007)
CF06277itknt	phenotyping	2007	assay-name_(2826398-2007)
CF06277itknt	phenotyping	2007	assay-name_(2826337-2007)
CF06277itkt	phenotyping	2007	assay-name_(2826347-2007)
CF06294itknt	phenotyping	2007	assay-name_(2826238-2007)
CF06294itknt	phenotyping	2007	assay-name_(2826389-2007)
CF06294itkt	phenotyping	2007	assay-name_(2826331-2007)
CF06294itkt	phenotyping	2007	assay-name_(2826290-2007)
CF06294itkt	phenotyping	2007	assay-name_(2826317-2007)
CF06294itkt	phenotyping	2007	assay-name_(2826287-2007)
CF06294itkt	phenotyping	2007	assay-name_(2826321-2007)
CF06296itknt	phenotyping	2007	assay-name_(2826323-2007)
CF06296itknt	phenotyping	2007	assay-name_(2826275-2007)
CF06296itknt	phenotyping	2007	assay-name_(2826327-2007)
CF06296itknt	phenotyping	2007	assay-name_(2826230-2007)
CF06296itknt	phenotyping	2007	assay-name_(2826392-2007)
CF06296itknt	phenotyping	2007	assay-name_(2826256-2007)
CF06296itknt	phenotyping	2007	assay-name_(2826228-2007)
CF06296itkt	phenotyping	2007	assay-name_(2826359-2007)
CF06296itkt	phenotyping	2007	assay-name_(2826274-2007)
CF06296itkt	phenotyping	2007	assay-name_(2826333-2007)
CF06296itkt	phenotyping	2007	assay-name_(2826242-2007)
Caphornitkt	phenotyping	2007	assay-name_(2826288-2007)
DI07015itkt	phenotyping	2007	assay-name_(2826361-2007)
DI07016itknt	phenotyping	2007	assay-name_(2826332-2007)
DI07016itkt	phenotyping	2007	assay-name_(2826225-2007)
DI07016itkt	phenotyping	2007	assay-name_(2826300-2007)
DI07017itknt	phenotyping	2007	assay-name_(2826338-2007)
DI07017itkt	phenotyping	2007	assay-name_(2826306-2007)
DI07018itknt	phenotyping	2007	assay-name_(2826370-2007)
DI07018itknt	phenotyping	2007	assay-name_(2826237-2007)
DI07018itknt	phenotyping	2007	assay-name_(2826356-2007)
DI07020itkt	phenotyping	2007	assay-name_(2826358-2007)
DI07021itknt	phenotyping	2007	assay-name_(2826357-2007)
DI07021itknt	phenotyping	2007	assay-name_(2826305-2007)
EM06195itknt	phenotyping	2007	assay-name_(2826298-2007)
EM06195itkt	phenotyping	2007	assay-name_(2826244-2007)
EM06229itkt	phenotyping	2007	assay-name_(2826342-2007)
EM06229itkt	phenotyping	2007	assay-name_(2826257-2007)
EM06229itkt	phenotyping	2007	assay-name_(2826282-2007)
EM06229itkt	phenotyping	2007	assay-name_(2826267-2007)
EM06229itkt	phenotyping	2007	assay-name_(2826265-2007)
EM06229itkt	phenotyping	2007	assay-name_(2826292-2007)
EM06305itknt	phenotyping	2007	assay-name_(2826314-2007)
EM06305itknt	phenotyping	2007	assay-name_(2826284-2007)
EM06305itknt	phenotyping	2007	assay-name_(2826378-2007)
EM06305itknt	phenotyping	2007	assay-name_(2826276-2007)
EM06305itknt	phenotyping	2007	assay-name_(2826258-2007)
EM06305itknt	phenotyping	2007	assay-name_(2826272-2007)
EM06305itkt	phenotyping	2007	assay-name_(2826324-2007)
EM06305itkt	phenotyping	2007	assay-name_(2826250-2007)
EM06305itkt	phenotyping	2007	assay-name_(2826354-2007)
EM06305itkt	phenotyping	2007	assay-name_(2826243-2007)
EM06305itkt	phenotyping	2007	assay-name_(2826341-2007)
EM06305itkt	phenotyping	2007	assay-name_(2826372-2007)
EM06305itkt	phenotyping	2007	assay-name_(2826297-2007)
EM06307itknt	phenotyping	2007	assay-name_(2826283-2007)
EM06307itknt	phenotyping	2007	assay-name_(2826393-2007)
EM06307itknt	phenotyping	2007	assay-name_(2826264-2007)
EM06307itknt	phenotyping	2007	assay-name_(2826248-2007)
EM06307itknt	phenotyping	2007	assay-name_(2826383-2007)
EM06307itknt	phenotyping	2007	assay-name_(2826293-2007)
EM06307itknt	phenotyping	2007	assay-name_(2826280-2007)
EM06307itknt	phenotyping	2007	assay-name_(2826304-2007)
