Sample Name	Protocol REF	Parameter Value[season]	Assay Name
AO11001itknt	phenotyping	2011	assay-name_(2858986-2011)
AO11001itkt	phenotyping	2011	assay-name_(2858987-2011)
AO11002itknt	phenotyping	2011	assay-name_(2859004-2011)
AO11002itkt	phenotyping	2011	assay-name_(2859005-2011)
AO11003itknt	phenotyping	2011	assay-name_(2858988-2011)
AO11003itkt	phenotyping	2011	assay-name_(2858989-2011)
AO11004itknt	phenotyping	2011	assay-name_(2858980-2011)
AO11004itkt	phenotyping	2011	assay-name_(2858981-2011)
AO11005itknt	phenotyping	2011	assay-name_(2858978-2011)
AO11005itkt	phenotyping	2011	assay-name_(2858979-2011)
AO11006itknt	phenotyping	2011	assay-name_(2858974-2011)
AO11006itkt	phenotyping	2011	assay-name_(2858975-2011)
AO11007itknt	phenotyping	2011	assay-name_(2858952-2011)
AO11007itkt	phenotyping	2011	assay-name_(2858953-2011)
Altigoitknt	phenotyping	2011	assay-name_(2858982-2011)
Altigoitkt	phenotyping	2011	assay-name_(2858983-2011)
Apacheitknt	phenotyping	2011	assay-name_(2858960-2011)
Apacheitkt	phenotyping	2011	assay-name_(2858961-2011)
Attlassitknt	phenotyping	2011	assay-name_(2859010-2011)
Attlassitkt	phenotyping	2011	assay-name_(2859011-2011)
Barokitknt	phenotyping	2011	assay-name_(2858938-2011)
Barokitkt	phenotyping	2011	assay-name_(2858939-2011)
Bermudeitknt	phenotyping	2011	assay-name_(2858946-2011)
Bermudeitkt	phenotyping	2011	assay-name_(2858947-2011)
CF10004itknt	phenotyping	2011	assay-name_(2858950-2011)
CF10004itkt	phenotyping	2011	assay-name_(2858951-2011)
CF10011itknt	phenotyping	2011	assay-name_(2859000-2011)
CF10011itkt	phenotyping	2011	assay-name_(2859001-2011)
CF10016itknt	phenotyping	2011	assay-name_(2859006-2011)
CF10016itkt	phenotyping	2011	assay-name_(2859007-2011)
CF10039itknt	phenotyping	2011	assay-name_(2858984-2011)
CF10039itkt	phenotyping	2011	assay-name_(2858985-2011)
CF10042itknt	phenotyping	2011	assay-name_(2858944-2011)
CF10042itkt	phenotyping	2011	assay-name_(2858945-2011)
CF10044itknt	phenotyping	2011	assay-name_(2858942-2011)
CF10044itkt	phenotyping	2011	assay-name_(2858943-2011)
CF10049itknt	phenotyping	2011	assay-name_(2858948-2011)
CF10049itkt	phenotyping	2011	assay-name_(2858949-2011)
DI11001itknt	phenotyping	2011	assay-name_(2858972-2011)
DI11001itkt	phenotyping	2011	assay-name_(2858973-2011)
DI11002itknt	phenotyping	2011	assay-name_(2858968-2011)
DI11002itkt	phenotyping	2011	assay-name_(2858969-2011)
DI11003itknt	phenotyping	2011	assay-name_(2858970-2011)
DI11003itkt	phenotyping	2011	assay-name_(2858971-2011)
DI11004itknt	phenotyping	2011	assay-name_(2858964-2011)
DI11004itkt	phenotyping	2011	assay-name_(2858965-2011)
DI11005itknt	phenotyping	2011	assay-name_(2858966-2011)
DI11005itkt	phenotyping	2011	assay-name_(2858967-2011)
DI11006itknt	phenotyping	2011	assay-name_(2858994-2011)
DI11006itkt	phenotyping	2011	assay-name_(2858995-2011)
DI11007itknt	phenotyping	2011	assay-name_(2858998-2011)
DI11007itkt	phenotyping	2011	assay-name_(2858999-2011)
EM10073itknt	phenotyping	2011	assay-name_(2859016-2011)
EM10073itkt	phenotyping	2011	assay-name_(2859017-2011)
EM10126itknt	phenotyping	2011	assay-name_(2858962-2011)
EM10126itkt	phenotyping	2011	assay-name_(2858963-2011)
EM10200itknt	phenotyping	2011	assay-name_(2858956-2011)
EM10200itkt	phenotyping	2011	assay-name_(2858957-2011)
EM10207itknt	phenotyping	2011	assay-name_(2858958-2011)
EM10207itkt	phenotyping	2011	assay-name_(2858959-2011)
EM10241itknt	phenotyping	2011	assay-name_(2858990-2011)
EM10241itkt	phenotyping	2011	assay-name_(2858991-2011)
Premioitknt	phenotyping	2011	assay-name_(2858940-2011)
Premioitkt	phenotyping	2011	assay-name_(2858941-2011)
RE10016itknt	phenotyping	2011	assay-name_(2858954-2011)
RE10016itkt	phenotyping	2011	assay-name_(2858955-2011)
RE10023itknt	phenotyping	2011	assay-name_(2859014-2011)
RE10023itkt	phenotyping	2011	assay-name_(2859015-2011)
RE10029itknt	phenotyping	2011	assay-name_(2859008-2011)
RE10029itkt	phenotyping	2011	assay-name_(2859009-2011)
RE10039itknt	phenotyping	2011	assay-name_(2858976-2011)
RE10039itkt	phenotyping	2011	assay-name_(2858977-2011)
RE10040itknt	phenotyping	2011	assay-name_(2858996-2011)
RE10040itkt	phenotyping	2011	assay-name_(2858997-2011)
RE10042itknt	phenotyping	2011	assay-name_(2859012-2011)
RE10042itkt	phenotyping	2011	assay-name_(2859013-2011)
RE10043itknt	phenotyping	2011	assay-name_(2858992-2011)
RE10043itkt	phenotyping	2011	assay-name_(2858993-2011)
RE10049itknt	phenotyping	2011	assay-name_(2859002-2011)
RE10049itkt	phenotyping	2011	assay-name_(2859003-2011)
