Sample Name	Protocol REF	Parameter Value[season]	Assay Name
AO11008	phenotyping	2011	assay-name_(2860320-2011)
AO11009	phenotyping	2011	assay-name_(2860319-2011)
AO11010	phenotyping	2011	assay-name_(2860317-2011)
AO11011	phenotyping	2011	assay-name_(2860318-2011)
AO11012	phenotyping	2011	assay-name_(2860299-2011)
AO11013	phenotyping	2011	assay-name_(2860300-2011)
AO11014	phenotyping	2011	assay-name_(2860303-2011)
Altigo	phenotyping	2011	assay-name_(2860321-2011)
Apache	phenotyping	2011	assay-name_(2860316-2011)
Attlass	phenotyping	2011	assay-name_(2860327-2011)
Bermude	phenotyping	2011	assay-name_(2860307-2011)
CF10064	phenotyping	2011	assay-name_(2860306-2011)
CF10082	phenotyping	2011	assay-name_(2860311-2011)
CF10108	phenotyping	2011	assay-name_(2860301-2011)
CF10125	phenotyping	2011	assay-name_(2860309-2011)
CF10140	phenotyping	2011	assay-name_(2860310-2011)
CF10180	phenotyping	2011	assay-name_(2860335-2011)
CF10185	phenotyping	2011	assay-name_(2860337-2011)
CF10186	phenotyping	2011	assay-name_(2860336-2011)
DI11008	phenotyping	2011	assay-name_(2860314-2011)
DI11009	phenotyping	2011	assay-name_(2860315-2011)
DI11010	phenotyping	2011	assay-name_(2860329-2011)
DI11011	phenotyping	2011	assay-name_(2860328-2011)
DI11012	phenotyping	2011	assay-name_(2860331-2011)
DI11013	phenotyping	2011	assay-name_(2860330-2011)
DI11014	phenotyping	2011	assay-name_(2860332-2011)
EM10304	phenotyping	2011	assay-name_(2860324-2011)
EM10306	phenotyping	2011	assay-name_(2860323-2011)
EM10317	phenotyping	2011	assay-name_(2860304-2011)
EM10322	phenotyping	2011	assay-name_(2860322-2011)
Koreli	phenotyping	2011	assay-name_(2860313-2011)
Premio	phenotyping	2011	assay-name_(2860298-2011)
RE10050	phenotyping	2011	assay-name_(2860305-2011)
RE10057	phenotyping	2011	assay-name_(2860302-2011)
RE10060	phenotyping	2011	assay-name_(2860325-2011)
RE10063	phenotyping	2011	assay-name_(2860326-2011)
RE10072	phenotyping	2011	assay-name_(2860308-2011)
RE10080	phenotyping	2011	assay-name_(2860334-2011)
RE10081	phenotyping	2011	assay-name_(2860333-2011)
RE10085	phenotyping	2011	assay-name_(2860312-2011)
