Sample Name	Protocol REF	Parameter Value[season]	Assay Name
1	phenotyping	2014	assay-name_(2887617-2014)
1	phenotyping	2014	assay-name_(2887639-2014)
2	phenotyping	2014	assay-name_(2887668-2014)
2	phenotyping	2014	assay-name_(2887650-2014)
2	phenotyping	2014	assay-name_(2887628-2014)
2	phenotyping	2014	assay-name_(2887624-2014)
2	phenotyping	2014	assay-name_(2887662-2014)
AO14026itkfi	phenotyping	2014	assay-name_(2887647-2014)
AO14026itkfi	phenotyping	2014	assay-name_(2887659-2014)
AO14026itkfi	phenotyping	2014	assay-name_(2887620-2014)
AO14027itkfi	phenotyping	2014	assay-name_(2887599-2014)
AO14027itkfi	phenotyping	2014	assay-name_(2887631-2014)
AO14028itkfi	phenotyping	2014	assay-name_(2887614-2014)
AO14028itkfi	phenotyping	2014	assay-name_(2887661-2014)
AO14028itkfi	phenotyping	2014	assay-name_(2887611-2014)
AO14028itkfi	phenotyping	2014	assay-name_(2887619-2014)
AO14034itkfi	phenotyping	2014	assay-name_(2887660-2014)
AO14034itkfi	phenotyping	2014	assay-name_(2887604-2014)
AO14035itkfi	phenotyping	2014	assay-name_(2887671-2014)
AO14036itkfi	phenotyping	2014	assay-name_(2887654-2014)
AO14036itkfi	phenotyping	2014	assay-name_(2887664-2014)
AO14036itkfi	phenotyping	2014	assay-name_(2887653-2014)
AO14037itkfi	phenotyping	2014	assay-name_(2887672-2014)
AO14037itkfi	phenotyping	2014	assay-name_(2887601-2014)
AO14039itkfi	phenotyping	2014	assay-name_(2887618-2014)
AO14040itkfi	phenotyping	2014	assay-name_(2887636-2014)
AO14040itkfi	phenotyping	2014	assay-name_(2887607-2014)
AO14040itkfi	phenotyping	2014	assay-name_(2887600-2014)
AO14041itkfi	phenotyping	2014	assay-name_(2887597-2014)
AO14041itkfi	phenotyping	2014	assay-name_(2887602-2014)
Apacheitkfi	phenotyping	2014	assay-name_(2887609-2014)
Bermudeitkfi	phenotyping	2014	assay-name_(2887608-2014)
Bermudeitkfi	phenotyping	2014	assay-name_(2887665-2014)
Bermudeitkfi	phenotyping	2014	assay-name_(2887637-2014)
CF13158itkfi	phenotyping	2014	assay-name_(2887663-2014)
CF13158itkfi	phenotyping	2014	assay-name_(2887615-2014)
CF13158itkfi	phenotyping	2014	assay-name_(2887633-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887625-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887645-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887630-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887649-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887606-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887648-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887634-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887610-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887667-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887627-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887605-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887670-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887603-2014)
DI14004itkfi	phenotyping	2014	assay-name_(2887666-2014)
EM13147itkfi	phenotyping	2014	assay-name_(2887652-2014)
RE13116itkfi	phenotyping	2014	assay-name_(2887656-2014)
RE13116itkfi	phenotyping	2014	assay-name_(2887658-2014)
RE13116itkfi	phenotyping	2014	assay-name_(2887623-2014)
RE13116itkfi	phenotyping	2014	assay-name_(2887613-2014)
RE13121itkfi	phenotyping	2014	assay-name_(2887655-2014)
RE13121itkfi	phenotyping	2014	assay-name_(2887621-2014)
RE13121itkfi	phenotyping	2014	assay-name_(2887669-2014)
RE13128itkfi	phenotyping	2014	assay-name_(2887643-2014)
RE13128itkfi	phenotyping	2014	assay-name_(2887646-2014)
RE13128itkfi	phenotyping	2014	assay-name_(2887635-2014)
RE13128itkfi	phenotyping	2014	assay-name_(2887632-2014)
RE13138itkfi	phenotyping	2014	assay-name_(2887629-2014)
RE14131itkfi	phenotyping	2014	assay-name_(2887651-2014)
RE14131itkfi	phenotyping	2014	assay-name_(2887622-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887638-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887642-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887598-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887626-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887641-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887644-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887612-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887616-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887657-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887640-2014)
