Sample Name	Protocol REF	Parameter Value[season]	Assay Name
AO14023itkfi	phenotyping	2014	assay-name_(2887692-2014)
AO14024itkfi	phenotyping	2014	assay-name_(2887695-2014)
AO14025itkfi	phenotyping	2014	assay-name_(2887703-2014)
AO14026itkfi	phenotyping	2014	assay-name_(2887704-2014)
AO14027itkfi	phenotyping	2014	assay-name_(2887705-2014)
AO14028itkfi	phenotyping	2014	assay-name_(2887709-2014)
AO14034itkfi	phenotyping	2014	assay-name_(2887686-2014)
AO14035itkfi	phenotyping	2014	assay-name_(2887682-2014)
AO14036itkfi	phenotyping	2014	assay-name_(2887684-2014)
AO14037itkfi	phenotyping	2014	assay-name_(2887691-2014)
AO14038itkfi	phenotyping	2014	assay-name_(2887690-2014)
AO14039itkfi	phenotyping	2014	assay-name_(2887689-2014)
AO14040itkfi	phenotyping	2014	assay-name_(2887699-2014)
AO14041itkfi	phenotyping	2014	assay-name_(2887700-2014)
AO14042itkfi	phenotyping	2014	assay-name_(2887697-2014)
AO14043itkfi	phenotyping	2014	assay-name_(2887698-2014)
Apacheitkfi	phenotyping	2014	assay-name_(2887688-2014)
Arezzoitkfi	phenotyping	2014	assay-name_(2887710-2014)
Barokitkfi	phenotyping	2014	assay-name_(2887673-2014)
Bermudeitkfi	phenotyping	2014	assay-name_(2887678-2014)
CF13081itkfi	phenotyping	2014	assay-name_(2887694-2014)
CF13158itkfi	phenotyping	2014	assay-name_(2887677-2014)
CF13172itkfi	phenotyping	2014	assay-name_(2887674-2014)
CF13187itkfi	phenotyping	2014	assay-name_(2887701-2014)
CF13217itkfi	phenotyping	2014	assay-name_(2887696-2014)
DI14004itkfi	phenotyping	2014	assay-name_(2887675-2014)
EM13147itkfi	phenotyping	2014	assay-name_(2887707-2014)
EM13243itkfi	phenotyping	2014	assay-name_(2887679-2014)
EM13249itkfi	phenotyping	2014	assay-name_(2887676-2014)
RE13107itkfi	phenotyping	2014	assay-name_(2887681-2014)
RE13114itkfi	phenotyping	2014	assay-name_(2887683-2014)
RE13116itkfi	phenotyping	2014	assay-name_(2887685-2014)
RE13121itkfi	phenotyping	2014	assay-name_(2887702-2014)
RE13128itkfi	phenotyping	2014	assay-name_(2887708-2014)
RE13138itkfi	phenotyping	2014	assay-name_(2887687-2014)
RE14129itkfi	phenotyping	2014	assay-name_(2887680-2014)
RE14131itkfi	phenotyping	2014	assay-name_(2887693-2014)
Rubiskoitkfi	phenotyping	2014	assay-name_(2887706-2014)
