observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	r	rdt
2764032-2000	gnpis.lot:'EM00006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VFWjdFVw==	EM00006	29131	2000	NA	96,3	
2764032-2000	gnpis.lot:'EM00006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VFWjdFVw==	EM00006	29131	2000	NA		74,6
2764028-2000	gnpis.lot:'EM00002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01UTU80Ug==	EM00002	23832	2000	NA	103,5	
2764028-2000	gnpis.lot:'EM00002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01UTU80Ug==	EM00002	23832	2000	NA		80,2
2764052-2000	gnpis.lot:'RE00001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMDAwMQ==	RE00001	RE00001	2000	NA	88,2	
2764052-2000	gnpis.lot:'RE00001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMDAwMQ==	RE00001	RE00001	2000	NA		68,3
2764044-2000	gnpis.lot:'CF99074'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0Y5OTA3NA==	CF99074	CF99074	2000	NA	91,3	
2764044-2000	gnpis.lot:'CF99074'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0Y5OTA3NA==	CF99074	CF99074	2000	NA		70,7
2764049-2000	gnpis.lot:'RE00005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMDAwNQ==	RE00005	RE00005	2000	NA	88,9	
2764049-2000	gnpis.lot:'RE00005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMDAwNQ==	RE00005	RE00005	2000	NA		68,9
2764047-2000	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2000	NA	99,6	
2764047-2000	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2000	NA		77,2
2764059-2000	gnpis.lot:'SOISSONS'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pSTU5PMg==	SOISSONS	6607	2000	NA	97,2	
2764059-2000	gnpis.lot:'SOISSONS'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pSTU5PMg==	SOISSONS	6607	2000	NA		75,3
2764050-2000	gnpis.lot:'RE00002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMDAwMg==	RE00002	RE00002	2000	NA	97,3	
2764050-2000	gnpis.lot:'RE00002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMDAwMg==	RE00002	RE00002	2000	NA		75,4
2764055-2000	gnpis.lot:'Valoris'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VNVVo4WA==	VALORIS	13871	2000	NA	106,7	
2764055-2000	gnpis.lot:'Valoris'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VNVVo4WA==	VALORIS	13871	2000	NA		82,7
2764041-2000	gnpis.lot:'DI00002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwMg==	DI00002	DI00002	2000	NA	103,5	
2764041-2000	gnpis.lot:'DI00002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwMg==	DI00002	DI00002	2000	NA		80,2
2764029-2000	gnpis.lot:'EM00005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAwNQ==	EM00005	EM00005	2000	NA	108,4	
2764029-2000	gnpis.lot:'EM00005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAwNQ==	EM00005	EM00005	2000	NA		84
2764053-2000	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2000	NA	90,6	
2764053-2000	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2000	NA		70,2
2764027-2000	gnpis.lot:'EM00003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAwMw==	EM00003	EM00003	2000	NA	93,3	
2764027-2000	gnpis.lot:'EM00003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAwMw==	EM00003	EM00003	2000	NA		72,3
2764033-2000	gnpis.lot:'LM00001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wMDAwMQ==	LM00001	LM00001	2000	NA	110,7	
2764033-2000	gnpis.lot:'LM00001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wMDAwMQ==	LM00001	LM00001	2000	NA		85,8
2764039-2000	gnpis.lot:'CF99071'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0Y5OTA3MQ==	CF99071	CF99071	2000	NA	95,4	
2764039-2000	gnpis.lot:'CF99071'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0Y5OTA3MQ==	CF99071	CF99071	2000	NA		73,9
2764056-2000	gnpis.lot:'Isengrain'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1laWkdZQg==	ISENGRAIN	13433	2000	NA	110,4	
2764056-2000	gnpis.lot:'Isengrain'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1laWkdZQg==	ISENGRAIN	13433	2000	NA		85,5
2764057-2000	gnpis.lot:'RE99104'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkU5OTEwNA==	RE99104	RE99104	2000	NA	88	
2764057-2000	gnpis.lot:'RE99104'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkU5OTEwNA==	RE99104	RE99104	2000	NA		68,2
2764060-2000	gnpis.lot:'CF99056'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0Y5OTA1Ng==	CF99056	CF99056	2000	NA	90,9	
2764060-2000	gnpis.lot:'CF99056'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0Y5OTA1Ng==	CF99056	CF99056	2000	NA		70,4
2764040-2000	gnpis.lot:'DI00001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwMQ==	DI00001	DI00001	2000	NA	98,5	
2764040-2000	gnpis.lot:'DI00001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwMQ==	DI00001	DI00001	2000	NA		76,3
2764034-2000	gnpis.lot:'DI00008'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BSQzVRTg==	DI00008	29118	2000	NA	107,3	
2764034-2000	gnpis.lot:'DI00008'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BSQzVRTg==	DI00008	29118	2000	NA		83,1
2764042-2000	gnpis.lot:'DI00003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwMw==	DI00003	DI00003	2000	NA	96	
2764042-2000	gnpis.lot:'DI00003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwMw==	DI00003	DI00003	2000	NA		74,4
2764048-2000	gnpis.lot:'RE00004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMDAwNA==	RE00004	RE00004	2000	NA	102,6	
2764048-2000	gnpis.lot:'RE00004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMDAwNA==	RE00004	RE00004	2000	NA		79,5
2764025-2000	gnpis.lot:'DI00005'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hUVTJUTw==	DI00005	29117	2000	NA	100,4	
2764025-2000	gnpis.lot:'DI00005'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hUVTJUTw==	DI00005	29117	2000	NA		77,8
2764030-2000	gnpis.lot:'EM00004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRXSEhKWg==	EM00004	29130	2000	NA	92,5	
2764030-2000	gnpis.lot:'EM00004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRXSEhKWg==	EM00004	29130	2000	NA		71,7
2764031-2000	gnpis.lot:'EM00007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAwNw==	EM00007	EM00007	2000	NA	91,1	
2764031-2000	gnpis.lot:'EM00007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAwNw==	EM00007	EM00007	2000	NA		70,6
2764037-2000	gnpis.lot:'CF00188'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMDE4OA==	CF00188	CF00188	2000	NA	90,1	
2764037-2000	gnpis.lot:'CF00188'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMDE4OA==	CF00188	CF00188	2000	NA		69,8
2764045-2000	gnpis.lot:'DI00006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwNg==	DI00006	DI00006	2000	NA	93,1	
2764045-2000	gnpis.lot:'DI00006'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwNg==	DI00006	DI00006	2000	NA		72,1
