observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rdt
1	2806413-2005	gnpis.lot:'RE04008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwOA==	RE04008	RE04008	2005	NA	74,58
1	2806453-2005	gnpis.lot:'EM04181'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVRSk9XQg==	EM04181	37281	2005	NA	73,12
2	2806458-2005	gnpis.lot:'Orvantis'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NZTUZEWQ==	ORVANTIS	14088	2005	NA	83,77
1	2806457-2005	gnpis.lot:'Orvantis'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NZTUZEWQ==	ORVANTIS	14088	2005	NA	81,99
1	2806423-2005	gnpis.lot:'LM04017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAxNw==	LM04017	LM04017	2005	NA	76,13
1	2806477-2005	gnpis.lot:'DI05003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMw==	DI05003	DI05003	2005	NA	74,09
1	2806449-2005	gnpis.lot:'RE03034'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzAzNA==	RE03034	RE03034	2005	NA	75,99
2	2806448-2005	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2005	NA	83,87
1	2806469-2005	gnpis.lot:'DI05007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwNw==	DI05007	DI05007	2005	NA	73,47
2	2806434-2005	gnpis.lot:'EM04149'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDE0OQ==	EM04149	EM04149	2005	NA	66,57
2	2806488-2005	gnpis.lot:'RE03099'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzA5OQ==	RE03099	RE03099	2005	NA	73,66
2	2806432-2005	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2005	NA	79,66
1	2806411-2005	gnpis.lot:'RE04005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwNQ==	RE04005	RE04005	2005	NA	69,85
1	2806455-2005	gnpis.lot:'CF03326'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMzMyNg==	CF03326	CF03326	2005	NA	67,81
2	2806450-2005	gnpis.lot:'RE03034'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzAzNA==	RE03034	RE03034	2005	NA	68,05
1	2806425-2005	gnpis.lot:'CF04264'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDI2NA==	CF04264	CF04264	2005	NA	78,15
1	2806463-2005	gnpis.lot:'RE03019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05NT1lENg==	RE03019	28973	2005	NA	72,19
1	2806451-2005	gnpis.lot:'EM04187'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDE4Nw==	EM04187	EM04187	2005	NA	79,74
2	2806442-2005	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2005	NA	82,52
2	2806454-2005	gnpis.lot:'EM04181'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVRSk9XQg==	EM04181	37281	2005	NA	76,97
1	2806417-2005	gnpis.lot:'CF04004'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDAwNA==	CF04004	CF04004	2005	NA	77,37
1	2806443-2005	gnpis.lot:'Farandole'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZZUEhPTw==	FARANDOLE	20225	2005	NA	77,55
2	2806430-2005	gnpis.lot:'EM04145'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZRTFRMWQ==	EM04145	32776	2005	NA	64,09
1	2806445-2005	gnpis.lot:'RE04012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAxMg==	RE04012	RE04012	2005	NA	58,57
1	2806483-2005	gnpis.lot:'LM04022'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAyMg==	LM04022	LM04022	2005	NA	78,23
1	2806431-2005	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2005	NA	72,82
1	2806437-2005	gnpis.lot:'EM04115'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDExNQ==	EM04115	EM04115	2005	NA	62,5
2	2806462-2005	gnpis.lot:'CF04215'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNDIxNQ==	CF04215	CF04215	2005	NA	63,13
1	2806465-2005	gnpis.lot:'DI05009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwOQ==	DI05009	DI05009	2005	NA	72,73
1	2806419-2005	gnpis.lot:'RE03012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMzAxMg==	RE03012	RE03012	2005	NA	74,01
