observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	prec	ps
2806510-2005	gnpis.lot:'EM04187'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDE4Nw==	EM04187	EM04187	2005	NA	79		
2806510-2005	gnpis.lot:'EM04187'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDE4Nw==	EM04187	EM04187	2005	NA		144	
2806510-2005	gnpis.lot:'EM04187'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNDE4Nw==	EM04187	EM04187	2005	NA			73,4
2806524-2005	gnpis.lot:'DI05002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMg==	DI05002	DI05002	2005	NA	77		
2806524-2005	gnpis.lot:'DI05002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMg==	DI05002	DI05002	2005	NA		140,5	
2806524-2005	gnpis.lot:'DI05002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAwMg==	DI05002	DI05002	2005	NA			74,3
2806498-2005	gnpis.lot:'DI05010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAxMA==	DI05010	DI05010	2005	NA	79		
2806498-2005	gnpis.lot:'DI05010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAxMA==	DI05010	DI05010	2005	NA		147	
2806498-2005	gnpis.lot:'DI05010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNTAxMA==	DI05010	DI05010	2005	NA			70,2
2806505-2005	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2005	NA	79		
2806505-2005	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2005	NA		141,5	
2806505-2005	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2005	NA			60,6
2806506-2005	gnpis.lot:'Farandole'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZZUEhPTw==	FARANDOLE	20225	2005	NA	79,5		
2806506-2005	gnpis.lot:'Farandole'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZZUEhPTw==	FARANDOLE	20225	2005	NA		141	
2806506-2005	gnpis.lot:'Farandole'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZZUEhPTw==	FARANDOLE	20225	2005	NA			74
2806514-2005	gnpis.lot:'LM04003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAwMw==	LM04003	LM04003	2005	NA	75,5		
2806514-2005	gnpis.lot:'LM04003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAwMw==	LM04003	LM04003	2005	NA		141	
2806514-2005	gnpis.lot:'LM04003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wNDAwMw==	LM04003	LM04003	2005	NA			78,2
2806491-2005	gnpis.lot:'RE04008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwOA==	RE04008	RE04008	2005	NA	87,5		
2806491-2005	gnpis.lot:'RE04008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNDAwOA==	RE04008	RE04008	2005	NA		144	
