observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rdt
2	2765534-2000	gnpis.lot:'CF00191'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZSQkxLTA==	CF00191	22481	2000	NA	110,1
1	2765423-2000	gnpis.lot:'RE99133'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkU5OTEzMw==	RE99133	RE99133	2000	NA	79,6
1	2765397-2000	gnpis.lot:'CF99175'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0Y5OTE3NQ==	CF99175	CF99175	2000	NA	92,5
1	2765427-2000	gnpis.lot:'RE99111'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkU5OTExMQ==	RE99111	RE99111	2000	NA	71,5
2	2765514-2000	gnpis.lot:'CF99105'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0o2WUIxMA==	CF99105	20364	2000	NA	108,5
2	2765452-2000	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2000	NA	66
1	2765419-2000	gnpis.lot:'LM00002'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6TE0wMDAwMg==	LM00002	LM00002	2000	NA	75,3
1	2765431-2000	gnpis.lot:'Ornicar'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pVWkJNOQ==	ORNICAR	13471	2000	NA	81,6
2	2765474-2000	gnpis.lot:'EM00013'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAxMw==	EM00013	EM00013	2000	NA	103,4
1	2765491-2000	gnpis.lot:'Isengrain'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1laWkdZQg==	ISENGRAIN	13433	2000	NA	66,7
2	2765494-2000	gnpis.lot:'Isengrain'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1laWkdZQg==	ISENGRAIN	13433	2000	NA	98,5
