observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	r	rdt
2765585-2000	gnpis.lot:'EM00010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAxMA==	EM00010	EM00010	2000	NA	121,2	
2765585-2000	gnpis.lot:'EM00010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAxMA==	EM00010	EM00010	2000	NA		79,5
2765598-2000	gnpis.lot:'DI00012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAxMg==	DI00012	DI00012	2000	NA	96,3	
2765598-2000	gnpis.lot:'DI00012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAxMg==	DI00012	DI00012	2000	NA		104,4
2765544-2000	gnpis.lot:'DI00017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAxNw==	DI00017	DI00017	2000	NA	91,2	
2765544-2000	gnpis.lot:'DI00017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAxNw==	DI00017	DI00017	2000	NA		98,8
2765575-2000	gnpis.lot:'DI00013'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAxMw==	DI00013	DI00013	2000	NA	124	
2765575-2000	gnpis.lot:'DI00013'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAxMw==	DI00013	DI00013	2000	NA		81,3
2765602-2000	gnpis.lot:'DI00010'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01BVVpaTQ==	DI00010	23830	2000	NA	105,6	
2765602-2000	gnpis.lot:'DI00010'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01BVVpaTQ==	DI00010	23830	2000	NA		114,5
2765592-2000	gnpis.lot:'DI00018'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAxOA==	DI00018	DI00018	2000	NA	101,4	
2765592-2000	gnpis.lot:'DI00018'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAxOA==	DI00018	DI00018	2000	NA		110
2765549-2000	gnpis.lot:'EM00009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAwOQ==	EM00009	EM00009	2000	NA	113,2	
2765549-2000	gnpis.lot:'EM00009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAwOQ==	EM00009	EM00009	2000	NA		74,2
