observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	rdt
1	2791487-2003	gnpis.lot:'DI03019'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAxOQ==	DI03019	DI03019	2003	NA		90,96
1	2791487-2003	gnpis.lot:'DI03019'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAxOQ==	DI03019	DI03019	2003	NA	13,72	
2	2791630-2003	gnpis.lot:'RE02181'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjE4MQ==	RE02181	RE02181	2003	NA		77,46
2	2791630-2003	gnpis.lot:'RE02181'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjE4MQ==	RE02181	RE02181	2003	NA	10,7	
2	2791656-2003	gnpis.lot:'SOISSONS'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pSTU5PMg==	SOISSONS	6607	2003	NA		88,9
2	2791656-2003	gnpis.lot:'SOISSONS'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pSTU5PMg==	SOISSONS	6607	2003	NA	13,06	
2	2791648-2003	gnpis.lot:'EM02224'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01KVzJaWA==	EM02224	28847	2003	NA		104,25
2	2791648-2003	gnpis.lot:'EM02224'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01KVzJaWA==	EM02224	28847	2003	NA	13,76	
1	2791651-2003	gnpis.lot:'EM02201'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMQ==	EM02201	EM02201	2003	NA		100,72
1	2791651-2003	gnpis.lot:'EM02201'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMQ==	EM02201	EM02201	2003	NA	12,5	
2	2791608-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA		103,03
2	2791608-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA	12,66	
2	2791622-2003	gnpis.lot:'CF00057'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMDA1Nw==	CF00057	CF00057	2003	NA		71,63
2	2791622-2003	gnpis.lot:'CF00057'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMDA1Nw==	CF00057	CF00057	2003	NA	11,44	
2	2791490-2003	gnpis.lot:'RE01052'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMTA1Mg==	RE01052	RE01052	2003	NA		72,13
2	2791490-2003	gnpis.lot:'RE01052'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMTA1Mg==	RE01052	RE01052	2003	NA	12,31	
1	2791637-2003	gnpis.lot:'EM02164'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE2NA==	EM02164	EM02164	2003	NA		72,96
1	2791637-2003	gnpis.lot:'EM02164'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE2NA==	EM02164	EM02164	2003	NA	9,97	
2	2791658-2003	gnpis.lot:'CF02283'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VRR0VKWA==	CF02283	24599	2003	NA		69,52
2	2791658-2003	gnpis.lot:'CF02283'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VRR0VKWA==	CF02283	24599	2003	NA	9,92	
2	2791548-2003	gnpis.lot:'RE02009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjAwOQ==	RE02009	RE02009	2003	NA		103,09
2	2791548-2003	gnpis.lot:'RE02009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjAwOQ==	RE02009	RE02009	2003	NA	12,54	
1	2791525-2003	gnpis.lot:'RE02178'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjE3OA==	RE02178	RE02178	2003	NA		76,62
1	2791525-2003	gnpis.lot:'RE02178'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjE3OA==	RE02178	RE02178	2003	NA	9,75	
2	2791604-2003	gnpis.lot:'CF02252'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlCMVFDSg==	CF02252	24597	2003	NA		94,31
2	2791604-2003	gnpis.lot:'CF02252'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlCMVFDSg==	CF02252	24597	2003	NA	12,54	
2	2791572-2003	gnpis.lot:'DI03021'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMQ==	DI03021	DI03021	2003	NA		90,01
2	2791572-2003	gnpis.lot:'DI03021'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMQ==	DI03021	DI03021	2003	NA	12,62	
1	2791489-2003	gnpis.lot:'RE01052'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMTA1Mg==	RE01052	RE01052	2003	NA		76,54
1	2791489-2003	gnpis.lot:'RE01052'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMTA1Mg==	RE01052	RE01052	2003	NA	11,26	
1	2791583-2003	gnpis.lot:'DI03025'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNQ==	DI03025	DI03025	2003	NA		96,18
1	2791583-2003	gnpis.lot:'DI03025'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNQ==	DI03025	DI03025	2003	NA	12,85	
1	2791649-2003	gnpis.lot:'EM02201'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMQ==	EM02201	EM02201	2003	NA		79,13
1	2791649-2003	gnpis.lot:'EM02201'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMQ==	EM02201	EM02201	2003	NA	11,19	
1	2791627-2003	gnpis.lot:'CF01185'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xDQVhQMw==	CF01185	24600	2003	NA		101,61
1	2791627-2003	gnpis.lot:'CF01185'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xDQVhQMw==	CF01185	24600	2003	NA	10,96	
1	2791511-2003	gnpis.lot:'RE02086'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjA4Ng==	RE02086	RE02086	2003	NA		83,83
1	2791511-2003	gnpis.lot:'RE02086'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjA4Ng==	RE02086	RE02086	2003	NA	13,82	
2	2791606-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA		72,12
2	2791606-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA	9,8	
2	2791620-2003	gnpis.lot:'EM02209'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDTDk2Rw==	EM02209	24589	2003	NA		101,34
2	2791620-2003	gnpis.lot:'EM02209'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDTDk2Rw==	EM02209	24589	2003	NA	12,24	
1	2791547-2003	gnpis.lot:'RE02009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjAwOQ==	RE02009	RE02009	2003	NA		97,45
1	2791547-2003	gnpis.lot:'RE02009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjAwOQ==	RE02009	RE02009	2003	NA	12,51	
2	2791530-2003	gnpis.lot:'RE02116'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExNg==	RE02116	RE02116	2003	NA		80,72
2	2791530-2003	gnpis.lot:'RE02116'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExNg==	RE02116	RE02116	2003	NA	9,83	
1	2791597-2003	gnpis.lot:'EM02207'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEUUtQVg==	EM02207	29816	2003	NA		83,36
1	2791597-2003	gnpis.lot:'EM02207'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEUUtQVg==	EM02207	29816	2003	NA	9,21	
2	2791646-2003	gnpis.lot:'EM02224'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01KVzJaWA==	EM02224	28847	2003	NA		79,82
2	2791646-2003	gnpis.lot:'EM02224'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01KVzJaWA==	EM02224	28847	2003	NA	11,09	
2	2791580-2003	gnpis.lot:'DI03026'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNg==	DI03026	DI03026	2003	NA		102,35
2	2791580-2003	gnpis.lot:'DI03026'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNg==	DI03026	DI03026	2003	NA	12,66	
1	2791555-2003	gnpis.lot:'CF02279'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI3OQ==	CF02279	CF02279	2003	NA		94,52
1	2791555-2003	gnpis.lot:'CF02279'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI3OQ==	CF02279	CF02279	2003	NA	12,66	
1	2791605-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA		75,63
1	2791605-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA	10,51	
