observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	r	rdt
2791723-2003	gnpis.lot:'EM02147'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE0Nw==	EM02147	EM02147	2003	NA		106,8	
2791723-2003	gnpis.lot:'EM02147'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE0Nw==	EM02147	EM02147	2003	NA			74,5
2791723-2003	gnpis.lot:'EM02147'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE0Nw==	EM02147	EM02147	2003	NA			
2791694-2003	gnpis.lot:'CF02170'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xWNVROQw==	CF02170	24596	2003	NA		105,8	
2791694-2003	gnpis.lot:'CF02170'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xWNVROQw==	CF02170	24596	2003	NA			101,5
2791694-2003	gnpis.lot:'CF02170'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xWNVROQw==	CF02170	24596	2003	NA	12,9		
2791741-2003	gnpis.lot:'EM02224'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01KVzJaWA==	EM02224	28847	2003	NA		112	
2791741-2003	gnpis.lot:'EM02224'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01KVzJaWA==	EM02224	28847	2003	NA			78,1
2791741-2003	gnpis.lot:'EM02224'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01KVzJaWA==	EM02224	28847	2003	NA			
2791744-2003	gnpis.lot:'EM02201'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMQ==	EM02201	EM02201	2003	NA		101,8	
2791744-2003	gnpis.lot:'EM02201'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMQ==	EM02201	EM02201	2003	NA			97,6
