observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	sept	rdt
2	2833461-2008	gnpis.lot:'RE07071'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA3MQ==	RE07071	RE07071	2008	NA		42,59
2	2833461-2008	gnpis.lot:'RE07071'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA3MQ==	RE07071	RE07071	2008	NA	4	
1	2833484-2008	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2008	NA		50,95
1	2833484-2008	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2008	NA	3	
1	2833524-2008	gnpis.lot:'RE07083'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JURFVKVg==	RE07083	36816	2008	NA		43,66
1	2833524-2008	gnpis.lot:'RE07083'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JURFVKVg==	RE07083	36816	2008	NA	4	
2	2833475-2008	gnpis.lot:'Musik'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pQOUxDSQ==	MUSIK	36668	2008	NA		42,55
2	2833475-2008	gnpis.lot:'Musik'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pQOUxDSQ==	MUSIK	36668	2008	NA	6	
1	2833486-2008	gnpis.lot:'EM07213'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzIxMw==	EM07213	EM07213	2008	NA		47,38
1	2833486-2008	gnpis.lot:'EM07213'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzIxMw==	EM07213	EM07213	2008	NA	3,5	
2	2833521-2008	gnpis.lot:'CF07080'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA4MA==	CF07080	CF07080	2008	NA		45,5
2	2833521-2008	gnpis.lot:'CF07080'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA4MA==	CF07080	CF07080	2008	NA	4,2	
1	2833498-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA		34,89
1	2833498-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA	5	
2	2833499-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA		31,95
2	2833499-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA	5,8	
1	2833520-2008	gnpis.lot:'CF07080'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA4MA==	CF07080	CF07080	2008	NA		46,04
1	2833520-2008	gnpis.lot:'CF07080'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA4MA==	CF07080	CF07080	2008	NA	3,5	
2	2833457-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA		40,99
2	2833457-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA	6,8	
1	2833464-2008	gnpis.lot:'DI08011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0U4RlA5WQ==	DI08011	36785	2008	NA		46,14
1	2833464-2008	gnpis.lot:'DI08011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0U4RlA5WQ==	DI08011	36785	2008	NA	3,5	
2	2833509-2008	gnpis.lot:'RE07027'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyNw==	RE07027	RE07027	2008	NA		40,14
2	2833509-2008	gnpis.lot:'RE07027'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyNw==	RE07027	RE07027	2008	NA	4	
2	2833497-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA		41,24
2	2833497-2008	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2008	NA	4	
1	2833468-2008	gnpis.lot:'DI08014'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxNA==	DI08014	DI08014	2008	NA		35,37
1	2833468-2008	gnpis.lot:'DI08014'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxNA==	DI08014	DI08014	2008	NA	4	
2	2833487-2008	gnpis.lot:'EM07213'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzIxMw==	EM07213	EM07213	2008	NA		48,07
2	2833487-2008	gnpis.lot:'EM07213'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzIxMw==	EM07213	EM07213	2008	NA	4,2	
2	2833489-2008	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2008	NA		41,63
2	2833489-2008	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2008	NA	6,5	
2	2833473-2008	gnpis.lot:'RE07040'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGN1NLUg==	RE07040	35715	2008	NA		48,24
2	2833473-2008	gnpis.lot:'RE07040'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGN1NLUg==	RE07040	35715	2008	NA	4,2	
2	2833485-2008	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2008	NA		54,99
2	2833485-2008	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2008	NA	3,8	
2	2833495-2008	gnpis.lot:'CF07138'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzEzOA==	CF07138	CF07138	2008	NA		48,91
