observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	prec	r	rdt	sept	ps
2833535-2008	gnpis.lot:'DI08012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMg==	DI08012	DI08012	2008	NA			109,1			
2833535-2008	gnpis.lot:'DI08012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMg==	DI08012	DI08012	2008	NA				43,5		
2833535-2008	gnpis.lot:'DI08012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMg==	DI08012	DI08012	2008	NA	78					
2833535-2008	gnpis.lot:'DI08012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMg==	DI08012	DI08012	2008	NA		139				
2833535-2008	gnpis.lot:'DI08012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMg==	DI08012	DI08012	2008	NA						72,4
2833535-2008	gnpis.lot:'DI08012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMg==	DI08012	DI08012	2008	NA					6,2	
2833545-2008	gnpis.lot:'CF07097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZDRURGVQ==	CF07097	36769	2008	NA			129,3			
2833545-2008	gnpis.lot:'CF07097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZDRURGVQ==	CF07097	36769	2008	NA				51,6		
2833545-2008	gnpis.lot:'CF07097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZDRURGVQ==	CF07097	36769	2008	NA	95					
2833545-2008	gnpis.lot:'CF07097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZDRURGVQ==	CF07097	36769	2008	NA		142				
2833545-2008	gnpis.lot:'CF07097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZDRURGVQ==	CF07097	36769	2008	NA						73,6
2833545-2008	gnpis.lot:'CF07097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZDRURGVQ==	CF07097	36769	2008	NA					4,2	
2833542-2008	gnpis.lot:'CF07098'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA5OA==	CF07098	CF07098	2008	NA			124,3			
2833542-2008	gnpis.lot:'CF07098'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA5OA==	CF07098	CF07098	2008	NA				49,6		
2833542-2008	gnpis.lot:'CF07098'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA5OA==	CF07098	CF07098	2008	NA	95					
2833542-2008	gnpis.lot:'CF07098'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA5OA==	CF07098	CF07098	2008	NA		141				
2833542-2008	gnpis.lot:'CF07098'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA5OA==	CF07098	CF07098	2008	NA						72,7
2833542-2008	gnpis.lot:'CF07098'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA5OA==	CF07098	CF07098	2008	NA					3,5	
2833544-2008	gnpis.lot:'CF07193'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBGNDgwSQ==	CF07193	36771	2008	NA			120,9			
2833544-2008	gnpis.lot:'CF07193'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBGNDgwSQ==	CF07193	36771	2008	NA				48,2		
