observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	vr	rdt	ps
2	2826259-2007	gnpis.lot:'CF06269'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI2OQ==	CF06269	CF06269	2007	NA		89,48	
2	2826259-2007	gnpis.lot:'CF06269'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI2OQ==	CF06269	CF06269	2007	NA			74,2
2	2826259-2007	gnpis.lot:'CF06269'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI2OQ==	CF06269	CF06269	2007	NA			
2	2826263-2007	gnpis.lot:'RE06139'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDSkNOTg==	RE06139	32789	2007	NA		80,41	
2	2826263-2007	gnpis.lot:'RE06139'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDSkNOTg==	RE06139	32789	2007	NA			67,5
2	2826263-2007	gnpis.lot:'RE06139'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDSkNOTg==	RE06139	32789	2007	NA			
1	2826352-2007	gnpis.lot:'CF06250'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI1MA==	CF06250	CF06250	2007	NA		50,11	
1	2826352-2007	gnpis.lot:'CF06250'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI1MA==	CF06250	CF06250	2007	NA			63,7
1	2826352-2007	gnpis.lot:'CF06250'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI1MA==	CF06250	CF06250	2007	NA	1		
2	2826325-2007	gnpis.lot:'DI07019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGUFJBVg==	DI07019	DI07019	2007	NA		57,69	
2	2826325-2007	gnpis.lot:'DI07019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGUFJBVg==	DI07019	DI07019	2007	NA			62,6
2	2826325-2007	gnpis.lot:'DI07019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGUFJBVg==	DI07019	DI07019	2007	NA	4		
1	2826264-2007	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2007	NA		54,06	
1	2826264-2007	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2007	NA			67,6
1	2826264-2007	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2007	NA	1		
2	2826283-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA		92,4	
2	2826283-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA			74,1
2	2826283-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA			
2	2826293-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA		62,72	
2	2826293-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA			69,2
2	2826293-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA	1		
1	2826304-2007	gnpis.lot:'DI07015'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NXNk1QRQ==	DI07015	37273	2007	NA		71,19	
1	2826304-2007	gnpis.lot:'DI07015'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NXNk1QRQ==	DI07015	37273	2007	NA			70,7
1	2826304-2007	gnpis.lot:'DI07015'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NXNk1QRQ==	DI07015	37273	2007	NA	1		
1	2826366-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA		88,3	
1	2826366-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA			71,5
1	2826366-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA			
2	2826383-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA		83,13	
2	2826383-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA			74,5
2	2826383-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA			
1	2826226-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA		90,52	
1	2826226-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA			73,3
