observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	vr	rb	ht	oid	rj	prec	r	rdt	ps
2826470-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA							149,8		
2826470-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA								63	
2826470-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA			85						
2826470-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA						129			
2826470-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA									60,2
2826470-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA	2								
2826470-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA				1					
2826470-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA		4,5							
2826470-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA					1				
2826401-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA							101,3		
2826401-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA								92,5	
2826401-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA			85						
2826401-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA						125,5			
2826401-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA									73,5
2826401-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA	6,5								
