observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rdt
1	2858884-2011	gnpis.lot:'EM10241'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FLT0RRSg==	EM10241	EM10241	2011	NA	85,94
2	2858899-2011	gnpis.lot:'DI11007'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlNT1c4Uw==	DI11007	DI11007	2011	NA	73,69
2	2858789-2011	gnpis.lot:'CF10044'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZBTEk2Tg==	CF10044	CF10044	2011	NA	79,12
1	2858780-2011	gnpis.lot:'Barok'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ozTU5ZRg==	BAROK	32101	2011	NA	86,66
1	2858838-2011	gnpis.lot:'DI11002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hVV1hZTA==	DI11002	DI11002	2011	NA	78,33
1	2858812-2011	gnpis.lot:'RE10016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FBUlRCQw==	RE10016	RE10016	2011	NA	76,42
2	2858851-2011	gnpis.lot:'AO11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lBUEpCTg==	AO11006	AO11006	2011	NA	84,72
1	2858934-2011	gnpis.lot:'EM10073'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0QxSE9EVw==	EM10073	EM10073	2011	NA	71,31
1	2858912-2011	gnpis.lot:'AO11002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lZSVNQTA==	AO11002	37244	2011	NA	86,16
2	2858925-2011	gnpis.lot:'Attlass'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzRCSEIwTg==	ATTLASS	28926	2011	NA	81,86
1	2858804-2011	gnpis.lot:'CF10004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0k5VUFINg==	CF10004	CF10004	2011	NA	78,87
1	2858830-2011	gnpis.lot:'DI11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FSVkVMOA==	DI11004	DI11004	2011	NA	69,43
1	2858856-2011	gnpis.lot:'RE10039'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05TWjA5Qw==	RE10039	37668	2011	NA	79,61
1	2858896-2011	gnpis.lot:'RE10040'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1UwQVdLUA==	RE10040	37214	2011	NA	81,36
2	2858929-2011	gnpis.lot:'RE10042'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVBUE9IQw==	RE10042	37832	2011	NA	85,62
1	2858808-2011	gnpis.lot:'AO11007'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FLRllJSA==	AO11007	AO11007	2011	NA	80,03
1	2858810-2011	gnpis.lot:'RE10016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FBUlRCQw==	RE10016	RE10016	2011	NA	73,44
2	2858821-2011	gnpis.lot:'EM10207'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pSWVFVVw==	EM10207	EM10207	2011	NA	70,13
1	2858854-2011	gnpis.lot:'RE10039'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05TWjA5Qw==	RE10039	37668	2011	NA	74,19
2	2858935-2011	gnpis.lot:'EM10073'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0QxSE9EVw==	EM10073	EM10073	2011	NA	77,7
1	2858790-2011	gnpis.lot:'CF10042'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JDOVhFRg==	CF10042	CF10042	2011	NA	78,7
2	2858793-2011	gnpis.lot:'CF10042'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JDOVhFRg==	CF10042	CF10042	2011	NA	93,74
