observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	rj	prec	r	rdt	ps
2858941-2011	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2011	NA				95		
2858941-2011	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2011	NA					79,3	
2858941-2011	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2011	NA	82,5					
2858941-2011	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2011	NA			131			
2858941-2011	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2011	NA						74,8
2858941-2011	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2011	NA						
2858965-2011	gnpis.lot:'DI11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FSVkVMOA==	DI11004	DI11004	2011	NA				98,1		
2858965-2011	gnpis.lot:'DI11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FSVkVMOA==	DI11004	DI11004	2011	NA					81,8	
2858965-2011	gnpis.lot:'DI11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FSVkVMOA==	DI11004	DI11004	2011	NA	75					
2858965-2011	gnpis.lot:'DI11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FSVkVMOA==	DI11004	DI11004	2011	NA			138			
2858965-2011	gnpis.lot:'DI11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FSVkVMOA==	DI11004	DI11004	2011	NA						75,8
2858965-2011	gnpis.lot:'DI11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FSVkVMOA==	DI11004	DI11004	2011	NA						
2858982-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA				104,4		
2858982-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA					81	
2858982-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA						
2858982-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA						
2858982-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA						
2858982-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA		1				
2859008-2011	gnpis.lot:'RE10029'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGNVRDNw==	RE10029	RE10029	2011	NA				96,8		
2859008-2011	gnpis.lot:'RE10029'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGNVRDNw==	RE10029	RE10029	2011	NA					75,1	
2859008-2011	gnpis.lot:'RE10029'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGNVRDNw==	RE10029	RE10029	2011	NA						
2859008-2011	gnpis.lot:'RE10029'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGNVRDNw==	RE10029	RE10029	2011	NA						
2859008-2011	gnpis.lot:'RE10029'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGNVRDNw==	RE10029	RE10029	2011	NA						
2859008-2011	gnpis.lot:'RE10029'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGNVRDNw==	RE10029	RE10029	2011	NA		1				
2858974-2011	gnpis.lot:'AO11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lBUEpCTg==	AO11006	AO11006	2011	NA				109,9		
2858974-2011	gnpis.lot:'AO11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lBUEpCTg==	AO11006	AO11006	2011	NA					85,2	
2858974-2011	gnpis.lot:'AO11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lBUEpCTg==	AO11006	AO11006	2011	NA						
2858974-2011	gnpis.lot:'AO11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lBUEpCTg==	AO11006	AO11006	2011	NA						
2858974-2011	gnpis.lot:'AO11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lBUEpCTg==	AO11006	AO11006	2011	NA						
2858974-2011	gnpis.lot:'AO11006'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lBUEpCTg==	AO11006	AO11006	2011	NA		1				
2859001-2011	gnpis.lot:'CF10011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lGU0hBOA==	CF10011	CF10011	2011	NA				94,8		
2859001-2011	gnpis.lot:'CF10011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lGU0hBOA==	CF10011	CF10011	2011	NA					79,1	
2859001-2011	gnpis.lot:'CF10011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lGU0hBOA==	CF10011	CF10011	2011	NA	85					
2859001-2011	gnpis.lot:'CF10011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lGU0hBOA==	CF10011	CF10011	2011	NA			132			
