observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rj	fusa	rb
2832618-2008	gnpis.lot:'CF07002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0kzMFU1Vg==	CF07002	36764	2008	NA			1
2832618-2008	gnpis.lot:'CF07002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0kzMFU1Vg==	CF07002	36764	2008	NA	1		
2832618-2008	gnpis.lot:'CF07002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0kzMFU1Vg==	CF07002	36764	2008	NA		4	
2832596-2008	gnpis.lot:'AO08112'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lSMEZETg==	AO08112	36747	2008	NA			1
2832596-2008	gnpis.lot:'AO08112'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lSMEZETg==	AO08112	36747	2008	NA	1		
2832596-2008	gnpis.lot:'AO08112'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lSMEZETg==	AO08112	36747	2008	NA		7	
2832601-2008	gnpis.lot:'CF07057'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA1Nw==	CF07057	CF07057	2008	NA			1
2832601-2008	gnpis.lot:'CF07057'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA1Nw==	CF07057	CF07057	2008	NA	1		
2832601-2008	gnpis.lot:'CF07057'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA1Nw==	CF07057	CF07057	2008	NA		4,5	
2832608-2008	gnpis.lot:'DI08005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNQ==	DI08005	DI08005	2008	NA			1
2832608-2008	gnpis.lot:'DI08005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNQ==	DI08005	DI08005	2008	NA	1		
2832608-2008	gnpis.lot:'DI08005'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwNQ==	DI08005	DI08005	2008	NA		6	
2832587-2008	gnpis.lot:'RE07011'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxMQ==	RE07011	RE07011	2008	NA			1
2832587-2008	gnpis.lot:'RE07011'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxMQ==	RE07011	RE07011	2008	NA	1		
2832587-2008	gnpis.lot:'RE07011'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAxMQ==	RE07011	RE07011	2008	NA		6	
2832588-2008	gnpis.lot:'RE07012'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wSkdKTA==	RE07012	35316	2008	NA			1
2832588-2008	gnpis.lot:'RE07012'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wSkdKTA==	RE07012	35316	2008	NA	1		
2832588-2008	gnpis.lot:'RE07012'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wSkdKTA==	RE07012	35316	2008	NA		4	
2832613-2008	gnpis.lot:'AO08107'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JRQlQ0Vg==	AO08107	36746	2008	NA			1
