observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rb	oid	rj	fusa	pvp
2860309-2011	gnpis.lot:'CF10125'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lCSFVIQQ==	CF10125	CF10125	2011	NA		1			
2860309-2011	gnpis.lot:'CF10125'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lCSFVIQQ==	CF10125	CF10125	2011	NA	3				
2860309-2011	gnpis.lot:'CF10125'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lCSFVIQQ==	CF10125	CF10125	2011	NA			1		
2860309-2011	gnpis.lot:'CF10125'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lCSFVIQQ==	CF10125	CF10125	2011	NA				4,5	
2860309-2011	gnpis.lot:'CF10125'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lCSFVIQQ==	CF10125	CF10125	2011	NA					5
2860303-2011	gnpis.lot:'AO11014'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJZS0xHVQ==	AO11014	37250	2011	NA		1			
2860303-2011	gnpis.lot:'AO11014'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJZS0xHVQ==	AO11014	37250	2011	NA	4				
2860303-2011	gnpis.lot:'AO11014'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJZS0xHVQ==	AO11014	37250	2011	NA			6		
2860303-2011	gnpis.lot:'AO11014'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJZS0xHVQ==	AO11014	37250	2011	NA				4,5	
2860303-2011	gnpis.lot:'AO11014'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJZS0xHVQ==	AO11014	37250	2011	NA					5
2860305-2011	gnpis.lot:'RE10050'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pXWVJFWA==	RE10050	RE10050	2011	NA		1			
2860305-2011	gnpis.lot:'RE10050'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pXWVJFWA==	RE10050	RE10050	2011	NA	2				
2860305-2011	gnpis.lot:'RE10050'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pXWVJFWA==	RE10050	RE10050	2011	NA			4		
2860305-2011	gnpis.lot:'RE10050'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pXWVJFWA==	RE10050	RE10050	2011	NA				7	
2860305-2011	gnpis.lot:'RE10050'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pXWVJFWA==	RE10050	RE10050	2011	NA					5
2860311-2011	gnpis.lot:'CF10082'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L000UlBRUA==	CF10082	CF10082	2011	NA		6			
2860311-2011	gnpis.lot:'CF10082'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L000UlBRUA==	CF10082	CF10082	2011	NA	3				
2860311-2011	gnpis.lot:'CF10082'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L000UlBRUA==	CF10082	CF10082	2011	NA			1		
2860311-2011	gnpis.lot:'CF10082'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L000UlBRUA==	CF10082	CF10082	2011	NA				4	
2860311-2011	gnpis.lot:'CF10082'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L000UlBRUA==	CF10082	CF10082	2011	NA					5
2860313-2011	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2011	NA		3			
2860313-2011	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2011	NA	3				
2860313-2011	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2011	NA			3		
2860313-2011	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2011	NA				3	
2860313-2011	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2011	NA					5
2860328-2011	gnpis.lot:'DI11011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01QTVRYRQ==	DI11011	DI11011	2011	NA		3			
2860328-2011	gnpis.lot:'DI11011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01QTVRYRQ==	DI11011	DI11011	2011	NA	2				
2860328-2011	gnpis.lot:'DI11011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01QTVRYRQ==	DI11011	DI11011	2011	NA			1		
2860328-2011	gnpis.lot:'DI11011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01QTVRYRQ==	DI11011	DI11011	2011	NA				2,5	
2860328-2011	gnpis.lot:'DI11011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01QTVRYRQ==	DI11011	DI11011	2011	NA					2
2860302-2011	gnpis.lot:'RE10057'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FaR0RMSw==	RE10057	37833	2011	NA		1			
2860302-2011	gnpis.lot:'RE10057'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FaR0RMSw==	RE10057	37833	2011	NA	3				
2860302-2011	gnpis.lot:'RE10057'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FaR0RMSw==	RE10057	37833	2011	NA			1		
2860302-2011	gnpis.lot:'RE10057'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FaR0RMSw==	RE10057	37833	2011	NA				5,5	
2860302-2011	gnpis.lot:'RE10057'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FaR0RMSw==	RE10057	37833	2011	NA					3
2860310-2011	gnpis.lot:'CF10140'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEWEVRRQ==	CF10140	CF10140	2011	NA		1			
2860310-2011	gnpis.lot:'CF10140'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEWEVRRQ==	CF10140	CF10140	2011	NA	4				
2860310-2011	gnpis.lot:'CF10140'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEWEVRRQ==	CF10140	CF10140	2011	NA			1		
2860310-2011	gnpis.lot:'CF10140'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEWEVRRQ==	CF10140	CF10140	2011	NA				3,5	
2860310-2011	gnpis.lot:'CF10140'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEWEVRRQ==	CF10140	CF10140	2011	NA					2
2860306-2011	gnpis.lot:'CF10064'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1cxREZMRA==	CF10064	CF10064	2011	NA		1			
2860306-2011	gnpis.lot:'CF10064'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1cxREZMRA==	CF10064	CF10064	2011	NA	6				
2860306-2011	gnpis.lot:'CF10064'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1cxREZMRA==	CF10064	CF10064	2011	NA			1		
2860306-2011	gnpis.lot:'CF10064'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1cxREZMRA==	CF10064	CF10064	2011	NA				3,5	
2860306-2011	gnpis.lot:'CF10064'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1cxREZMRA==	CF10064	CF10064	2011	NA					2
2860317-2011	gnpis.lot:'AO11010'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U3SjRFUQ==	AO11010	AO11010	2011	NA		1			
2860317-2011	gnpis.lot:'AO11010'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U3SjRFUQ==	AO11010	AO11010	2011	NA	4				
2860317-2011	gnpis.lot:'AO11010'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U3SjRFUQ==	AO11010	AO11010	2011	NA			6		
2860317-2011	gnpis.lot:'AO11010'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U3SjRFUQ==	AO11010	AO11010	2011	NA				2,5	
2860317-2011	gnpis.lot:'AO11010'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1U3SjRFUQ==	AO11010	AO11010	2011	NA					5
2860314-2011	gnpis.lot:'DI11008'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JNR0w0Mg==	DI11008	DI11008	2011	NA		6			
2860314-2011	gnpis.lot:'DI11008'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JNR0w0Mg==	DI11008	DI11008	2011	NA	3				
2860314-2011	gnpis.lot:'DI11008'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JNR0w0Mg==	DI11008	DI11008	2011	NA			1		
2860314-2011	gnpis.lot:'DI11008'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JNR0w0Mg==	DI11008	DI11008	2011	NA				3	
2860314-2011	gnpis.lot:'DI11008'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JNR0w0Mg==	DI11008	DI11008	2011	NA					2
2860299-2011	gnpis.lot:'AO11012'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FETVNSTA==	AO11012	37248	2011	NA		1			
2860299-2011	gnpis.lot:'AO11012'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FETVNSTA==	AO11012	37248	2011	NA	6				
2860299-2011	gnpis.lot:'AO11012'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FETVNSTA==	AO11012	37248	2011	NA			3		
2860299-2011	gnpis.lot:'AO11012'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FETVNSTA==	AO11012	37248	2011	NA				3,5	
2860299-2011	gnpis.lot:'AO11012'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FETVNSTA==	AO11012	37248	2011	NA					5
2860319-2011	gnpis.lot:'AO11009'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZIRlBLMg==	AO11009	AO11009	2011	NA		3			
2860319-2011	gnpis.lot:'AO11009'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZIRlBLMg==	AO11009	AO11009	2011	NA	9				
2860319-2011	gnpis.lot:'AO11009'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZIRlBLMg==	AO11009	AO11009	2011	NA			1		
2860319-2011	gnpis.lot:'AO11009'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZIRlBLMg==	AO11009	AO11009	2011	NA				3,5	
2860319-2011	gnpis.lot:'AO11009'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZIRlBLMg==	AO11009	AO11009	2011	NA					5
2860321-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA		1			
2860321-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA	5				
2860321-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA			6		
2860321-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA				3,5	
2860321-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA					5
2860318-2011	gnpis.lot:'AO11011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFMU5LWg==	AO11011	37247	2011	NA		1			
2860318-2011	gnpis.lot:'AO11011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFMU5LWg==	AO11011	37247	2011	NA	4				
2860318-2011	gnpis.lot:'AO11011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFMU5LWg==	AO11011	37247	2011	NA			1		
2860318-2011	gnpis.lot:'AO11011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFMU5LWg==	AO11011	37247	2011	NA				2	
2860318-2011	gnpis.lot:'AO11011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFMU5LWg==	AO11011	37247	2011	NA					5
2860332-2011	gnpis.lot:'DI11014'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dHOUNLVw==	DI11014	37814	2011	NA		6			
2860332-2011	gnpis.lot:'DI11014'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dHOUNLVw==	DI11014	37814	2011	NA	3				
2860332-2011	gnpis.lot:'DI11014'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dHOUNLVw==	DI11014	37814	2011	NA			4		
2860332-2011	gnpis.lot:'DI11014'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dHOUNLVw==	DI11014	37814	2011	NA				2,5	
2860332-2011	gnpis.lot:'DI11014'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dHOUNLVw==	DI11014	37814	2011	NA					2
