observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rdt
1	2887617-2014	gnpis.lot:'RE13114'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0RHS0lXMQ==	RE13114	RE13114	2014	NA	98,54
1	2887639-2014	gnpis.lot:'CF13081'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1A5N0lBSQ==	CF13081	CF13081	2014	NA	70,16
2	2887628-2014	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2014	NA	64,33
2	2887662-2014	gnpis.lot:'AO14027'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FKUk5RWA==	AO14027	AO14027	2014	NA	70,76
2	2887668-2014	gnpis.lot:'RE13128'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NSRlBYUg==	RE13128	RE13128	2014	NA	90,35
2	2887624-2014	gnpis.lot:'AO14034'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hYR0gyVg==	AO14034	AO14034	2014	NA	73,18
2	2887650-2014	gnpis.lot:'AO14040'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05aTzJRNg==	AO14040	AO14040	2014	NA	89,75
2	2887652-2014	gnpis.lot:'AO14041'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JIUkRIWQ==	AO14041	AO14041	2014	NA	80,11
2	2887666-2014	gnpis.lot:'EM13147'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0o3SVI2Tg==	EM13147	EM13147	2014	NA	90,58
1	2887609-2014	gnpis.lot:'EM13243'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FTWjFJWA==	EM13243	EM13243	2014	NA	74,34
1	2887621-2014	gnpis.lot:'RE13116'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L043TkNSMQ==	RE13116	RE13116	2014	NA	89,85
1	2887655-2014	gnpis.lot:'RE13121'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1k5R1FZSA==	RE13121	RE13121	2014	NA	91,22
1	2887669-2014	gnpis.lot:'AO14028'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZNWFY0QQ==	AO14028	AO14028	2014	NA	89,99
1	2887663-2014	gnpis.lot:'Rubisko'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hTQzVONw==	RUBISKO	36680	2014	NA	86,49
1	2887633-2014	gnpis.lot:'AO14037'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FEVEhOSg==	AO14037	AO14037	2014	NA	72,54
1	2887615-2014	gnpis.lot:'AO14035'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hKSURZVg==	AO14035	AO14035	2014	NA	98,76
1	2887665-2014	gnpis.lot:'EM13147'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0o3SVI2Tg==	EM13147	EM13147	2014	NA	100,03
2	2887608-2014	gnpis.lot:'Bermude'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1cxTlNaWA==	BERMUDE	29852	2014	NA	71,34
1	2887637-2014	gnpis.lot:'RE14131'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FONVBRQg==	RE14131	RE14131	2014	NA	74,32
2	2887600-2014	gnpis.lot:'CF13172'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L00zWE5LVQ==	CF13172	CF13172	2014	NA	71,91
2	2887636-2014	gnpis.lot:'AO14023'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JaWlRGWg==	AO14023	AO14023	2014	NA	78,75
1	2887607-2014	gnpis.lot:'Bermude'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1cxTlNaWA==	BERMUDE	29852	2014	NA	72,52
1	2887629-2014	gnpis.lot:'AO14039'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dGTDFZWA==	AO14039	AO14039	2014	NA	95,08
1	2887631-2014	gnpis.lot:'AO14038'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dTNE1KUg==	AO14038	AO14038	2014	NA	74,23
1	2887599-2014	gnpis.lot:'CF13172'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L00zWE5LVQ==	CF13172	CF13172	2014	NA	76,99
1	2887671-2014	gnpis.lot:'Arezzo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGTlhDVw==	AREZZO	32759	2014	NA	87,62
2	2887634-2014	gnpis.lot:'AO14037'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FEVEhOSg==	AO14037	AO14037	2014	NA	77,99
2	2887648-2014	gnpis.lot:'AO14043'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L00zNllTWA==	AO14043	AO14043	2014	NA	77,9
2	2887670-2014	gnpis.lot:'AO14028'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZNWFY0QQ==	AO14028	AO14028	2014	NA	81,95
1	2887649-2014	gnpis.lot:'AO14040'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05aTzJRNg==	AO14040	AO14040	2014	NA	90,74
2	2887610-2014	gnpis.lot:'EM13243'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FTWjFJWA==	EM13243	EM13243	2014	NA	79,51
1	2887667-2014	gnpis.lot:'RE13128'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NSRlBYUg==	RE13128	RE13128	2014	NA	94,25
2	2887606-2014	gnpis.lot:'CF13158'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JPWEJCWQ==	CF13158	CF13158	2014	NA	88,92
1	2887645-2014	gnpis.lot:'AO14042'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBGU0lCUQ==	AO14042	AO14042	2014	NA	70,74
1	2887605-2014	gnpis.lot:'CF13158'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JPWEJCWQ==	CF13158	CF13158	2014	NA	94,13
1	2887627-2014	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2014	NA	71,89
2	2887630-2014	gnpis.lot:'AO14039'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dGTDFZWA==	AO14039	AO14039	2014	NA	82,9
1	2887603-2014	gnpis.lot:'EM13249'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05US1JLOA==	EM13249	EM13249	2014	NA	78,8
1	2887625-2014	gnpis.lot:'RE13138'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhEQ1c4Rg==	RE13138	RE13138	2014	NA	75,19
2	2887604-2014	gnpis.lot:'EM13249'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05US1JLOA==	EM13249	EM13249	2014	NA	77,25
