observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	rj	prec	r	rdt	ps
2887679-2014	gnpis.lot:'EM13243'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FTWjFJWA==	EM13243	EM13243	2014	NA				98,6		
2887679-2014	gnpis.lot:'EM13243'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FTWjFJWA==	EM13243	EM13243	2014	NA					76,9	
2887679-2014	gnpis.lot:'EM13243'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FTWjFJWA==	EM13243	EM13243	2014	NA	100					
2887679-2014	gnpis.lot:'EM13243'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FTWjFJWA==	EM13243	EM13243	2014	NA			143			
2887679-2014	gnpis.lot:'EM13243'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FTWjFJWA==	EM13243	EM13243	2014	NA						78,6
2887679-2014	gnpis.lot:'EM13243'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FTWjFJWA==	EM13243	EM13243	2014	NA		1				
2887707-2014	gnpis.lot:'EM13147'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0o3SVI2Tg==	EM13147	EM13147	2014	NA				122,2		
2887707-2014	gnpis.lot:'EM13147'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0o3SVI2Tg==	EM13147	EM13147	2014	NA					95,3	
2887707-2014	gnpis.lot:'EM13147'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0o3SVI2Tg==	EM13147	EM13147	2014	NA	95					
2887707-2014	gnpis.lot:'EM13147'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0o3SVI2Tg==	EM13147	EM13147	2014	NA			126			
2887707-2014	gnpis.lot:'EM13147'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0o3SVI2Tg==	EM13147	EM13147	2014	NA						75,2
2887707-2014	gnpis.lot:'EM13147'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0o3SVI2Tg==	EM13147	EM13147	2014	NA		1				
2887675-2014	gnpis.lot:'DI14004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FUQ0lEQw==	DI14004	DI14004	2014	NA				121,1		
2887675-2014	gnpis.lot:'DI14004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FUQ0lEQw==	DI14004	DI14004	2014	NA					94,5	
2887675-2014	gnpis.lot:'DI14004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FUQ0lEQw==	DI14004	DI14004	2014	NA	95					
2887675-2014	gnpis.lot:'DI14004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FUQ0lEQw==	DI14004	DI14004	2014	NA			141			
2887675-2014	gnpis.lot:'DI14004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FUQ0lEQw==	DI14004	DI14004	2014	NA						76,5
2887675-2014	gnpis.lot:'DI14004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FUQ0lEQw==	DI14004	DI14004	2014	NA		1,5				
2887703-2014	gnpis.lot:'AO14025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BTRFZEVA==	AO14025	AO14025	2014	NA				93,8		
2887703-2014	gnpis.lot:'AO14025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BTRFZEVA==	AO14025	AO14025	2014	NA					73,2	
2887703-2014	gnpis.lot:'AO14025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BTRFZEVA==	AO14025	AO14025	2014	NA	108					
2887703-2014	gnpis.lot:'AO14025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BTRFZEVA==	AO14025	AO14025	2014	NA			141			
2887703-2014	gnpis.lot:'AO14025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BTRFZEVA==	AO14025	AO14025	2014	NA						79,8
2887703-2014	gnpis.lot:'AO14025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BTRFZEVA==	AO14025	AO14025	2014	NA		2,5				
2887688-2014	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2014	NA				87,3		
2887688-2014	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2014	NA					68,1	
2887688-2014	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2014	NA	92					
2887688-2014	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2014	NA			132			
2887688-2014	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2014	NA						75,5
2887688-2014	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2014	NA		1				
2887680-2014	gnpis.lot:'RE14129'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFXUlhNWg==	RE14129	RE14129	2014	NA				106,5		
2887680-2014	gnpis.lot:'RE14129'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFXUlhNWg==	RE14129	RE14129	2014	NA					83,1	
2887680-2014	gnpis.lot:'RE14129'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFXUlhNWg==	RE14129	RE14129	2014	NA	110					
2887680-2014	gnpis.lot:'RE14129'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFXUlhNWg==	RE14129	RE14129	2014	NA			140			
2887680-2014	gnpis.lot:'RE14129'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFXUlhNWg==	RE14129	RE14129	2014	NA						79,4
2887680-2014	gnpis.lot:'RE14129'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFXUlhNWg==	RE14129	RE14129	2014	NA		1				
