Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Factor Value[itk]
ALBERIC	NCBI:4565	Triticum	aestivum	subsp. aestivum	13712	https://doi.org/10.15454/HZTT8F	sample collection	AlbericitktRep0	VIRTUAL_TRIAL	treated
APACHE	NCBI:4565	Triticum	aestivum	subsp. aestivum	13481	https://doi.org/10.15454/V8WRHY	sample collection	ApacheitktRep0	VIRTUAL_TRIAL	treated
CF00188	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF00188	gnpis_pui:unknown:Wheat:CF00188	sample collection	CF00188itktRep0	VIRTUAL_TRIAL	treated
CF00189	NCBI:4565	Triticum	aestivum	subsp. aestivum	20362	https://doi.org/10.15454/RWJVRH	sample collection	CF00189itktRep0	VIRTUAL_TRIAL	treated
CF99056	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99056	gnpis_pui:unknown:Wheat:CF99056	sample collection	CF99056itktRep0	VIRTUAL_TRIAL	treated
CF99059	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99059	gnpis_pui:unknown:Wheat:CF99059	sample collection	CF99059itktRep0	VIRTUAL_TRIAL	treated
CF99071	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99071	gnpis_pui:unknown:Wheat:CF99071	sample collection	CF99071itktRep0	VIRTUAL_TRIAL	treated
CF99074	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99074	gnpis_pui:unknown:Wheat:CF99074	sample collection	CF99074itktRep0	VIRTUAL_TRIAL	treated
CF99075	NCBI:4565	Triticum	aestivum	subsp. aestivum	20363	https://doi.org/10.15454/KCTYDW	sample collection	CF99075itktRep0	VIRTUAL_TRIAL	treated
CHARGER	NCBI:4565	Triticum	aestivum	subsp. aestivum	13431	https://doi.org/10.15454/0ALDQA	sample collection	ChargeritktRep0	VIRTUAL_TRIAL	treated
DI00001	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00001	gnpis_pui:unknown:Wheat:DI00001	sample collection	DI00001itktRep0	VIRTUAL_TRIAL	treated
DI00002	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00002	gnpis_pui:unknown:Wheat:DI00002	sample collection	DI00002itktRep0	VIRTUAL_TRIAL	treated
DI00003	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00003	gnpis_pui:unknown:Wheat:DI00003	sample collection	DI00003itktRep0	VIRTUAL_TRIAL	treated
DI00004	NCBI:4565	Triticum	aestivum	subsp. aestivum	29116	https://doi.org/10.15454/N04VLE	sample collection	DI00004itktRep0	VIRTUAL_TRIAL	treated
DI00005	NCBI:4565	Triticum	aestivum	subsp. aestivum	29117	https://doi.org/10.15454/HTU2TO	sample collection	DI00005itktRep0	VIRTUAL_TRIAL	treated
DI00006	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00006	gnpis_pui:unknown:Wheat:DI00006	sample collection	DI00006itktRep0	VIRTUAL_TRIAL	treated
DI00007	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00007	gnpis_pui:unknown:Wheat:DI00007	sample collection	DI00007itktRep0	VIRTUAL_TRIAL	treated
DI00008	NCBI:4565	Triticum	aestivum	subsp. aestivum	29118	https://doi.org/10.15454/PRC5QN	sample collection	DI00008itktRep0	VIRTUAL_TRIAL	treated
DI00009	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI00009	gnpis_pui:unknown:Wheat:DI00009	sample collection	DI00009itktRep0	VIRTUAL_TRIAL	treated
EM00001	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00001	gnpis_pui:unknown:Wheat:EM00001	sample collection	EM00001itktRep0	VIRTUAL_TRIAL	treated
EM00002	NCBI:4565	Triticum	aestivum	subsp. aestivum	23832	https://doi.org/10.15454/MTMO4R	sample collection	EM00002itktRep0	VIRTUAL_TRIAL	treated
EM00003	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00003	gnpis_pui:unknown:Wheat:EM00003	sample collection	EM00003itktRep0	VIRTUAL_TRIAL	treated
EM00004	NCBI:4565	Triticum	aestivum	subsp. aestivum	29130	https://doi.org/10.15454/4WHHJZ	sample collection	EM00004itktRep0	VIRTUAL_TRIAL	treated
EM00005	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00005	gnpis_pui:unknown:Wheat:EM00005	sample collection	EM00005itktRep0	VIRTUAL_TRIAL	treated
EM00006	NCBI:4565	Triticum	aestivum	subsp. aestivum	29131	https://doi.org/10.15454/UEZ7EW	sample collection	EM00006itktRep0	VIRTUAL_TRIAL	treated
EM00007	NCBI:4565	Triticum	aestivum	subsp. aestivum	EM00007	gnpis_pui:unknown:Wheat:EM00007	sample collection	EM00007itktRep0	VIRTUAL_TRIAL	treated
ISENGRAIN	NCBI:4565	Triticum	aestivum	subsp. aestivum	13433	https://doi.org/10.15454/YZZGYB	sample collection	IsengrainitktRep0	VIRTUAL_TRIAL	treated
LM00001	NCBI:4565	Triticum	aestivum	subsp. aestivum	LM00001	gnpis_pui:unknown:Wheat:LM00001	sample collection	LM00001itktRep0	VIRTUAL_TRIAL	treated
RE00001	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE00001	gnpis_pui:unknown:Wheat:RE00001	sample collection	RE00001itktRep0	VIRTUAL_TRIAL	treated
RE00002	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE00002	gnpis_pui:unknown:Wheat:RE00002	sample collection	RE00002itktRep0	VIRTUAL_TRIAL	treated
RE00003	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE00003	gnpis_pui:unknown:Wheat:RE00003	sample collection	RE00003itktRep0	VIRTUAL_TRIAL	treated
RE00004	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE00004	gnpis_pui:unknown:Wheat:RE00004	sample collection	RE00004itktRep0	VIRTUAL_TRIAL	treated
RE00005	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE00005	gnpis_pui:unknown:Wheat:RE00005	sample collection	RE00005itktRep0	VIRTUAL_TRIAL	treated
RE99104	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE99104	gnpis_pui:unknown:Wheat:RE99104	sample collection	RE99104itktRep0	VIRTUAL_TRIAL	treated
RE99106	NCBI:4565	Triticum	aestivum	subsp. aestivum	RE99106	gnpis_pui:unknown:Wheat:RE99106	sample collection	RE99106itktRep0	VIRTUAL_TRIAL	treated
SOISSONS	NCBI:4565	Triticum	aestivum	subsp. aestivum	6607	https://doi.org/10.15454/ZRMNO2	sample collection	SoissonsitktRep0	VIRTUAL_TRIAL	treated
TREMIE	NCBI:4565	Triticum	aestivum	subsp. aestivum	7043	https://doi.org/10.15454/9YBOHR	sample collection	TremieitktRep0	VIRTUAL_TRIAL	treated
VALORIS	NCBI:4565	Triticum	aestivum	subsp. aestivum	13871	https://doi.org/10.15454/EMUZ8X	sample collection	ValorisitktRep0	VIRTUAL_TRIAL	treated
