Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[itk]
APACHE	NCBI:4565	Triticum	aestivum	subsp. aestivum	13481	https://doi.org/10.15454/V8WRHY	sample collection	Apacheitkt	VIRTUAL_TRIAL		treated
CAPHORN	NCBI:4565	Triticum	aestivum	subsp. aestivum	20443	https://doi.org/10.15454/IH4I8R	sample collection	2	REPLICATION	[replicate]2; [REPLICATION]2	treated
CAPHORN	NCBI:4565	Triticum	aestivum	subsp. aestivum	20443	https://doi.org/10.15454/IH4I8R	sample collection	Caphornitkt	VIRTUAL_TRIAL		treated
CF03092	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF03092	gnpis_pui:unknown:Wheat:CF03092	sample collection	CF03092itkt	VIRTUAL_TRIAL		treated
CF03326	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF03326	gnpis_pui:unknown:Wheat:CF03326	sample collection	CF03326itkt	VIRTUAL_TRIAL		treated
CF04004	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF04004	gnpis_pui:unknown:Wheat:CF04004	sample collection	CF04004itkt	VIRTUAL_TRIAL		treated
CF04004	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF04004	gnpis_pui:unknown:Wheat:CF04004	sample collection	1	REPLICATION	[replicate]1; [REPLICATION]1	treated
CF04215	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF04215	gnpis_pui:unknown:Wheat:CF04215	sample collection	CF04215itkt	VIRTUAL_TRIAL		treated
CF04264	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF04264	gnpis_pui:unknown:Wheat:CF04264	sample collection	CF04264itkt	VIRTUAL_TRIAL		treated
CHARGER	NCBI:4565	Triticum	aestivum	subsp. aestivum	13431	https://doi.org/10.15454/0ALDQA	sample collection	Chargeritkt	VIRTUAL_TRIAL		treated
DI05001	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI05001	gnpis_pui:unknown:Wheat:DI05001	sample collection	DI05001itkt	VIRTUAL_TRIAL		treated
DI05002	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI05002	gnpis_pui:unknown:Wheat:DI05002	sample collection	DI05002itkt	VIRTUAL_TRIAL		treated
DI05003	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI05003	gnpis_pui:unknown:Wheat:DI05003	sample collection	DI05003itkt	VIRTUAL_TRIAL		treated
DI05004	NCBI:4565	Triticum	aestivum	subsp. aestivum	29888	https://doi.org/10.15454/HTYOGZ	sample collection	DI05004itkt	VIRTUAL_TRIAL		treated
DI05005	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI05005	gnpis_pui:unknown:Wheat:DI05005	sample collection	DI05005itkt	VIRTUAL_TRIAL		treated
DI05006	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI05006	gnpis_pui:unknown:Wheat:DI05006	sample collection	DI05006itkt	VIRTUAL_TRIAL		treated
DI05007	NCBI:4565	Triticum	aestivum	subsp. aestivum	DI05007	gnpis_pui:unknown:Wheat:DI05007	sample collection	DI05007itkt	VIRTUAL_TRIAL		treated
