Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[itk]
BALTHAZAR	NCBI:4565	Triticum	aestivum	subsp. aestivum	13217	https://doi.org/10.15454/ISHUU1	sample collection	Balthazaritkt	VIRTUAL_TRIAL		treated
BALTHAZAR	NCBI:4565	Triticum	aestivum	subsp. aestivum	13217	https://doi.org/10.15454/ISHUU1	sample collection	Balthazaritkfi	VIRTUAL_TRIAL		low inputs
CF00190	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF00190	gnpis_pui:unknown:Wheat:CF00190	sample collection	CF00190itkt	VIRTUAL_TRIAL		treated
CF00190	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF00190	gnpis_pui:unknown:Wheat:CF00190	sample collection	CF00190itkfi	VIRTUAL_TRIAL		low inputs
CF00191	NCBI:4565	Triticum	aestivum	subsp. aestivum	22481	https://doi.org/10.15454/VRBLKL	sample collection	CF00191itkfi	VIRTUAL_TRIAL		low inputs
CF00191	NCBI:4565	Triticum	aestivum	subsp. aestivum	22481	https://doi.org/10.15454/VRBLKL	sample collection	CF00191itkt	VIRTUAL_TRIAL		treated
CF99087	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99087	gnpis_pui:unknown:Wheat:CF99087	sample collection	CF99087itkt	VIRTUAL_TRIAL		treated
CF99087	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99087	gnpis_pui:unknown:Wheat:CF99087	sample collection	CF99087itkfi	VIRTUAL_TRIAL		low inputs
CF99105	NCBI:4565	Triticum	aestivum	subsp. aestivum	20364	https://doi.org/10.15454/J6YB10	sample collection	CF99105itkfi	VIRTUAL_TRIAL		low inputs
CF99105	NCBI:4565	Triticum	aestivum	subsp. aestivum	20364	https://doi.org/10.15454/J6YB10	sample collection	CF99105itkt	VIRTUAL_TRIAL		treated
CF99106	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99106	gnpis_pui:unknown:Wheat:CF99106	sample collection	CF99106itkfi	VIRTUAL_TRIAL		low inputs
CF99106	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99106	gnpis_pui:unknown:Wheat:CF99106	sample collection	CF99106itkt	VIRTUAL_TRIAL		treated
CF99106	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99106	gnpis_pui:unknown:Wheat:CF99106	sample collection	1	REPLICATION	[replicate]1; [REPLICATION]1	low inputs
CF99127	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99127	gnpis_pui:unknown:Wheat:CF99127	sample collection	CF99127itkfi	VIRTUAL_TRIAL		low inputs
CF99127	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99127	gnpis_pui:unknown:Wheat:CF99127	sample collection	CF99127itkt	VIRTUAL_TRIAL		treated
CF99175	NCBI:4565	Triticum	aestivum	subsp. aestivum	CF99175	gnpis_pui:unknown:Wheat:CF99175	sample collection	CF99175itkt	VIRTUAL_TRIAL		treated
