Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[itk]
AO14023	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14023	https://doi.org/10.15454/RZZTFZ	sample collection	AO14023itkfi	VIRTUAL_TRIAL		low inputs
AO14024	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14024	https://doi.org/10.15454/I3WB3P	sample collection	AO14024itkfi	VIRTUAL_TRIAL		low inputs
AO14025	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14025	https://doi.org/10.15454/PSDVDT	sample collection	AO14025itkfi	VIRTUAL_TRIAL		low inputs
AO14026	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14026	https://doi.org/10.15454/ZZZLIR	sample collection	AO14026itkfi	VIRTUAL_TRIAL		low inputs
AO14027	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14027	https://doi.org/10.15454/AJRNQX	sample collection	AO14027itkfi	VIRTUAL_TRIAL		low inputs
AO14028	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14028	https://doi.org/10.15454/FMXV4A	sample collection	AO14028itkfi	VIRTUAL_TRIAL		low inputs
AO14034	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14034	https://doi.org/10.15454/HXGH2V	sample collection	AO14034itkfi	VIRTUAL_TRIAL		low inputs
AO14035	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14035	https://doi.org/10.15454/XJIDYV	sample collection	AO14035itkfi	VIRTUAL_TRIAL		low inputs
AO14036	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14036	https://doi.org/10.15454/OW857E	sample collection	AO14036itkfi	VIRTUAL_TRIAL		low inputs
AO14037	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14037	https://doi.org/10.15454/QDTHNJ	sample collection	AO14037itkfi	VIRTUAL_TRIAL		low inputs
AO14038	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14038	https://doi.org/10.15454/GS4MJR	sample collection	AO14038itkfi	VIRTUAL_TRIAL		low inputs
AO14039	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14039	https://doi.org/10.15454/WFL1YX	sample collection	AO14039itkfi	VIRTUAL_TRIAL		low inputs
AO14040	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14040	https://doi.org/10.15454/NZO2Q6	sample collection	AO14040itkfi	VIRTUAL_TRIAL		low inputs
AO14041	NCBI:4565	Triticum	aestivum	subsp. aestivum	AO14041	https://doi.org/10.15454/BHRDHY	sample collection	AO14041itkfi	VIRTUAL_TRIAL		low inputs
