Sample Name	Protocol REF	Assay Name
101-74	phenotyping	assay-name_(2889403-2005)
101-74	phenotyping	assay-name_(2889403-2004)
661300224	phenotyping	assay-name_(2889073-2004)
661300224	phenotyping	assay-name_(2889073-2005)
661300227	phenotyping	assay-name_(2889074-2004)
661300227	phenotyping	assay-name_(2889074-2005)
661300228	phenotyping	assay-name_(2889075-2005)
661300228	phenotyping	assay-name_(2889075-2004)
661300229	phenotyping	assay-name_(2889076-2005)
661300229	phenotyping	assay-name_(2889076-2004)
661300230	phenotyping	assay-name_(2889077-2005)
661300230	phenotyping	assay-name_(2889077-2004)
661300232	phenotyping	assay-name_(2889078-2004)
661300232	phenotyping	assay-name_(2889078-2005)
661300233	phenotyping	assay-name_(2889079-2005)
661300233	phenotyping	assay-name_(2889079-2004)
661300234	phenotyping	assay-name_(2889080-2005)
661300234	phenotyping	assay-name_(2889080-2004)
661300235	phenotyping	assay-name_(2889081-2004)
661300235	phenotyping	assay-name_(2889081-2005)
661300236	phenotyping	assay-name_(2889082-2004)
661300236	phenotyping	assay-name_(2889082-2005)
661300237	phenotyping	assay-name_(2889083-2004)
661300237	phenotyping	assay-name_(2889083-2005)
661300238	phenotyping	assay-name_(2889084-2005)
661300238	phenotyping	assay-name_(2889084-2004)
661300240	phenotyping	assay-name_(2889085-2005)
661300240	phenotyping	assay-name_(2889085-2004)
661300241	phenotyping	assay-name_(2889086-2005)
661300241	phenotyping	assay-name_(2889086-2004)
661300242	phenotyping	assay-name_(2889087-2005)
661300242	phenotyping	assay-name_(2889087-2004)
661300243	phenotyping	assay-name_(2889088-2004)
661300243	phenotyping	assay-name_(2889088-2005)
661300244	phenotyping	assay-name_(2889089-2004)
661300244	phenotyping	assay-name_(2889089-2005)
661300246	phenotyping	assay-name_(2889090-2005)
661300246	phenotyping	assay-name_(2889090-2004)
661300247	phenotyping	assay-name_(2889091-2004)
661300247	phenotyping	assay-name_(2889091-2005)
661300248	phenotyping	assay-name_(2889092-2005)
661300248	phenotyping	assay-name_(2889092-2004)
661300249	phenotyping	assay-name_(2889093-2004)
661300249	phenotyping	assay-name_(2889093-2005)
661300250	phenotyping	assay-name_(2889094-2005)
661300250	phenotyping	assay-name_(2889094-2004)
