Sample Name	Protocol REF	Assay Name
661300224	phenotyping	assay-name_(2889406-2005)
661300224	phenotyping	assay-name_(2889406-2004)
661300227	phenotyping	assay-name_(2889407-2004)
661300227	phenotyping	assay-name_(2889407-2005)
661300228	phenotyping	assay-name_(2889408-2004)
661300228	phenotyping	assay-name_(2889408-2005)
661300229	phenotyping	assay-name_(2889409-2005)
661300229	phenotyping	assay-name_(2889409-2004)
661300230	phenotyping	assay-name_(2889410-2005)
661300230	phenotyping	assay-name_(2889410-2004)
661300232	phenotyping	assay-name_(2889411-2004)
661300232	phenotyping	assay-name_(2889411-2005)
661300233	phenotyping	assay-name_(2889412-2005)
661300233	phenotyping	assay-name_(2889412-2004)
661300234	phenotyping	assay-name_(2889413-2005)
661300234	phenotyping	assay-name_(2889413-2004)
661300235	phenotyping	assay-name_(2889414-2004)
661300235	phenotyping	assay-name_(2889414-2005)
661300236	phenotyping	assay-name_(2889415-2004)
661300236	phenotyping	assay-name_(2889415-2005)
661300237	phenotyping	assay-name_(2889416-2004)
661300237	phenotyping	assay-name_(2889416-2005)
661300238	phenotyping	assay-name_(2889417-2005)
661300238	phenotyping	assay-name_(2889417-2004)
661300240	phenotyping	assay-name_(2889418-2005)
661300240	phenotyping	assay-name_(2889418-2004)
661300241	phenotyping	assay-name_(2889419-2005)
661300241	phenotyping	assay-name_(2889419-2004)
661300242	phenotyping	assay-name_(2889420-2005)
661300242	phenotyping	assay-name_(2889420-2004)
661300243	phenotyping	assay-name_(2889421-2005)
661300243	phenotyping	assay-name_(2889421-2004)
661300244	phenotyping	assay-name_(2889422-2005)
661300244	phenotyping	assay-name_(2889422-2004)
661300246	phenotyping	assay-name_(2889423-2005)
661300246	phenotyping	assay-name_(2889423-2004)
661300247	phenotyping	assay-name_(2889424-2004)
661300247	phenotyping	assay-name_(2889424-2005)
661300248	phenotyping	assay-name_(2889425-2004)
661300248	phenotyping	assay-name_(2889425-2005)
661300249	phenotyping	assay-name_(2889426-2005)
661300249	phenotyping	assay-name_(2889426-2004)
661300250	phenotyping	assay-name_(2889427-2005)
661300250	phenotyping	assay-name_(2889427-2004)
661300251	phenotyping	assay-name_(2889428-2005)
661300251	phenotyping	assay-name_(2889428-2004)
661300252	phenotyping	assay-name_(2889429-2004)
661300252	phenotyping	assay-name_(2889429-2005)
661300254	phenotyping	assay-name_(2889430-2005)
661300254	phenotyping	assay-name_(2889430-2004)
661300255	phenotyping	assay-name_(2889431-2005)
661300255	phenotyping	assay-name_(2889431-2004)
661300256	phenotyping	assay-name_(2889432-2005)
661300256	phenotyping	assay-name_(2889432-2004)
661300258	phenotyping	assay-name_(2889433-2004)
661300258	phenotyping	assay-name_(2889433-2005)
661300260	phenotyping	assay-name_(2889434-2004)
661300260	phenotyping	assay-name_(2889434-2005)
661300262	phenotyping	assay-name_(2889435-2005)
661300262	phenotyping	assay-name_(2889435-2004)
661300263	phenotyping	assay-name_(2889436-2004)
661300263	phenotyping	assay-name_(2889436-2005)
661300267	phenotyping	assay-name_(2889437-2005)
661300267	phenotyping	assay-name_(2889437-2004)
661300270	phenotyping	assay-name_(2889438-2005)
661300270	phenotyping	assay-name_(2889438-2004)
661300271	phenotyping	assay-name_(2889439-2005)
661300271	phenotyping	assay-name_(2889439-2004)
661300272	phenotyping	assay-name_(2889440-2004)
661300272	phenotyping	assay-name_(2889440-2005)
661300275	phenotyping	assay-name_(2889441-2004)
661300275	phenotyping	assay-name_(2889441-2005)
661300276	phenotyping	assay-name_(2889442-2004)
661300276	phenotyping	assay-name_(2889442-2005)
661300277	phenotyping	assay-name_(2889443-2004)
661300277	phenotyping	assay-name_(2889443-2005)
661300278	phenotyping	assay-name_(2889444-2005)
661300278	phenotyping	assay-name_(2889444-2004)
661300279	phenotyping	assay-name_(2889445-2005)
661300279	phenotyping	assay-name_(2889445-2004)
661300280	phenotyping	assay-name_(2889446-2004)
661300280	phenotyping	assay-name_(2889446-2005)
