Sample Name	Protocol REF	Assay Name	Derived Data File
661300224	phenotyping	2889737-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300224	phenotyping	2889737-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300227	phenotyping	2889738-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300227	phenotyping	2889738-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300228	phenotyping	2889739-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300228	phenotyping	2889739-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300229	phenotyping	2889740-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300229	phenotyping	2889740-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300230	phenotyping	2889741-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300230	phenotyping	2889741-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300232	phenotyping	2889742-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300232	phenotyping	2889742-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300233	phenotyping	2889743-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300233	phenotyping	2889743-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300234	phenotyping	2889744-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300234	phenotyping	2889744-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300235	phenotyping	2889745-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300235	phenotyping	2889745-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300236	phenotyping	2889746-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300236	phenotyping	2889746-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300237	phenotyping	2889747-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300237	phenotyping	2889747-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300238	phenotyping	2889748-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300238	phenotyping	2889748-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300240	phenotyping	2889749-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300240	phenotyping	2889749-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300241	phenotyping	2889750-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300241	phenotyping	2889750-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300242	phenotyping	2889751-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300242	phenotyping	2889751-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300243	phenotyping	2889752-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300243	phenotyping	2889752-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300244	phenotyping	2889753-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300244	phenotyping	2889753-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300246	phenotyping	2889754-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300246	phenotyping	2889754-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300247	phenotyping	2889755-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300247	phenotyping	2889755-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300248	phenotyping	2889756-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300248	phenotyping	2889756-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300249	phenotyping	2889757-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300249	phenotyping	2889757-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300250	phenotyping	2889758-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300250	phenotyping	2889758-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300251	phenotyping	2889759-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300251	phenotyping	2889759-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300252	phenotyping	2889760-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300252	phenotyping	2889760-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300254	phenotyping	2889761-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300254	phenotyping	2889761-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300255	phenotyping	2889762-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300255	phenotyping	2889762-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300256	phenotyping	2889763-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300256	phenotyping	2889763-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300258	phenotyping	2889764-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300258	phenotyping	2889764-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300260	phenotyping	2889765-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300260	phenotyping	2889765-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300262	phenotyping	2889766-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300262	phenotyping	2889766-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300263	phenotyping	2889767-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300263	phenotyping	2889767-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300267	phenotyping	2889768-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300267	phenotyping	2889768-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300270	phenotyping	2889769-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300270	phenotyping	2889769-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300271	phenotyping	2889770-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300271	phenotyping	2889770-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300272	phenotyping	2889771-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300272	phenotyping	2889771-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300275	phenotyping	2889772-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300275	phenotyping	2889772-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300276	phenotyping	2889773-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300276	phenotyping	2889773-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300277	phenotyping	2889774-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300277	phenotyping	2889774-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300278	phenotyping	2889775-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300278	phenotyping	2889775-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300279	phenotyping	2889776-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300279	phenotyping	2889776-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300280	phenotyping	2889777-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300280	phenotyping	2889777-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300281	phenotyping	2889778-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300281	phenotyping	2889778-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300282	phenotyping	2889779-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300282	phenotyping	2889779-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300283	phenotyping	2889780-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300283	phenotyping	2889780-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300284	phenotyping	2889781-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300284	phenotyping	2889781-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300286	phenotyping	2889782-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300286	phenotyping	2889782-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300287	phenotyping	2889783-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300287	phenotyping	2889783-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300288	phenotyping	2889784-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300288	phenotyping	2889784-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300289	phenotyping	2889785-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300289	phenotyping	2889785-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300292	phenotyping	2889786-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300292	phenotyping	2889786-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300293	phenotyping	2889787-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300293	phenotyping	2889787-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300295	phenotyping	2889788-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300295	phenotyping	2889788-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300297	phenotyping	2889789-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300297	phenotyping	2889789-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300298	phenotyping	2889790-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300298	phenotyping	2889790-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300299	phenotyping	2889791-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300299	phenotyping	2889791-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300301	phenotyping	2889792-2005	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
661300301	phenotyping	2889792-2004	d_POPYOMICS-POP2-UK_VIRTUAL_TRIAL.txt
