observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	REP	BS_date	Delta13C	Height1	CM	Height2	SLA	Syllep1	Shoots3	NM	Circum1	Circum2	Budflush2
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-03-21T01:00:00Z													92.000172239871404
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-01-12T01:00:00Z											42.494365119861165		
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-12-18T01:00:00Z												105.68	
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-04-01T02:00:00Z					458.48								
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-04-01T02:00:00Z			21.568000000000001										
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-01-12T01:00:00Z				271.39999999999998									
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-12-18T01:00:00Z						601.70000000000005							
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-04-01T02:00:00Z										20.568000000000001			
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-04-01T02:00:00Z							129.76						
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-01-12T01:00:00Z								18.16					
2889215-2004	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2004	2004-12-18T01:00:00Z	6												
2889215-2005	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2005	2015-09-01T02:00:00Z		254.649010464512											
2889215-2005	gnpis.lot:'661300396'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZCRzlEVw==	661300396	661300396	2005	2005-05-12T02:00:00Z									14.737921				
