observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Circum1	Height1	REP	Shoots3	Circum2	Syllep1	Height2
2889500-2004	gnpis.lot:'661300344'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFN1JTUg==	661300344	661300344	2004	2004-01-01T01:00:00Z	44.9						
2889500-2004	gnpis.lot:'661300344'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFN1JTUg==	661300344	661300344	2004	2004-12-01T01:00:00Z					119.61		
2889500-2004	gnpis.lot:'661300344'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFN1JTUg==	661300344	661300344	2004	2004-01-01T01:00:00Z		233.6					
2889500-2004	gnpis.lot:'661300344'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFN1JTUg==	661300344	661300344	2004	2004-12-01T01:00:00Z							705.7
2889500-2004	gnpis.lot:'661300344'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFN1JTUg==	661300344	661300344	2004	2004-01-01T01:00:00Z						21.36	
2889500-2004	gnpis.lot:'661300344'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFN1JTUg==	661300344	661300344	2004	2004-12-01T01:00:00Z			6				
2889500-2005	gnpis.lot:'661300344'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFN1JTUg==	661300344	661300344	2005	2005-05-01T02:00:00Z				12.096484000000002			
2889500-2005	gnpis.lot:'661300344'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BFN1JTUg==	661300344	661300344	2005	2005-05-01T02:00:00Z			6				
2889570-2004	gnpis.lot:'661300420'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FZM1lGTw==	661300420	661300420	2004	2004-01-01T01:00:00Z	62.57						
2889570-2004	gnpis.lot:'661300420'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FZM1lGTw==	661300420	661300420	2004	2004-12-01T01:00:00Z					162.28		
2889570-2004	gnpis.lot:'661300420'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FZM1lGTw==	661300420	661300420	2004	2004-01-01T01:00:00Z		298.10000000000002					
2889570-2004	gnpis.lot:'661300420'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FZM1lGTw==	661300420	661300420	2004	2004-12-01T01:00:00Z							784
2889570-2004	gnpis.lot:'661300420'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FZM1lGTw==	661300420	661300420	2004	2004-01-01T01:00:00Z						42.03	
2889570-2004	gnpis.lot:'661300420'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FZM1lGTw==	661300420	661300420	2004	2004-12-01T01:00:00Z			6				
2889570-2005	gnpis.lot:'661300420'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FZM1lGTw==	661300420	661300420	2005	2005-05-01T02:00:00Z				11.168964000000001			
2889570-2005	gnpis.lot:'661300420'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FZM1lGTw==	661300420	661300420	2005	2005-05-01T02:00:00Z			6				
2889538-2004	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-01-01T01:00:00Z	48.57						
2889538-2004	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-12-01T01:00:00Z					127.45		
2889538-2004	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-01-01T01:00:00Z		238.9					
2889538-2004	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-12-01T01:00:00Z							719
2889538-2004	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-01-01T01:00:00Z						28.69	
2889538-2004	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-12-01T01:00:00Z			6				
2889538-2005	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2005	2005-05-01T02:00:00Z				7.6618239999999993			
2889538-2005	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2005	2005-05-01T02:00:00Z			6				
2889679-2004	gnpis.lot:'661300533'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJNTEVYQQ==	661300533	661300533	2004	2004-01-01T01:00:00Z	61.07						
2889679-2004	gnpis.lot:'661300533'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJNTEVYQQ==	661300533	661300533	2004	2004-12-01T01:00:00Z					168.45		
2889679-2004	gnpis.lot:'661300533'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJNTEVYQQ==	661300533	661300533	2004	2004-01-01T01:00:00Z		280.60000000000002					
2889679-2004	gnpis.lot:'661300533'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJNTEVYQQ==	661300533	661300533	2004	2004-12-01T01:00:00Z							740.7
2889679-2004	gnpis.lot:'661300533'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJNTEVYQQ==	661300533	661300533	2004	2004-01-01T01:00:00Z						38.53	
2889679-2004	gnpis.lot:'661300533'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJNTEVYQQ==	661300533	661300533	2004	2004-12-01T01:00:00Z			6				
2889679-2005	gnpis.lot:'661300533'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJNTEVYQQ==	661300533	661300533	2005	2005-05-01T02:00:00Z				11.363640999999999			
2889679-2005	gnpis.lot:'661300533'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzJNTEVYQQ==	661300533	661300533	2005	2005-05-01T02:00:00Z			6				
2889706-2004	gnpis.lot:'661300560'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFNOFFMWg==	661300560	661300560	2004	2004-01-01T01:00:00Z	57.74						
2889706-2004	gnpis.lot:'661300560'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFNOFFMWg==	661300560	661300560	2004	2004-12-01T01:00:00Z					148.28		
2889706-2004	gnpis.lot:'661300560'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFNOFFMWg==	661300560	661300560	2004	2004-01-01T01:00:00Z		272.7					
2889706-2004	gnpis.lot:'661300560'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFNOFFMWg==	661300560	661300560	2004	2004-12-01T01:00:00Z							760.5
2889706-2004	gnpis.lot:'661300560'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFNOFFMWg==	661300560	661300560	2004	2004-01-01T01:00:00Z						32.19	
2889706-2004	gnpis.lot:'661300560'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFNOFFMWg==	661300560	661300560	2004	2004-12-01T01:00:00Z			6				
2889706-2005	gnpis.lot:'661300560'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFNOFFMWg==	661300560	661300560	2005	2005-05-01T02:00:00Z				9.61			
2889706-2005	gnpis.lot:'661300560'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFNOFFMWg==	661300560	661300560	2005	2005-05-01T02:00:00Z			6				
