observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	REP	Syllep1	Height1	Height2	Shoots3	Circum1	Circum2	Budflush2
2889875-2004	gnpis.lot:'661300392'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJSFlLTQ==	661300392	661300392	2004	2004-03-21T01:00:00Z								92.408476101812198
2889875-2004	gnpis.lot:'661300392'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJSFlLTQ==	661300392	661300392	2004	2004-01-01T01:00:00Z						59.94		
2889875-2004	gnpis.lot:'661300392'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJSFlLTQ==	661300392	661300392	2004	2004-12-01T01:00:00Z							146.05000000000001	
2889875-2004	gnpis.lot:'661300392'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJSFlLTQ==	661300392	661300392	2004	2004-01-01T01:00:00Z			317.39999999999998					
2889875-2004	gnpis.lot:'661300392'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJSFlLTQ==	661300392	661300392	2004	2004-12-01T01:00:00Z				616.4				
2889875-2004	gnpis.lot:'661300392'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJSFlLTQ==	661300392	661300392	2004	2004-01-01T01:00:00Z		27.9						
2889875-2004	gnpis.lot:'661300392'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJSFlLTQ==	661300392	661300392	2004	2004-01-01T01:00:00Z	6							
2889875-2005	gnpis.lot:'661300392'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJSFlLTQ==	661300392	661300392	2005	2005-05-01T02:00:00Z					14.432400999999999			
2889875-2005	gnpis.lot:'661300392'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJSFlLTQ==	661300392	661300392	2005	2005-05-01T02:00:00Z	6							
2890033-2004	gnpis.lot:'661300556'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dDU0JJQg==	661300556	661300556	2004	2004-03-21T01:00:00Z								92.818603549309998
2890033-2004	gnpis.lot:'661300556'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dDU0JJQg==	661300556	661300556	2004	2004-01-01T01:00:00Z						53.65		
2890033-2004	gnpis.lot:'661300556'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dDU0JJQg==	661300556	661300556	2004	2004-12-01T01:00:00Z							128.19999999999999	
2890033-2004	gnpis.lot:'661300556'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dDU0JJQg==	661300556	661300556	2004	2004-01-01T01:00:00Z			289.2					
2890033-2004	gnpis.lot:'661300556'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dDU0JJQg==	661300556	661300556	2004	2004-12-01T01:00:00Z				537.79999999999995				
2890033-2004	gnpis.lot:'661300556'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dDU0JJQg==	661300556	661300556	2004	2004-01-01T01:00:00Z		33.067						
2890033-2004	gnpis.lot:'661300556'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dDU0JJQg==	661300556	661300556	2004	2004-12-01T01:00:00Z	6							
2890033-2005	gnpis.lot:'661300556'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dDU0JJQg==	661300556	661300556	2005	2005-05-01T02:00:00Z					19.316024999999996			
2890033-2005	gnpis.lot:'661300556'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dDU0JJQg==	661300556	661300556	2005	2005-05-01T02:00:00Z	6							
2889751-2004	gnpis.lot:'661300242'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01GU0dHQg==	661300242	661300242	2004	2004-03-21T01:00:00Z								96.651936882643398
2889751-2004	gnpis.lot:'661300242'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01GU0dHQg==	661300242	661300242	2004	2004-01-01T01:00:00Z						50.51		
2889751-2004	gnpis.lot:'661300242'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01GU0dHQg==	661300242	661300242	2004	2004-12-01T01:00:00Z							119.76	
2889751-2004	gnpis.lot:'661300242'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01GU0dHQg==	661300242	661300242	2004	2004-01-01T01:00:00Z			255.2					
2889751-2004	gnpis.lot:'661300242'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01GU0dHQg==	661300242	661300242	2004	2004-12-01T01:00:00Z				583.1				
2889751-2004	gnpis.lot:'661300242'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01GU0dHQg==	661300242	661300242	2004	2004-01-01T01:00:00Z		14.9						
2889751-2004	gnpis.lot:'661300242'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01GU0dHQg==	661300242	661300242	2004	2004-12-01T01:00:00Z	6							
