Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]
101-74	NCBI:3694	Populus	trichocarpa	101-74	https://doi.org/10.15454/G0OSUB	sample collection	101-74	VIRTUAL_TRIAL
661300224	NCBI:3695	Populus	x generosa	661300224	https://doi.org/10.15454/FLX6QX	sample collection	661300224	VIRTUAL_TRIAL
661300227	NCBI:3695	Populus	x generosa	661300227	https://doi.org/10.15454/VADYDQ	sample collection	661300227	VIRTUAL_TRIAL
661300228	NCBI:3695	Populus	x generosa	661300228	https://doi.org/10.15454/ZBAJ2Z	sample collection	661300228	VIRTUAL_TRIAL
661300229	NCBI:3695	Populus	x generosa	661300229	https://doi.org/10.15454/VG6WQA	sample collection	661300229	VIRTUAL_TRIAL
661300230	NCBI:3695	Populus	x generosa	661300230	https://doi.org/10.15454/GOVTAT	sample collection	661300230	VIRTUAL_TRIAL
661300232	NCBI:3695	Populus	x generosa	661300232	https://doi.org/10.15454/6RP8RM	sample collection	661300232	VIRTUAL_TRIAL
661300233	NCBI:3695	Populus	x generosa	661300233	https://doi.org/10.15454/MRX1FA	sample collection	661300233	VIRTUAL_TRIAL
661300234	NCBI:3695	Populus	x generosa	661300234	https://doi.org/10.15454/54NJWE	sample collection	661300234	VIRTUAL_TRIAL
661300235	NCBI:3695	Populus	x generosa	661300235	https://doi.org/10.15454/JUWYPH	sample collection	661300235	VIRTUAL_TRIAL
661300236	NCBI:3695	Populus	x generosa	661300236	https://doi.org/10.15454/YB4PIE	sample collection	661300236	VIRTUAL_TRIAL
661300237	NCBI:3695	Populus	x generosa	661300237	https://doi.org/10.15454/C5NPZ3	sample collection	661300237	VIRTUAL_TRIAL
661300238	NCBI:3695	Populus	x generosa	661300238	https://doi.org/10.15454/Q75WL7	sample collection	661300238	VIRTUAL_TRIAL
661300240	NCBI:3695	Populus	x generosa	661300240	https://doi.org/10.15454/PAJPWS	sample collection	661300240	VIRTUAL_TRIAL
661300241	NCBI:3695	Populus	x generosa	661300241	https://doi.org/10.15454/DZ777C	sample collection	661300241	VIRTUAL_TRIAL
661300242	NCBI:3695	Populus	x generosa	661300242	https://doi.org/10.15454/MFSGGB	sample collection	661300242	VIRTUAL_TRIAL
661300243	NCBI:3695	Populus	x generosa	661300243	https://doi.org/10.15454/9Z1UWA	sample collection	661300243	VIRTUAL_TRIAL
661300244	NCBI:3695	Populus	x generosa	661300244	https://doi.org/10.15454/N2YQYF	sample collection	661300244	VIRTUAL_TRIAL
661300246	NCBI:3695	Populus	x generosa	661300246	https://doi.org/10.15454/IHHDXC	sample collection	661300246	VIRTUAL_TRIAL
661300247	NCBI:3695	Populus	x generosa	661300247	https://doi.org/10.15454/SHVIW8	sample collection	661300247	VIRTUAL_TRIAL
661300248	NCBI:3695	Populus	x generosa	661300248	https://doi.org/10.15454/8TCGPH	sample collection	661300248	VIRTUAL_TRIAL
661300249	NCBI:3695	Populus	x generosa	661300249	https://doi.org/10.15454/VFSPRS	sample collection	661300249	VIRTUAL_TRIAL
661300250	NCBI:3695	Populus	x generosa	661300250	https://doi.org/10.15454/4AL80V	sample collection	661300250	VIRTUAL_TRIAL
661300251	NCBI:3695	Populus	x generosa	661300251	https://doi.org/10.15454/FZX8KO	sample collection	661300251	VIRTUAL_TRIAL
661300252	NCBI:3695	Populus	x generosa	661300252	https://doi.org/10.15454/LHMLEU	sample collection	661300252	VIRTUAL_TRIAL
661300254	NCBI:3695	Populus	x generosa	661300254	https://doi.org/10.15454/CTGQVN	sample collection	661300254	VIRTUAL_TRIAL
661300255	NCBI:3695	Populus	x generosa	661300255	https://doi.org/10.15454/FRPYTX	sample collection	661300255	VIRTUAL_TRIAL
661300256	NCBI:3695	Populus	x generosa	661300256	https://doi.org/10.15454/ZGAFC3	sample collection	661300256	VIRTUAL_TRIAL
661300258	NCBI:3695	Populus	x generosa	661300258	https://doi.org/10.15454/NGTQ42	sample collection	661300258	VIRTUAL_TRIAL
661300260	NCBI:3695	Populus	x generosa	661300260	https://doi.org/10.15454/IMHTO3	sample collection	661300260	VIRTUAL_TRIAL
661300262	NCBI:3695	Populus	x generosa	661300262	https://doi.org/10.15454/WAZRJT	sample collection	661300262	VIRTUAL_TRIAL
661300263	NCBI:3695	Populus	x generosa	661300263	https://doi.org/10.15454/VY01RM	sample collection	661300263	VIRTUAL_TRIAL
661300267	NCBI:3695	Populus	x generosa	661300267	https://doi.org/10.15454/NUFROO	sample collection	661300267	VIRTUAL_TRIAL
661300270	NCBI:3695	Populus	x generosa	661300270	https://doi.org/10.15454/TMVSNU	sample collection	661300270	VIRTUAL_TRIAL
661300271	NCBI:3695	Populus	x generosa	661300271	https://doi.org/10.15454/LLHP51	sample collection	661300271	VIRTUAL_TRIAL
661300272	NCBI:3695	Populus	x generosa	661300272	https://doi.org/10.15454/ISL6U5	sample collection	661300272	VIRTUAL_TRIAL
661300275	NCBI:3695	Populus	x generosa	661300275	https://doi.org/10.15454/TEIJ0E	sample collection	661300275	VIRTUAL_TRIAL
661300276	NCBI:3695	Populus	x generosa	661300276	https://doi.org/10.15454/QMZFWE	sample collection	661300276	VIRTUAL_TRIAL
661300277	NCBI:3695	Populus	x generosa	661300277	https://doi.org/10.15454/YQGFUD	sample collection	661300277	VIRTUAL_TRIAL
661300278	NCBI:3695	Populus	x generosa	661300278	https://doi.org/10.15454/28VJRB	sample collection	661300278	VIRTUAL_TRIAL
