Variable ID	Variable Name	Trait	Method	Method Description	Reference Associated to the Method	Scale
CO_357:0000010	BF_score_BL	Budflush	Budflush scoring protocol	Visual assessment on the terminal bud or on the whole tree when terminal bud is not visible with a reference scoring scale	https://forgemia.inra.fr/urgi-is/ontologies/blob/develop/Tree/T4F_D21_submitted.pdf - pages 6-20 + 30-35 for broadleaves and 45-49 + 62-64 for conifers	Broadleaves budflush scoring scale
CO_357:0000010	BF_score_BL	Débourrement	Protocole score débourrement	Evaluation à l'oeil nu selon une échelle de notation de référence sur le bourgeon apical (ou supposé apical) ou sur l'arbre entier lorsque le bourgeon apical n'est pas visible	https://forgemia.inra.fr/urgi-is/ontologies/blob/develop/Tree/T4F_D21_submitted.pdf - pages 6-20 + 30-35 pour les feuillus et 45-49 + 62-64 pour les conifers	Note de débourrement feuillus
CO_357:0000016	BS_date	Budset date	Bud date protocol	Estimated date from polynomial regression of a time series of budflush or budset scores		Calendar day
CO_357:0000016	BS_date	Date d'aoûtement	Protocole date bourgeon	Estimation de la date d'après une régression polynomiale réalisée sur une série temporelle de scores de débourrement ou bourgeonement		Jour calendaire
CO_357:0000020	CIR1	Tree circumference	Ribbon 1m protocol	Measured at 1m from the ground with a graduated ribbon	http://www.csdhub.com/national-plant-specification/conifers/nps-conifers-girth/	mm
CO_357:0000020	CIR1	Circonférence de l'arbre	Protocole ruban 1m	Mesuré à 1m avec un ruban souple gradué en millimètres	http://www.csdhub.com/national-plant-specification/conifers/nps-conifers-girth/	mm
CO_357:0000048	HT	Tree height	Tree height protocol	Measured from soil to basis of the apical meristem or bud (depending of time in season) with a pole or a clinometer	GenTree_protocols_0.99.pdf page 16, https://en.wikipedia.org/wiki/Tree_measurement#Height	cm
CO_357:0000048	HT	Hauteur de l'arbre	Protocole hauteur arbre	Mesuré du sol au haut du houppier avec une perche ou un clinomètre	GenTree_protocols_0.99.pdf page 16, https://en.wikipedia.org/wiki/Tree_measurement#Height	cm
CO_357:0000074	REP	Number of repetitions	Repetitions protocol	Number of replicates used to calculate the mean value of the associated trait		Count
CO_357:0000074	REP	Nombre de répétitions	Protocole répétitions	Nombre de réplicats utilisés pour calculer la valeur moyenne du trait associé		Comptage
CO_357:0000079	Shoots	Resprout quantity	Visual count	Visual count		Count
CO_357:0000079	Shoots	Quantité de repousse	Comptage visuel	Compté à l'oeil nu		Comptage
CO_357:0000080	SLA	Specific leaf area	SLA protocol	Ratio of tree leaf area measured by image analysis and of tree dried biomass of the same leaves	GenTree_protocols_0.99.pdf page 19-25	cm2/g
CO_357:0000080	SLA	Surface foliaire spécifique	Protocole SLA	Ratio entre la surface d'une feuille (mesurée par analyse d'image) et sa biomasse sèche	GenTree_protocols_0.99.pdf page 19-25	cm2/g
CO_357:0000083	Syllep	Sylleptic shoots quantity	Sylleptic shoot protocol	Number of sylleptic branches more than 10 cm-long are counted at the end of the growing season		Count
CO_357:0000083	Syllep	Quantité de rameaux sylleptiques	Protocole ramification sylleptiques	Nombre de branches sylleptiques de plus de 10 cm de long comptées à la fin de la saison de croissance		Comptage
CO_357:0000085	Delta13C	delta C13	Measurement	Carbon isotope (C13) composition in leaves		‰
CO_357:0000085	Delta13C	delta C13	Mesure	Teneur en isotope de carbone (C13) des feuilles		‰
CO_357:0000086	CM	Leaf carbon content	Measurement	Carbon content in leaves		mg/g
CO_357:0000086	CM	Teneur en carbone des feuilles	Mesure	Teneur en carbone des feuilles		mg/g
CO_357:0000087	LNC	Leaf nitrogen content	Measurement	Nitrogen content in leaves		mg/g
CO_357:0000087	LNC	Teneur en azote foliaire	Mesure	Teneur en azote dans les feuilles		mg/g
