Variable ID	Variable Name	Trait	Method	Method Description	Reference Associated to the Method	Scale
CO_357:0000020	CIR1	Tree circumference	Ribbon 1m protocol	Measured at 1m from the ground with a graduated ribbon	http://www.csdhub.com/national-plant-specification/conifers/nps-conifers-girth/	mm
CO_357:0000020	CIR1	Circonférence de l'arbre	Protocole ruban 1m	Mesuré à 1m avec un ruban souple gradué en millimètres	http://www.csdhub.com/national-plant-specification/conifers/nps-conifers-girth/	mm
CO_357:0000048	HT	Tree height	Tree height protocol	Measured from soil to basis of the apical meristem or bud (depending of time in season) with a pole or a clinometer	GenTree_protocols_0.99.pdf page 16, https://en.wikipedia.org/wiki/Tree_measurement#Height	cm
CO_357:0000048	HT	Hauteur de l'arbre	Protocole hauteur arbre	Mesuré du sol au haut du houppier avec une perche ou un clinomètre	GenTree_protocols_0.99.pdf page 16, https://en.wikipedia.org/wiki/Tree_measurement#Height	cm
CO_357:0000074	REP	Number of repetitions	Repetitions protocol	Number of replicates used to calculate the mean value of the associated trait		Count
CO_357:0000074	REP	Nombre de répétitions	Protocole répétitions	Nombre de réplicats utilisés pour calculer la valeur moyenne du trait associé		Comptage
CO_357:0000079	Shoots	Resprout quantity	Visual count	Visual count		Count
CO_357:0000079	Shoots	Quantité de repousse	Comptage visuel	Compté à l'oeil nu		Comptage
CO_357:0000083	Syllep	Sylleptic shoots quantity	Sylleptic shoot protocol	Number of sylleptic branches more than 10 cm-long are counted at the end of the growing season		Count
CO_357:0000083	Syllep	Quantité de rameaux sylleptiques	Protocole ramification sylleptiques	Nombre de branches sylleptiques de plus de 10 cm de long comptées à la fin de la saison de croissance		Comptage
