Sample Name	Protocol REF	Assay Name	Derived Data File
pot_1	phenotyping	P_5288	d_VIB_study___33_plant.txt
pot_10	phenotyping	P_5297	d_VIB_study___33_plant.txt
pot_100	phenotyping	P_5312	d_VIB_study___33_plant.txt
pot_101	phenotyping	P_5348	d_VIB_study___33_plant.txt
pot_102	phenotyping	P_5349	d_VIB_study___33_plant.txt
pot_103	phenotyping	P_5350	d_VIB_study___33_plant.txt
pot_104	phenotyping	P_5351	d_VIB_study___33_plant.txt
pot_105	phenotyping	P_5352	d_VIB_study___33_plant.txt
pot_106	phenotyping	P_5353	d_VIB_study___33_plant.txt
pot_107	phenotyping	P_5354	d_VIB_study___33_plant.txt
pot_108	phenotyping	P_5355	d_VIB_study___33_plant.txt
pot_109	phenotyping	P_5356	d_VIB_study___33_plant.txt
pot_11	phenotyping	P_5298	d_VIB_study___33_plant.txt
pot_110	phenotyping	P_5357	d_VIB_study___33_plant.txt
pot_111	phenotyping	P_5358	d_VIB_study___33_plant.txt
pot_112	phenotyping	P_5359	d_VIB_study___33_plant.txt
pot_113	phenotyping	P_5360	d_VIB_study___33_plant.txt
pot_114	phenotyping	P_5361	d_VIB_study___33_plant.txt
pot_115	phenotyping	P_5362	d_VIB_study___33_plant.txt
pot_116	phenotyping	P_5363	d_VIB_study___33_plant.txt
pot_117	phenotyping	P_5364	d_VIB_study___33_plant.txt
pot_118	phenotyping	P_5365	d_VIB_study___33_plant.txt
pot_119	phenotyping	P_5366	d_VIB_study___33_plant.txt
pot_12	phenotyping	P_5299	d_VIB_study___33_plant.txt
pot_120	phenotyping	P_5367	d_VIB_study___33_plant.txt
pot_121	phenotyping	P_5421	d_VIB_study___33_plant.txt
pot_122	phenotyping	P_5422	d_VIB_study___33_plant.txt
pot_123	phenotyping	P_5423	d_VIB_study___33_plant.txt
pot_124	phenotyping	P_5424	d_VIB_study___33_plant.txt
pot_125	phenotyping	P_5425	d_VIB_study___33_plant.txt
pot_126	phenotyping	P_5426	d_VIB_study___33_plant.txt
pot_127	phenotyping	P_5427	d_VIB_study___33_plant.txt
pot_128	phenotyping	P_5408	d_VIB_study___33_plant.txt
pot_129	phenotyping	P_5409	d_VIB_study___33_plant.txt
pot_13	phenotyping	P_5300	d_VIB_study___33_plant.txt
pot_130	phenotyping	P_5410	d_VIB_study___33_plant.txt
pot_131	phenotyping	P_5411	d_VIB_study___33_plant.txt
pot_132	phenotyping	P_5412	d_VIB_study___33_plant.txt
pot_133	phenotyping	P_5413	d_VIB_study___33_plant.txt
pot_134	phenotyping	P_5414	d_VIB_study___33_plant.txt
pot_135	phenotyping	P_5415	d_VIB_study___33_plant.txt
pot_136	phenotyping	P_5416	d_VIB_study___33_plant.txt
pot_137	phenotyping	P_5417	d_VIB_study___33_plant.txt
pot_138	phenotyping	P_5418	d_VIB_study___33_plant.txt
pot_139	phenotyping	P_5419	d_VIB_study___33_plant.txt
pot_14	phenotyping	P_5301	d_VIB_study___33_plant.txt
pot_140	phenotyping	P_5420	d_VIB_study___33_plant.txt
pot_141	phenotyping	P_5389	d_VIB_study___33_plant.txt
pot_142	phenotyping	P_5390	d_VIB_study___33_plant.txt
pot_143	phenotyping	P_5391	d_VIB_study___33_plant.txt
pot_144	phenotyping	P_5392	d_VIB_study___33_plant.txt
pot_145	phenotyping	P_5393	d_VIB_study___33_plant.txt
pot_146	phenotyping	P_5394	d_VIB_study___33_plant.txt
pot_147	phenotyping	P_5395	d_VIB_study___33_plant.txt
pot_148	phenotyping	P_5396	d_VIB_study___33_plant.txt
pot_149	phenotyping	P_5397	d_VIB_study___33_plant.txt
pot_15	phenotyping	P_5302	d_VIB_study___33_plant.txt
pot_150	phenotyping	P_5398	d_VIB_study___33_plant.txt
pot_151	phenotyping	P_5399	d_VIB_study___33_plant.txt
pot_152	phenotyping	P_5400	d_VIB_study___33_plant.txt
pot_153	phenotyping	P_5401	d_VIB_study___33_plant.txt
pot_154	phenotyping	P_5402	d_VIB_study___33_plant.txt
pot_155	phenotyping	P_5403	d_VIB_study___33_plant.txt
pot_156	phenotyping	P_5404	d_VIB_study___33_plant.txt
pot_157	phenotyping	P_5405	d_VIB_study___33_plant.txt
pot_158	phenotyping	P_5406	d_VIB_study___33_plant.txt
pot_159	phenotyping	P_5407	d_VIB_study___33_plant.txt
pot_16	phenotyping	P_5303	d_VIB_study___33_plant.txt
pot_160	phenotyping	P_5388	d_VIB_study___33_plant.txt
pot_161	phenotyping	P_5276	d_VIB_study___33_plant.txt
pot_162	phenotyping	P_5277	d_VIB_study___33_plant.txt
pot_163	phenotyping	P_5278	d_VIB_study___33_plant.txt
pot_164	phenotyping	P_5279	d_VIB_study___33_plant.txt
pot_165	phenotyping	P_5280	d_VIB_study___33_plant.txt
pot_166	phenotyping	P_5428	d_VIB_study___33_plant.txt
pot_167	phenotyping	P_5429	d_VIB_study___33_plant.txt
pot_168	phenotyping	P_5430	d_VIB_study___33_plant.txt
pot_169	phenotyping	P_5431	d_VIB_study___33_plant.txt
pot_17	phenotyping	P_5304	d_VIB_study___33_plant.txt
pot_170	phenotyping	P_5432	d_VIB_study___33_plant.txt
pot_171	phenotyping	P_5281	d_VIB_study___33_plant.txt
pot_172	phenotyping	P_5282	d_VIB_study___33_plant.txt
pot_173	phenotyping	P_5283	d_VIB_study___33_plant.txt
pot_174	phenotyping	P_5284	d_VIB_study___33_plant.txt
pot_175	phenotyping	P_5285	d_VIB_study___33_plant.txt
pot_176	phenotyping	P_5286	d_VIB_study___33_plant.txt
pot_177	phenotyping	P_5287	d_VIB_study___33_plant.txt
pot_178	phenotyping	P_5433	d_VIB_study___33_plant.txt
pot_179	phenotyping	P_5434	d_VIB_study___33_plant.txt
pot_18	phenotyping	P_5305	d_VIB_study___33_plant.txt
pot_180	phenotyping	P_5435	d_VIB_study___33_plant.txt
pot_181	phenotyping	P_5436	d_VIB_study___33_plant.txt
pot_182	phenotyping	P_5437	d_VIB_study___33_plant.txt
pot_183	phenotyping	P_5438	d_VIB_study___33_plant.txt
pot_184	phenotyping	P_5439	d_VIB_study___33_plant.txt
pot_19	phenotyping	P_5306	d_VIB_study___33_plant.txt
pot_2	phenotyping	P_5289	d_VIB_study___33_plant.txt
