observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafLaminaFreshWeight	leafArea	cellDivisionZoneLengthLeaf	leafFreshWeight	leafWidth	shootFreshWeight	leafLength	finalLeafLength	shootDryWeight
P_4861	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-17T08:00:00Z							138.00		
P_4861	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-18T08:00:00Z							195.00		
P_4861	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-19T08:00:00Z							250.00		
P_4862	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-31T07:45:00Z			9700.00						
P_4862	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-18T08:00:00Z							186.00		
P_4862	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-19T08:00:00Z							221.00		
P_4862	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-20T09:20:00Z							275.00		
P_4863	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-18T08:00:00Z							151.00		
P_4863	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-19T08:00:00Z							204.00		
P_4863	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-20T09:20:00Z							269.00		
P_4864	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-31T07:45:00Z								608.00	
P_4864	NA	NA	NA	Zea_VIB_RIL103RIL2way___28	RIL103 RIL 2-way 	28	NA	2012-01-19T08:00:00Z							142.00		
