observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafLaminaFreshWeight	leafArea	leafFreshWeight	cellDivisionZoneLengthLeaf	leafWidth	shootFreshWeight	leafLength	finalLeafLength	shootDryWeight
P_4946	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-14T08:00:00Z							132.00		
P_4946	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-15T08:00:00Z							187.00		
P_4946	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-16T08:00:00Z							250.00		
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-28T08:00:00Z								642.00	
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-28T08:00:00Z		97.28							
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-28T08:00:00Z			5.04						
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-28T08:00:00Z	2.35								
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-15T08:00:00Z							120.00		
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-16T08:00:00Z							174.00		
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-17T08:00:00Z							223.00		
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-18T10:15:00Z							282.00		
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-20T08:00:00Z							399.00		
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-21T08:00:00Z							465.00		
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-22T08:00:00Z							517.00		
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-23T08:00:00Z							560.00		
P_4947	NA	NA	NA	Zea_VIB_RIL111RIL2way___40	RIL111 RIL 2-way 	40	NA	2012-02-24T08:00:00Z							593.00		
