observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafFreshWeight	leafWidth	shootFreshWeight	leafLength	cellDivisionZoneLengthLeaf	finalLeafLength	leafLaminaFreshWeight	leafArea	shootDryWeight
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z						498.00			
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z								65.81	
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z	4.20								
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z							1.69		
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-13T07:55:00Z				142.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-14T08:00:00Z				195.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-15T08:05:00Z				249.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-16T08:00:00Z				311.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-17T07:40:00Z				380.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-19T08:00:00Z				469.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-20T08:10:00Z				483.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-21T08:00:00Z				499.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-22T08:55:00Z				498.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-23T09:00:00Z				498.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-26T07:00:00Z				498.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z				498.00					
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z		2.67							
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z									2.92
P_5211	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z			37.28						
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z						494.00			
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-13T07:55:00Z				140.00					
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-14T08:00:00Z				183.00					
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-15T08:05:00Z				232.00					
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-17T07:40:00Z				360.00					
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-19T08:00:00Z				454.00					
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-20T08:10:00Z				473.00					
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-21T08:00:00Z				482.00					
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-22T08:55:00Z				490.00					
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-23T09:00:00Z				490.00					
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-26T07:00:00Z				496.00					
P_5212	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z				494.00					
P_5213	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-12T07:45:00Z				80.00					
P_5213	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-13T07:55:00Z				115.00					
P_5213	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-14T08:00:00Z				154.00					
P_5214	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-27T06:30:00Z					9975.00				
P_5214	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-13T07:55:00Z				144.00					
P_5214	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-14T08:00:00Z				197.00					
P_5214	NA	NA	NA	Zea_VIB_RIL100RIL2way___47	RIL100 RIL 2-way 	47	NA	2012-03-15T08:05:00Z				243.00					
