Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
B73 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_163	plant	[plant]163
B73 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_165	plant	[plant]165
B73 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_161	plant	[plant]161
B73 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_162	plant	[plant]162
B73 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_164	plant	[plant]164
H99 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_168	plant	[plant]168
H99 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_170	plant	[plant]170
H99 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_167	plant	[plant]167
H99 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_169	plant	[plant]169
H99 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_166	plant	[plant]166
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_158	plant	[plant]158
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_142	plant	[plant]142
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_147	plant	[plant]147
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_149	plant	[plant]149
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_153	plant	[plant]153
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_156	plant	[plant]156
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_152	plant	[plant]152
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_150	plant	[plant]150
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_151	plant	[plant]151
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_157	plant	[plant]157
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_148	plant	[plant]148
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_146	plant	[plant]146
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_154	plant	[plant]154
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_144	plant	[plant]144
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_159	plant	[plant]159
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_160	plant	[plant]160
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_141	plant	[plant]141
RIL64 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_145	plant	[plant]145
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_133	plant	[plant]133
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_128	plant	[plant]128
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_130	plant	[plant]130
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_136	plant	[plant]136
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_135	plant	[plant]135
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_139	plant	[plant]139
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_123	plant	[plant]123
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_140	plant	[plant]140
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_132	plant	[plant]132
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_134	plant	[plant]134
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_131	plant	[plant]131
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_129	plant	[plant]129
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_125	plant	[plant]125
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_137	plant	[plant]137
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_122	plant	[plant]122
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_124	plant	[plant]124
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_126	plant	[plant]126
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_138	plant	[plant]138
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_121	plant	[plant]121
RIL65 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_127	plant	[plant]127
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_94	plant	[plant]94
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_83	plant	[plant]83
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_96	plant	[plant]96
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_81	plant	[plant]81
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_84	plant	[plant]84
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_98	plant	[plant]98
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_87	plant	[plant]87
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_92	plant	[plant]92
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_100	plant	[plant]100
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_89	plant	[plant]89
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_99	plant	[plant]99
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_93	plant	[plant]93
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_95	plant	[plant]95
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_97	plant	[plant]97
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_90	plant	[plant]90
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_85	plant	[plant]85
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_86	plant	[plant]86
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_82	plant	[plant]82
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_91	plant	[plant]91
RIL69 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_88	plant	[plant]88
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_79	plant	[plant]79
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_75	plant	[plant]75
