observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	solution_air_pressure	solution_name	phenovation_raw_image	solution_volume	2DVIS
P_9327	NA	NA	NA	Zea_VIB_RIL_8W_EP1_1___856	RIL_8W_EP1_1	856	NA	2012-07-01T10:00:00Z			77.75		
P_9327	NA	NA	NA	Zea_VIB_RIL_8W_EP1_1___856	RIL_8W_EP1_1	856	NA	2012-07-01T10:00:00Z	6.85				
P_9327	NA	NA	NA	Zea_VIB_RIL_8W_EP1_1___856	RIL_8W_EP1_1	856	NA	2012-07-01T10:00:00Z		179.84			
P_9327	NA	NA	NA	Zea_VIB_RIL_8W_EP1_1___856	RIL_8W_EP1_1	856	NA	2012-07-01T10:00:00Z				106.60	
P_9327	NA	NA	NA	Zea_VIB_RIL_8W_EP1_1___856	RIL_8W_EP1_1	856	NA	2012-05-01T07:00:00Z					test_image.jpg
P_9328	NA	NA	NA	Zea_VIB_RIL_8W_EP1_15___857	RIL_8W_EP1_15	857	NA	2012-07-01T10:00:00Z			77.60		
P_9328	NA	NA	NA	Zea_VIB_RIL_8W_EP1_15___857	RIL_8W_EP1_15	857	NA	2012-07-01T10:00:00Z	7.99				
P_9328	NA	NA	NA	Zea_VIB_RIL_8W_EP1_15___857	RIL_8W_EP1_15	857	NA	2012-07-01T10:00:00Z		135.48			
P_9328	NA	NA	NA	Zea_VIB_RIL_8W_EP1_15___857	RIL_8W_EP1_15	857	NA	2012-07-01T10:00:00Z				76.47	
P_9329	NA	NA	NA	Zea_VIB_RIL_8W_28RIL8way___133	RIL_8W_28 RIL 8-way 	133	NA	2012-07-01T10:00:00Z			78.24		
P_9329	NA	NA	NA	Zea_VIB_RIL_8W_28RIL8way___133	RIL_8W_28 RIL 8-way 	133	NA	2012-07-01T10:00:00Z	9.21				
P_9329	NA	NA	NA	Zea_VIB_RIL_8W_28RIL8way___133	RIL_8W_28 RIL 8-way 	133	NA	2012-07-01T10:00:00Z		182.55			
P_9329	NA	NA	NA	Zea_VIB_RIL_8W_28RIL8way___133	RIL_8W_28 RIL 8-way 	133	NA	2012-07-01T10:00:00Z				111.06	
P_9330	NA	NA	NA	Zea_VIB_RIL_8W_EP1_25___858	RIL_8W_EP1_25	858	NA	2012-07-01T10:00:00Z			77.59		
P_9330	NA	NA	NA	Zea_VIB_RIL_8W_EP1_25___858	RIL_8W_EP1_25	858	NA	2012-07-01T10:00:00Z	7.68				
P_9330	NA	NA	NA	Zea_VIB_RIL_8W_EP1_25___858	RIL_8W_EP1_25	858	NA	2012-07-01T10:00:00Z		206.42			
P_9330	NA	NA	NA	Zea_VIB_RIL_8W_EP1_25___858	RIL_8W_EP1_25	858	NA	2012-07-01T10:00:00Z				119.73	
P_9331	NA	NA	NA	Zea_VIB_RIL_8W_EP1_3___859	RIL_8W_EP1_3	859	NA	2012-07-01T10:00:00Z			72.00		
P_9331	NA	NA	NA	Zea_VIB_RIL_8W_EP1_3___859	RIL_8W_EP1_3	859	NA	2012-07-01T10:00:00Z	7.05				
P_9331	NA	NA	NA	Zea_VIB_RIL_8W_EP1_3___859	RIL_8W_EP1_3	859	NA	2012-07-01T10:00:00Z		160.59			
P_9331	NA	NA	NA	Zea_VIB_RIL_8W_EP1_3___859	RIL_8W_EP1_3	859	NA	2012-07-01T10:00:00Z				73.27	
P_9332	NA	NA	NA	Zea_VIB_RIL_8W_EP1_30___860	RIL_8W_EP1_30	860	NA	2012-07-01T10:00:00Z			77.36		
P_9332	NA	NA	NA	Zea_VIB_RIL_8W_EP1_30___860	RIL_8W_EP1_30	860	NA	2012-07-01T10:00:00Z	5.72				
P_9332	NA	NA	NA	Zea_VIB_RIL_8W_EP1_30___860	RIL_8W_EP1_30	860	NA	2012-07-01T10:00:00Z		169.85			
P_9332	NA	NA	NA	Zea_VIB_RIL_8W_EP1_30___860	RIL_8W_EP1_30	860	NA	2012-07-01T10:00:00Z				92.59	
P_9333	NA	NA	NA	Zea_VIB_RIL_8W_EP1_31___861	RIL_8W_EP1_31	861	NA	2012-07-01T10:00:00Z			79.56		
P_9333	NA	NA	NA	Zea_VIB_RIL_8W_EP1_31___861	RIL_8W_EP1_31	861	NA	2012-07-01T10:00:00Z	5.76				
P_9333	NA	NA	NA	Zea_VIB_RIL_8W_EP1_31___861	RIL_8W_EP1_31	861	NA	2012-07-01T10:00:00Z		204.56			
P_9333	NA	NA	NA	Zea_VIB_RIL_8W_EP1_31___861	RIL_8W_EP1_31	861	NA	2012-07-01T10:00:00Z				105.70	
P_9334	NA	NA	NA	Zea_VIB_RIL_8W_EP1_32___862	RIL_8W_EP1_32	862	NA	2012-07-01T10:00:00Z			73.34		
P_9334	NA	NA	NA	Zea_VIB_RIL_8W_EP1_32___862	RIL_8W_EP1_32	862	NA	2012-07-01T10:00:00Z	4.02				
P_9334	NA	NA	NA	Zea_VIB_RIL_8W_EP1_32___862	RIL_8W_EP1_32	862	NA	2012-07-01T10:00:00Z		165.85			
P_9334	NA	NA	NA	Zea_VIB_RIL_8W_EP1_32___862	RIL_8W_EP1_32	862	NA	2012-07-01T10:00:00Z				73.14	
P_9335	NA	NA	NA	Zea_VIB_RIL_8W_60RIL8way___158	RIL_8W_60 RIL 8-way 	158	NA	2012-07-01T10:00:00Z			78.83		
P_9335	NA	NA	NA	Zea_VIB_RIL_8W_60RIL8way___158	RIL_8W_60 RIL 8-way 	158	NA	2012-07-01T10:00:00Z	4.87				
P_9335	NA	NA	NA	Zea_VIB_RIL_8W_60RIL8way___158	RIL_8W_60 RIL 8-way 	158	NA	2012-07-01T10:00:00Z		146.57			
P_9335	NA	NA	NA	Zea_VIB_RIL_8W_60RIL8way___158	RIL_8W_60 RIL 8-way 	158	NA	2012-07-01T10:00:00Z				67.12	
P_9336	NA	NA	NA	Zea_VIB_RIL_8W_EP1_44___863	RIL_8W_EP1_44	863	NA	2012-07-01T10:00:00Z			72.24		
P_9336	NA	NA	NA	Zea_VIB_RIL_8W_EP1_44___863	RIL_8W_EP1_44	863	NA	2012-07-01T10:00:00Z	4.48				
P_9336	NA	NA	NA	Zea_VIB_RIL_8W_EP1_44___863	RIL_8W_EP1_44	863	NA	2012-07-01T10:00:00Z		184.54			
P_9336	NA	NA	NA	Zea_VIB_RIL_8W_EP1_44___863	RIL_8W_EP1_44	863	NA	2012-07-01T10:00:00Z				100.96	
P_9337	NA	NA	NA	Zea_VIB_RIL_8W_61RIL8way___162	RIL_8W_61 RIL 8-way 	162	NA	2012-07-01T10:00:00Z			77.57		
P_9337	NA	NA	NA	Zea_VIB_RIL_8W_61RIL8way___162	RIL_8W_61 RIL 8-way 	162	NA	2012-07-01T10:00:00Z	6.56				
P_9337	NA	NA	NA	Zea_VIB_RIL_8W_61RIL8way___162	RIL_8W_61 RIL 8-way 	162	NA	2012-07-01T10:00:00Z		196.61			
P_9337	NA	NA	NA	Zea_VIB_RIL_8W_61RIL8way___162	RIL_8W_61 RIL 8-way 	162	NA	2012-07-01T10:00:00Z				96.37	
P_9338	NA	NA	NA	Zea_VIB_RIL_8W_EP1_47___864	RIL_8W_EP1_47	864	NA	2012-07-01T10:00:00Z			75.86		
P_9338	NA	NA	NA	Zea_VIB_RIL_8W_EP1_47___864	RIL_8W_EP1_47	864	NA	2012-07-01T10:00:00Z	6.82				
P_9338	NA	NA	NA	Zea_VIB_RIL_8W_EP1_47___864	RIL_8W_EP1_47	864	NA	2012-07-01T10:00:00Z		123.92			
P_9338	NA	NA	NA	Zea_VIB_RIL_8W_EP1_47___864	RIL_8W_EP1_47	864	NA	2012-07-01T10:00:00Z				69.36	
P_9339	NA	NA	NA	Zea_VIB_RIL_8W_EP1_66___865	RIL_8W_EP1_66	865	NA	2012-07-01T10:00:00Z			76.10		
P_9339	NA	NA	NA	Zea_VIB_RIL_8W_EP1_66___865	RIL_8W_EP1_66	865	NA	2012-07-01T10:00:00Z	6.07				
P_9339	NA	NA	NA	Zea_VIB_RIL_8W_EP1_66___865	RIL_8W_EP1_66	865	NA	2012-07-01T10:00:00Z		165.05			
P_9339	NA	NA	NA	Zea_VIB_RIL_8W_EP1_66___865	RIL_8W_EP1_66	865	NA	2012-07-01T10:00:00Z				72.06	
P_9340	NA	NA	NA	Zea_VIB_RIL_8W_EP1_80___866	RIL_8W_EP1_80	866	NA	2012-07-01T10:00:00Z			79.43		
P_9340	NA	NA	NA	Zea_VIB_RIL_8W_EP1_80___866	RIL_8W_EP1_80	866	NA	2012-07-01T10:00:00Z	5.04				
P_9340	NA	NA	NA	Zea_VIB_RIL_8W_EP1_80___866	RIL_8W_EP1_80	866	NA	2012-07-01T10:00:00Z		178.37			
P_9340	NA	NA	NA	Zea_VIB_RIL_8W_EP1_80___866	RIL_8W_EP1_80	866	NA	2012-07-01T10:00:00Z				97.95	
