observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafNumber	leafLaminaFreshWeight	leafArea	leafFreshWeight	cellDivisionZoneLengthLeaf	leafWidth	shootFreshWeight	leafLength	finalLeafLength	shootDryWeight
P_6907	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-10T15:10:00Z								104.00		
P_6907	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-11T09:00:00Z								144.00		
P_6907	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-12T08:35:00Z								207.00		
P_6908	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-10T15:10:00Z								154.00		
P_6908	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-11T09:00:00Z								186.00		
P_6908	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-12T08:35:00Z								252.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z									584.00	
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z			54.88							
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z				2.78						
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z		1.16								
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-11T09:00:00Z								128.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-12T08:35:00Z								182.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-13T08:00:00Z								232.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-14T08:30:00Z								301.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-15T08:40:00Z								381.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-17T09:40:00Z								515.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-18T08:30:00Z								546.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-19T08:20:00Z								561.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-20T09:20:00Z								570.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-21T08:00:00Z								577.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z								584.00		
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z	9.00									
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z						1.92				
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z										1.16
P_6909	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z							28.12			
P_6910	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z					9100.00					
P_6910	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-11T09:00:00Z								108.00		
P_6910	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-12T08:35:00Z								157.00		
P_6910	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-13T08:00:00Z								214.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z									656.00	
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z			68.85							
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z				3.36						
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z		1.52								
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-12T08:35:00Z								142.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-13T08:00:00Z								204.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-14T08:30:00Z								270.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-15T08:40:00Z								358.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-17T09:40:00Z								538.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-18T08:30:00Z								594.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-19T08:20:00Z								622.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-20T09:20:00Z								634.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-21T08:00:00Z								647.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z								656.00		
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z	9.00									
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z						1.98				
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z										1.52
P_6911	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z							27.39			
P_6912	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-10T15:10:00Z								100.00		
P_6912	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-11T09:00:00Z								139.00		
P_6912	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-12T08:35:00Z								194.00		
P_6913	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-10T15:10:00Z								154.00		
P_6913	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-11T09:00:00Z								194.00		
P_6913	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-12T08:35:00Z								267.00		
P_6914	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z					9450.00					
P_6914	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-10T15:10:00Z								119.00		
P_6914	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-11T09:00:00Z								160.00		
P_6914	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-12T08:35:00Z								228.00		
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z									623.00	
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z			61.53							
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z				3.32						
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-25T08:00:00Z		1.33								
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-11T09:00:00Z								147.00		
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-12T08:35:00Z								210.00		
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-13T08:00:00Z								284.00		
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-14T08:30:00Z								377.00		
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-15T08:40:00Z								460.00		
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-17T09:40:00Z								580.00		
P_6915	NA	NA	NA	Zea_VIB_RIL_8W_19RIL8way___129	RIL_8W_19 RIL 8-way 	129	NA	2013-03-18T08:30:00Z								605.00		
