observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafFreshWeight	leafNumber	leafWidth	shootFreshWeight	leafLength	cellDivisionZoneLengthLeaf	finalLeafLength	leafLaminaFreshWeight	leafArea	shootDryWeight
P_7593	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-22T07:00:00Z						8500.00				
P_7593	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-07T10:05:00Z					108.00					
P_7593	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-08T07:00:00Z					172.00					
P_7593	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-09T07:00:00Z					242.00					
P_7594	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-08T07:00:00Z					105.00					
P_7594	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-09T07:00:00Z					152.00					
P_7594	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-10T07:00:00Z					208.00					
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-22T07:00:00Z							655.00			
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-22T07:00:00Z									67.25	
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-22T07:00:00Z	3.62									
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-22T07:00:00Z								1.55		
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-10T07:00:00Z					183.00					
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-11T06:30:00Z					241.00					
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-12T06:30:00Z					300.00					
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-13T08:40:00Z					388.00					
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-15T06:45:00Z					520.00					
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-16T06:45:00Z					574.00					
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-17T06:45:00Z					612.00					
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-18T08:00:00Z					630.00					
P_7595	NA	NA	NA	Zea_VIB_RIL_8W_55RIL8way___163	RIL_8W_55 RIL 8-way 	163	NA	2013-07-19T07:10:00Z					641.00					
