observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	leafNumber	leafLaminaFreshWeight	leafArea	cellDivisionZoneLengthLeaf	leafFreshWeight	leafWidth	shootFreshWeight	leafLength	finalLeafLength	shootDryWeight
P_8475	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								153.00		
P_8475	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-04T07:20:00Z								177.00		
P_8475	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-06T07:20:00Z								285.00		
P_8475	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-09T07:10:00Z								320.00		
P_8475	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-10T06:45:00Z								320.00		
P_8475	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-11T13:50:00Z								327.00		
P_8475	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z								644.00		
P_8476	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								207.00		
P_8476	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								264.00		
P_8476	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								338.00		
P_8477	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z				8400.00						
P_8477	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								157.00		
P_8477	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								216.00		
P_8477	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								290.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z									500.00	
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z			33.64							
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z					1.28					
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z		0.60								
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								200.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								265.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								335.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-04T07:20:00Z								400.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-05T08:05:00Z								448.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-06T07:20:00Z								473.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-09T07:10:00Z								495.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-10T06:45:00Z								598.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-11T13:50:00Z								508.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-12T06:30:00Z								503.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z								503.00		
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z						1.28				
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z										1.72
P_8478	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z							22.18			
P_8479	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								167.00		
P_8479	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								230.00		
P_8479	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								300.00		
P_8480	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								175.00		
P_8480	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								241.00		
P_8480	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								152.00		
P_8481	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z				7000.00						
P_8481	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								184.00		
P_8481	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								237.00		
P_8481	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								302.00		
P_8482	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								105.00		
P_8482	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								160.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z									582.00	
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z			41.41							
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z					1.68					
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z		0.77								
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								287.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								378.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								276.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-04T07:20:00Z								523.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-05T08:05:00Z								552.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-06T07:20:00Z								563.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-09T07:10:00Z								574.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-10T06:45:00Z								581.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-11T13:50:00Z								572.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-12T06:30:00Z								577.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z								577.00		
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z						1.32				
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z										2.74
P_8483	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z							34.46			
P_8484	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								146.00		
P_8484	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								204.00		
P_8484	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								264.00		
P_8485	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								185.00		
P_8485	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								248.00		
P_8485	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								322.00		
P_8486	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z									523.00	
P_8486	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z			38.48							
P_8486	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z					1.56					
P_8486	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-13T07:15:00Z		0.70								
P_8486	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-01T07:15:00Z								209.00		
P_8486	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-02T07:00:00Z								280.00		
P_8486	NA	NA	NA	Zea_VIB_A632RIL8way___208	A632 RIL 8-way 	208	NA	2012-07-03T07:40:00Z								348.00		
