Sample Name	Protocol REF	Assay Name	Derived Data File
26212	phenotyping	2990931-2007	d_RIGW1_BLOCK>PLOT.txt
26212	phenotyping	2990931-2006	d_RIGW1_BLOCK>PLOT.txt
26212	phenotyping	2990931-2008	d_RIGW1_BLOCK>PLOT.txt
26212	phenotyping	2990931-2009	d_RIGW1_BLOCK>PLOT.txt
26214	phenotyping	2990875-2006	d_RIGW1_BLOCK>PLOT.txt
26214	phenotyping	2990875-2007	d_RIGW1_BLOCK>PLOT.txt
26214	phenotyping	2990875-2008	d_RIGW1_BLOCK>PLOT.txt
26214	phenotyping	2990875-2009	d_RIGW1_BLOCK>PLOT.txt
26217	phenotyping	2991015-2009	d_RIGW1_BLOCK>PLOT.txt
26217	phenotyping	2991015-2006	d_RIGW1_BLOCK>PLOT.txt
26217	phenotyping	2991015-2008	d_RIGW1_BLOCK>PLOT.txt
26217	phenotyping	2991015-2007	d_RIGW1_BLOCK>PLOT.txt
26220	phenotyping	2991250-2009	d_RIGW1_BLOCK>PLOT.txt
26220	phenotyping	2991250-2008	d_RIGW1_BLOCK>PLOT.txt
26220	phenotyping	2991250-2006	d_RIGW1_BLOCK>PLOT.txt
26220	phenotyping	2991250-2007	d_RIGW1_BLOCK>PLOT.txt
26223	phenotyping	2991067-2006	d_RIGW1_BLOCK>PLOT.txt
26223	phenotyping	2991067-2009	d_RIGW1_BLOCK>PLOT.txt
26223	phenotyping	2991067-2007	d_RIGW1_BLOCK>PLOT.txt
26223	phenotyping	2991067-2008	d_RIGW1_BLOCK>PLOT.txt
26248	phenotyping	2991885-2008	d_RIGW1_BLOCK>PLOT.txt
26248	phenotyping	2991885-2009	d_RIGW1_BLOCK>PLOT.txt
26257	phenotyping	2991326-2008	d_RIGW1_BLOCK>PLOT.txt
26257	phenotyping	2991326-2006	d_RIGW1_BLOCK>PLOT.txt
26257	phenotyping	2991326-2007	d_RIGW1_BLOCK>PLOT.txt
26257	phenotyping	2991326-2009	d_RIGW1_BLOCK>PLOT.txt
26269	phenotyping	2991333-2006	d_RIGW1_BLOCK>PLOT.txt
26269	phenotyping	2991333-2009	d_RIGW1_BLOCK>PLOT.txt
26269	phenotyping	2991333-2008	d_RIGW1_BLOCK>PLOT.txt
26269	phenotyping	2991333-2007	d_RIGW1_BLOCK>PLOT.txt
26280	phenotyping	2991273-2009	d_RIGW1_BLOCK>PLOT.txt
26280	phenotyping	2991273-2007	d_RIGW1_BLOCK>PLOT.txt
26280	phenotyping	2991273-2006	d_RIGW1_BLOCK>PLOT.txt
26280	phenotyping	2991273-2008	d_RIGW1_BLOCK>PLOT.txt
26281	phenotyping	2991207-2007	d_RIGW1_BLOCK>PLOT.txt
26281	phenotyping	2991207-2006	d_RIGW1_BLOCK>PLOT.txt
26281	phenotyping	2991207-2008	d_RIGW1_BLOCK>PLOT.txt
26281	phenotyping	2991207-2009	d_RIGW1_BLOCK>PLOT.txt
26286	phenotyping	2991157-2008	d_RIGW1_BLOCK>PLOT.txt
26286	phenotyping	2991157-2006	d_RIGW1_BLOCK>PLOT.txt
26286	phenotyping	2991157-2009	d_RIGW1_BLOCK>PLOT.txt
26286	phenotyping	2991157-2007	d_RIGW1_BLOCK>PLOT.txt
26287	phenotyping	2991108-2009	d_RIGW1_BLOCK>PLOT.txt
26287	phenotyping	2991108-2007	d_RIGW1_BLOCK>PLOT.txt
26287	phenotyping	2991108-2006	d_RIGW1_BLOCK>PLOT.txt
