Sample Name	Protocol REF	Assay Name	Derived Data File
26212.6	phenotyping	2991892-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26212.6	phenotyping	2991892-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26212.6	phenotyping	2991892-2006	d_RIGW1_BLOCK>PLOT>PLANT.txt
26212.6	phenotyping	2991892-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26212.7	phenotyping	2991894-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26212.7	phenotyping	2991894-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26212.7	phenotyping	2991894-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26212.7	phenotyping	2991894-2006	d_RIGW1_BLOCK>PLOT>PLANT.txt
26213.8	phenotyping	2991895-2006	d_RIGW1_BLOCK>PLOT>PLANT.txt
26213.8	phenotyping	2991895-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26213.8	phenotyping	2991895-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26213.8	phenotyping	2991895-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26213.9	phenotyping	2993797-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26213.9	phenotyping	2993797-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26214.11	phenotyping	2991897-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26214.11	phenotyping	2991897-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26214.11	phenotyping	2991897-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26214.11	phenotyping	2991897-2006	d_RIGW1_BLOCK>PLOT>PLANT.txt
26216.14	phenotyping	2991903-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26216.14	phenotyping	2991903-2006	d_RIGW1_BLOCK>PLOT>PLANT.txt
26216.14	phenotyping	2991903-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26216.14	phenotyping	2991903-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26218.19	phenotyping	2993080-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26218.19	phenotyping	2993080-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26218.19	phenotyping	2993080-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26219.20	phenotyping	2993081-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26219.20	phenotyping	2993081-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26219.20	phenotyping	2993081-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26224.31	phenotyping	2991923-2006	d_RIGW1_BLOCK>PLOT>PLANT.txt
26224.31	phenotyping	2991923-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26224.31	phenotyping	2991923-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26224.31	phenotyping	2991923-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26227.36	phenotyping	2993437-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26227.36	phenotyping	2993437-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26227.36	phenotyping	2993437-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26239.32	phenotyping	2993533-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26239.32	phenotyping	2993533-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26239.32	phenotyping	2993533-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26241.4	phenotyping	2991932-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26241.4	phenotyping	2991932-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26241.4	phenotyping	2991932-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26241.4	phenotyping	2991932-2006	d_RIGW1_BLOCK>PLOT>PLANT.txt
26241.5	phenotyping	2991934-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26241.5	phenotyping	2991934-2006	d_RIGW1_BLOCK>PLOT>PLANT.txt
26241.5	phenotyping	2991934-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26241.5	phenotyping	2991934-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26246.15	phenotyping	2991946-2006	d_RIGW1_BLOCK>PLOT>PLANT.txt
26246.15	phenotyping	2991946-2007	d_RIGW1_BLOCK>PLOT>PLANT.txt
26246.15	phenotyping	2991946-2008	d_RIGW1_BLOCK>PLOT>PLANT.txt
26246.15	phenotyping	2991946-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
26248.18	phenotyping	2995279-2009	d_RIGW1_BLOCK>PLOT>PLANT.txt
