observationLevels[BLOCK]	observationLevels[BLOCK>PLOT]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	BERRY_TOTCITRO	DOY_VER	BERRY_TOTATERP	VER_50	DOY_FLO	BERRY_TOTLIN	BERRY_TOTGERAN	HS_Tmax_B06_FloVer	FLO_50	HS_Tmax_B10_BudFlo	BERRY_TOTNER
1	26810	2990972-2006	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2006	NA									2006-06-19		
1	26810	2990972-2006	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2006	NA				2006-08-15							
1	26810	2990972-2006	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2006	NA					170						
1	26810	2990972-2006	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2006	NA										578.5	
1	26810	2990972-2006	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2006	NA		227									
1	26810	2990972-2006	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2006	NA								1187			
1	26810	2990972-2007	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2007	NA									2007-05-24		
1	26810	2990972-2007	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2007	NA				2007-07-24							
1	26810	2990972-2007	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2007	NA						54.7					
1	26810	2990972-2007	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2007	NA			37.1								
1	26810	2990972-2007	gnpis.lot:'0217E'	32	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0ZFQlUwQw==	Riesling*Gewurztraminer0217E	41220Col0217E	2007	NA	22.3										
