observationLevels[BLOCK]	observationLevels[BLOCK>PLOT>PLANT]	observationLevels[BLOCK>PLOT]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	NB_SHOOT_II_PLANT	NB_NCP_PLANT	NB_INFLO_NCP_PLANT	NB_SHOOTS_SPURS_PLANT	NB_SHOOT_ALL_M2	NB_INFLO_II_PLANT	FERT_SHOOT_II	NB_INFLO_SPURS_PLANT	FERT_SPURS	NB_SHOOT_I_PLANT	HS_Tmax_B02_15FB	BUD_DATE	FERT_PRIM	FERT_NCP	DOY_BUD	FERT_SHOOT_I	NB_SHOOT_ALL_PLANT	FERT_GLOB	NB_SHOOT_I_M2	NB_INFLO_ALL_PLANT	NB_INFLO_I_PLANT
1	26270.3	26270	2991965-2006	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2006	NA												2006-04-22									
1	26270.3	26270	2991965-2006	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2006	NA															112.741312741309						
1	26270.3	26270	2991965-2006	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2006	NA											537.3										
1	26270.3	26270	2991965-2007	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2007	NA												2007-04-08									
1	26270.3	26270	2991965-2007	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2007	NA															98						
1	26270.3	26270	2991965-2007	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2007	NA											517.9										
1	26270.3	26270	2991965-2008	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2008	NA												2008-04-23									
1	26270.3	26270	2991965-2008	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2008	NA															114.222580645161						
1	26270.3	26270	2991965-2008	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2008	NA											601.6										
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA												2009-04-12									
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA															102.908450704228						
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA											498.1										
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA										13											
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA				2																	
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA	0																				
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA		2																			
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA																					21
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA								4													
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA						0															
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA			1																		
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA																				26	
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA																1.6153846					
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA																	17				
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA									2												
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA							DM														
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA														0.5							
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA																		1.5294118			
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA													2								
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA																			6.3030305		
1	26270.3	26270	2991965-2009	gnpis.lot:'0053D'	14	3	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FXQUFCSA==	Riesling*Gewurztraminer0053D	41207Col0053D	2009	NA					8.242424																
3	26613.28	26613	2992443-2006	gnpis.lot:'0205E'	25	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0I5S0dGQw==	Riesling*Gewurztraminer0205E	41220Col0205E	2006	NA												2006-04-24									
3	26613.28	26613	2992443-2006	gnpis.lot:'0205E'	25	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0I5S0dGQw==	Riesling*Gewurztraminer0205E	41220Col0205E	2006	NA															114.373271889403						
3	26613.28	26613	2992443-2006	gnpis.lot:'0205E'	25	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0I5S0dGQw==	Riesling*Gewurztraminer0205E	41220Col0205E	2006	NA											558.2										
3	26613.28	26613	2992443-2007	gnpis.lot:'0205E'	25	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0I5S0dGQw==	Riesling*Gewurztraminer0205E	41220Col0205E	2007	NA												2007-04-08									
3	26613.28	26613	2992443-2007	gnpis.lot:'0205E'	25	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0I5S0dGQw==	Riesling*Gewurztraminer0205E	41220Col0205E	2007	NA															98						
