Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
Gewurztraminer Rs INRA-CV 925	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer	258Col643	https://doi.org/10.15454/XAUWO4	sample collection	26730	BLOCK>PLOT	[X]29; [Y]22; [BLOCK>PLOT]26730; [BLOCK]2
Gewurztraminer Rs INRA-CV 925	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer	258Col643	https://doi.org/10.15454/XAUWO4	sample collection	26517.16	BLOCK>PLOT>PLANT	[X]22; [Y]16; [plant]26517.16; [BLOCK>PLOT>PLANT]26517.16; [BLOCK>PLOT]26517; [BLOCK]2
Gewurztraminer Rs INRA-CV 925	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer	258Col643	https://doi.org/10.15454/XAUWO4	sample collection	26304.10	BLOCK>PLOT>PLANT	[X]15; [Y]10; [plant]26304.10; [BLOCK>PLOT>PLANT]26304.10; [BLOCK>PLOT]26304; [BLOCK]1
Gewurztraminer Rs INRA-CV 925	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer	258Col643	https://doi.org/10.15454/XAUWO4	sample collection	26316.35	BLOCK>PLOT>PLANT	[X]15; [Y]35; [plant]26316.35; [BLOCK>PLOT>PLANT]26316.35; [BLOCK>PLOT]26316; [BLOCK]3
Gewurztraminer Rs INRA-CV 925	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer	258Col643	https://doi.org/10.15454/XAUWO4	sample collection	26511.4	BLOCK>PLOT>PLANT	[X]22; [Y]4; [plant]26511.4; [BLOCK>PLOT>PLANT]26511.4; [BLOCK>PLOT]26511; [BLOCK]1
Gewurztraminer Rs INRA-CV 925	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer	258Col643	https://doi.org/10.15454/XAUWO4	sample collection	26310	BLOCK>PLOT	[X]15; [Y]22; [BLOCK>PLOT]26310; [BLOCK]2
Gewurztraminer Rs INRA-CV 925	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer	258Col643	https://doi.org/10.15454/XAUWO4	sample collection	26724	BLOCK>PLOT	[X]29; [Y]10; [BLOCK>PLOT]26724; [BLOCK]1
Gewurztraminer*Riesling0301E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer*Riesling 41221	41221Col0301E	https://doi.org/10.15454/0AZUPA	sample collection	26466	BLOCK>PLOT	[X]20; [Y]34; [BLOCK>PLOT]26466; [BLOCK]3
Gewurztraminer*Riesling0302E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer*Riesling 41221	41221Col0302E	https://doi.org/10.15454/VRLIL1	sample collection	26601.4	BLOCK>PLOT>PLANT	[X]25; [Y]4; [plant]26601.4; [BLOCK>PLOT>PLANT]26601.4; [BLOCK>PLOT]26601; [BLOCK]1
Gewurztraminer*Riesling0302E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer*Riesling 41221	41221Col0302E	https://doi.org/10.15454/VRLIL1	sample collection	26257.36	BLOCK>PLOT>PLANT	[X]13; [Y]36; [plant]26257.36; [BLOCK>PLOT>PLANT]26257.36; [BLOCK>PLOT]26257; [BLOCK]3
Gewurztraminer*Riesling0302E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer*Riesling 41221	41221Col0302E	https://doi.org/10.15454/VRLIL1	sample collection	26601	BLOCK>PLOT	[X]25; [Y]4; [BLOCK>PLOT]26601; [BLOCK]1
Gewurztraminer*Riesling0302E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer*Riesling 41221	41221Col0302E	https://doi.org/10.15454/VRLIL1	sample collection	26257	BLOCK>PLOT	[X]13; [Y]36; [BLOCK>PLOT]26257; [BLOCK]3
Gewurztraminer*Riesling0304E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Gewurztraminer*Riesling 41221	41221Col0304E	https://doi.org/10.15454/TWO7QG	sample collection	26722	BLOCK>PLOT	[X]29; [Y]6; [BLOCK>PLOT]26722; [BLOCK]1
