Variable ID	Variable Name	Trait	Method	Method Description	Scale
CO_356:1000001	BUD_DATE	Budbreak	BUD_DATE Method		Calendar date
CO_356:1000010	VER_50	Veraison	VER_50 Method		Calendar date
CO_356:1000011	FLO_50	Flowering	FLO_50 Method		Calendar date
CO_356:1000053	BERRY_TOTATERP	Concentrations of free and bound alpha-terpineol	SPE	Solid Phase Extraction	microg/kg
CO_356:1000054	BERRY_TOTCITRO	Concentrations of free and bound citronellol	SPE	Solid Phase Extraction	microg/kg
CO_356:1000055	BERRY_TOTGERAN	Concentrations of free and bound geraniol	SPE	Solid Phase Extraction	microg/kg
CO_356:1000056	BERRY_TOTLIN	Concentrations of free and bound linalool	SPE	Solid Phase Extraction	microg/kg
CO_356:1000057	BERRY_TOTNER	Concentrations of free and bound nerol	SPE	Solid Phase Extraction	microg/kg
CO_356:1000076	DOY_BUD	Budbreak	DOY_BUD Method		julian day
CO_356:1000077	DOY_FLO	Flowering	DOY_FLO Method		julian day
CO_356:1000078	DOY_VER	Veraison	DOY_VER   Method		julian day
CO_356:1000088	HS_Tmax_B02_15FB	Budbreak	HS_Tmax_B02_15FB Method		Degree.days
CO_356:1000089	HS_Tmax_B06_FloVer	Veraison	HS_Tmax_B06_FloVer Method		Degree.days
CO_356:1000090	HS_Tmax_B10_BudFlo	Flowering	HS_Tmax_B10_BudFlo Method		Degree.days
CO_356:1000159	NB_INFLO_ALL_PLANT	Number of inflorescences (All)	NB_INFLO_ALL_PLANT Method		per plant
CO_356:1000160	FERT_NCP	Number of inflorescences per shoot on non-count positions	FERT_NCP Method		per shoot
CO_356:1000161	FERT_SHOOT_I	Number of inflorescences per primary shoot	FERT_SHOOT_I Method	Number of inflorescences per primary shoot	per shoot
CO_356:1000162	FERT_SHOOT_II	Number of inflorescences per secundary shoot	FERT_SHOOT_II Method	Number of inflorescences per secundary shoot	per shoot
CO_356:1000164	NB_NCP_PLANT	Number of non-count positions shoots	NB_NCP_PLANT Method	Number of shoots not on canes or on spurs	per plant
CO_356:1000166	NB_SHOOT_I_PLANT	Number of primary shoots	NB_SHOOT_I_PLANT Method	Number of primary shoots per plant or per m2	per plant
CO_356:1000170	NB_SHOOT_II_PLANT	Number of secundary shoots	NB_SHOOT_II_PLANT Method	Number of secundary shoots per plant or per m2	per plant
CO_356:1000259	NB_SHOOTS_SPURS_PLANT	Number of shoots on spurs	NB_SHOOTS_SPURS_PLANT Method	Number of shoots on spurs per plant	per plant
CO_356:1000260	NB_INFLO_I_PLANT	Number of inflorescences on primary shoots	NB_INFLO_I_PLANT Method	Number of inflorescences per plant on primary shoots	per plant
CO_356:1000261	NB_INFLO_SPURS_PLANT	Number of inflorescences on spurs	NB_INFLO_SPURS_PLANT Method	Number of inflorescences per plant on spurs	per plant
CO_356:1000262	NB_INFLO_II_PLANT	Number of inflorescences on secundary shoots	NB_INFLO_II_PLANT Method	Number of inflorescences per plant on secundary shoots	per plant
CO_356:1000263	NB_INFLO_NCP_PLANT	Number of inflorescences on non-count position	NB_INFLO_NCP_PLANT Method	Number of inflorescences per plant on non-count positions	per plant
CO_356:1000264	NB_SHOOT_ALL_PLANT	Total number of shoots	NB_SHOOT_ALL_PLANT Method	Total number of shoots per plant	per plant
CO_356:1000265	FERT_SPURS	Number of inflorescences per shoot on spurs	FERT_SPURS Method	Number of inflorescences per spur	
CO_356:1000266	FERT_GLOB	Number of inflorescences per shoot (all kinds of shoots)	FERT_GLOB Method	Number of inflorescences per shoot (all kinds of shoots)	
CO_356:1000267	FERT_PRIM	Total number of inflorescences/number of primary shoots	FERT_PRIM Method	Total number of inflorescences/number of primary shoots	
CO_356:1000268	NB_SHOOT_ALL_M2	Number of shoots (all)	NB_SHOOT_ALL_M2 Method	Total number of shoots/m2	
CO_356:1000268	NB_SHOOT_ALL_M2	Total number of shoots per plant	NB_SHOOT_ALL_M2 Method	Total number of shoots per m2	per plant
CO_356:1000275	NB_SHOOT_I_M2	Number of primary shoots	NB_SHOOT_I_M2 Method		/m2
